from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
12-Apr-2020 - 00:00,28.77,969.29,84.05,31.94,45.49,258.59,58.25,1.54,0.77,7.36,20.92,2.4,11.11,17.19,0.64,,11.09,13-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Apr-2020 - 00:00,29.14,959.17,124.81,54.52,49.34,259.77,141.12,1.32,1.28,8.04,22.18,7.32,19.75,25.92,0.88,,13.65,14-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Apr-2020 - 00:00,30.0,953.49,142.35,56.11,48.37,247.86,251.78,0.97,1.52,8.53,22.9,6.43,21.47,30.49,1.08,,13.83,15-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Apr-2020 - 00:00,30.53,946.36,,,41.91,253.45,190.06,1.1,2.23,9.2,24.61,3.21,15.71,24.62,0.92,,12.5,16-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Apr-2020 - 00:00,29.78,942.23,166.33,42.17,42.54,259.85,96.53,1.45,1.91,7.92,25.47,4.66,16.91,24.64,0.95,2.81,16.94,17-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Apr-2020 - 00:00,29.91,941.2,104.12,26.62,40.17,231.98,152.43,1.92,0.77,6.81,22.31,2.29,10.18,15.61,0.62,3.29,10.73,18-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Apr-2020 - 00:00,29.46,941.74,104.11,26.89,44.06,306.84,177.55,1.7,1.13,6.24,22.54,2.28,8.9,13.22,0.63,3.01,10.79,19-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Apr-2020 - 00:00,29.98,966.86,35.3,6.2,38.83,280.21,308.02,1.97,0.58,6.13,22.83,1.8,10.65,17.27,0.0,1.92,8.61,21-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Apr-2020 - 00:00,30.77,959.02,126.38,57.45,37.44,321.82,125.73,1.23,0.93,5.91,20.85,2.92,16.08,25.74,0.77,5.24,,23-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Apr-2020 - 00:00,28.31,932.99,131.48,50.48,45.2,213.71,225.6,1.43,1.83,7.84,22.1,7.31,26.22,38.11,1.27,5.13,,24-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Apr-2020 - 00:00,28.85,912.61,128.12,58.71,48.72,258.73,268.8,1.2,1.54,8.81,25.46,7.23,28.45,42.4,1.25,5.05,,25-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Apr-2020 - 00:00,29.32,906.61,86.12,26.17,45.15,248.52,259.66,1.49,0.77,7.41,22.3,0.85,9.83,9.87,0.86,5.1,12.36,26-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Apr-2020 - 00:00,27.36,900.33,137.58,41.96,53.41,236.01,231.99,2.21,1.18,6.7,22.9,0.76,10.28,9.54,1.13,4.75,15.74,27-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Apr-2020 - 00:00,27.25,898.76,59.79,25.58,58.52,260.61,214.34,1.93,0.89,5.84,23.57,,,,1.5,15.5,,28-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Apr-2020 - 00:00,28.74,897.5,91.25,43.38,52.79,262.56,191.45,1.33,1.13,7.89,24.59,,,,1.19,82.37,,29-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-Apr-2020 - 00:00,29.88,914.29,116.75,53.29,51.83,260.63,236.98,1.44,1.37,8.99,25.16,,,,0.85,99.2,,30-Apr-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Apr-2020 - 00:00,30.49,924.19,113.12,47.5,49.67,259.28,236.21,1.41,1.23,8.36,25.96,,,,0.3,104.21,,01-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-May-2020 - 00:00,30.48,930.16,153.08,60.58,53.34,263.32,214.74,1.63,1.55,9.41,30.27,,,,1.28,111.14,,02-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-May-2020 - 00:00,29.91,936.76,112.46,33.12,52.55,261.55,229.22,2.15,0.99,6.92,27.31,,,,1.49,98.23,,03-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-May-2020 - 00:00,28.39,942.68,85.12,33.0,59.05,180.02,210.61,2.03,1.19,7.96,25.53,,,,,84.39,,04-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-May-2020 - 00:00,27.97,942.46,58.04,24.38,59.06,268.76,136.7,1.52,0.63,7.2,23.22,,,,1.12,80.23,,05-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-May-2020 - 00:00,29.57,948.7,116.79,56.71,53.03,271.76,110.52,1.28,1.14,9.42,22.56,,,,0.48,86.48,,06-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-May-2020 - 00:00,29.45,956.25,170.71,57.25,48.09,251.72,164.89,1.6,1.42,9.54,21.8,,,,2.0,99.16,,07-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-May-2020 - 00:00,29.29,960.06,86.12,31.71,45.22,268.86,184.14,1.8,0.98,7.25,20.01,,,,0.85,122.15,,08-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-May-2020 - 00:00,30.64,961.26,117.75,48.29,48.03,267.66,232.88,1.54,1.41,8.92,22.83,,,,0.84,113.27,,09-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-May-2020 - 00:00,31.37,963.44,133.08,53.25,47.76,263.78,242.62,1.85,1.41,7.98,25.06,,,,1.54,123.48,,10-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-May-2020 - 00:00,28.18,954.1,93.48,43.12,55.04,206.5,223.52,2.34,1.1,7.15,25.38,,,,0.96,83.49,,11-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-May-2020 - 00:00,28.69,952.33,96.67,43.96,54.76,267.8,236.36,1.44,1.44,9.18,24.91,,,,0.95,78.74,,12-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-May-2020 - 00:00,29.91,953.11,103.17,44.17,50.52,230.91,193.64,1.58,1.32,8.19,26.87,2.13,7.78,11.71,2.17,44.97,23.67,13-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-May-2020 - 00:00,29.12,925.98,170.33,69.21,56.11,218.01,181.13,1.19,1.17,7.96,28.02,1.94,7.81,11.89,1.89,3.61,16.85,14-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-May-2020 - 00:00,29.11,899.38,130.79,56.02,58.41,253.46,228.01,1.31,1.04,8.2,25.62,1.37,7.17,11.99,1.85,4.02,,15-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-May-2020 - 00:00,29.69,894.84,106.42,43.22,48.72,269.68,67.17,1.83,0.54,6.69,23.46,1.58,7.49,11.79,1.62,4.94,,16-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-May-2020 - 00:00,30.12,885.7,154.51,72.65,44.53,270.14,76.54,1.53,0.71,7.97,23.65,1.48,7.69,12.44,1.73,4.84,,17-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-May-2020 - 00:00,30.39,881.34,184.01,82.64,45.15,247.27,153.38,1.0,1.0,8.96,32.72,1.36,7.17,12.47,1.86,4.86,,18-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-May-2020 - 00:00,30.24,880.62,215.24,102.75,44.0,266.18,92.57,1.16,1.11,7.85,53.43,2.7,13.66,22.83,1.92,24.41,,19-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-May-2020 - 00:00,30.31,866.66,215.47,100.26,41.29,263.28,119.18,1.33,1.17,9.18,46.93,5.95,28.62,44.7,1.9,55.6,,20-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-May-2020 - 00:00,30.43,861.97,157.42,59.09,36.75,270.09,83.0,1.83,0.85,7.56,44.55,4.87,23.86,37.38,1.65,55.34,,21-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-May-2020 - 00:00,31.48,863.48,168.85,46.94,35.92,272.05,96.64,1.92,0.67,6.93,42.34,6.24,26.44,40.15,1.56,55.43,,22-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-May-2020 - 00:00,31.83,847.07,256.8,114.14,40.87,268.34,179.71,0.99,1.77,9.46,54.29,35.25,60.26,59.26,1.78,59.75,,23-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-May-2020 - 00:00,36.19,850.75,240.3,82.76,38.81,269.32,168.54,1.1,2.09,10.57,51.84,16.76,44.29,57.58,1.7,41.2,,24-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-May-2020 - 00:00,40.25,843.49,210.02,66.92,39.05,266.91,74.14,1.51,1.37,7.91,52.44,3.71,22.55,36.71,1.75,45.93,,25-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-May-2020 - 00:00,39.6,843.54,168.3,56.96,37.8,271.28,87.39,1.53,1.06,7.36,49.56,5.92,26.64,41.01,1.72,47.67,,26-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-May-2020 - 00:00,40.21,849.35,189.48,48.09,38.13,270.73,160.54,1.45,1.48,9.06,45.66,25.2,45.24,46.45,1.71,36.18,,27-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-May-2020 - 00:00,40.82,835.27,187.16,43.48,35.85,268.93,183.76,1.84,1.15,7.45,47.28,4.08,23.97,38.81,1.68,67.74,,28-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-May-2020 - 00:00,37.59,827.55,246.71,38.33,48.22,254.57,225.31,3.21,0.81,5.37,50.21,2.9,17.16,27.82,1.63,56.1,10.78,29-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-May-2020 - 00:00,34.96,832.19,74.11,23.47,56.16,242.85,215.57,2.56,1.34,7.07,51.89,3.04,18.19,29.53,1.54,55.51,12.48,30-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-May-2020 - 00:00,34.65,834.11,60.03,25.01,58.19,272.31,273.12,2.23,1.26,13.61,52.69,3.15,19.05,30.99,1.57,61.89,9.76,31-May-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
31-May-2020 - 00:00,32.6,832.13,43.71,22.98,68.57,213.98,199.22,2.02,1.34,14.59,50.86,3.16,17.72,28.48,1.6,53.66,9.42,01-Jun-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Jun-2020 - 00:00,33.86,844.5,80.9,44.38,64.84,268.15,127.5,1.05,1.7,12.94,53.25,3.53,19.26,30.81,1.75,55.54,15.25,02-Jun-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Jun-2020 - 00:00,35.06,835.02,106.72,50.3,61.63,246.94,156.05,1.59,1.81,16.57,57.32,5.33,21.76,32.74,1.71,60.22,12.31,03-Jun-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Jun-2020 - 00:00,35.93,814.96,121.76,52.24,56.84,275.35,142.14,1.11,1.52,18.34,57.71,4.06,23.68,38.29,1.73,68.32,15.33,04-Jun-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
