from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
30-May-2020 - 00:00,26.74,19.13,7.61,101.8,159.73,8.44,31-May-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-May-2020 - 00:00,26.69,19.13,7.56,106.41,146.71,9.38,01-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Jun-2020 - 00:00,26.66,19.1,7.56,96.67,146.37,8.84,02-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Jun-2020 - 00:00,26.58,19.01,7.57,30.55,60.38,8.92,03-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Jun-2020 - 00:00,26.69,19.07,7.63,38.6,65.36,9.52,04-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Jun-2020 - 00:00,26.77,19.15,7.62,71.41,99.48,9.44,05-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Jun-2020 - 00:00,26.65,19.1,7.56,69.56,82.22,9.67,06-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Jun-2020 - 00:00,26.67,19.07,7.61,70.99,87.93,10.1,07-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Jun-2020 - 00:00,26.72,19.05,7.67,61.9,73.64,9.78,08-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Jun-2020 - 00:00,26.66,19.04,7.61,87.1,101.91,9.49,09-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Jun-2020 - 00:00,26.67,19.0,7.67,91.5,120.22,9.2,10-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Jun-2020 - 00:00,26.67,19.02,7.64,81.03,120.08,9.31,11-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Jun-2020 - 00:00,26.74,19.03,7.71,83.37,99.32,8.59,12-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Jun-2020 - 00:00,23.79,16.05,7.73,76.67,65.38,9.83,13-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Jun-2020 - 00:00,17.99,10.19,7.81,12.88,36.62,12.04,14-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Jun-2020 - 00:00,17.98,10.12,7.85,14.35,33.11,11.94,15-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Jun-2020 - 00:00,17.94,10.17,7.77,10.47,35.69,11.97,16-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Jun-2020 - 00:00,17.99,10.18,7.81,18.69,61.02,12.29,17-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Jun-2020 - 00:00,17.97,10.14,7.82,17.97,45.81,12.52,18-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Jun-2020 - 00:00,17.92,10.11,7.81,18.57,42.54,12.66,19-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Jun-2020 - 00:00,17.85,10.13,7.71,50.97,69.36,13.24,20-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Jun-2020 - 00:00,17.89,10.09,7.8,42.32,74.09,13.94,21-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Jun-2020 - 00:00,17.88,10.08,7.8,18.83,70.56,14.52,22-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Jun-2020 - 00:00,17.87,10.11,7.76,28.16,59.22,15.93,23-Jun-2020 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
