from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,SR,WS,WD,to date,station
21-Nov-2020 - 00:00,54.05,183.24,34.73,7.86,43.57,23.61,18.39,1.31,9.32,2.65,21.05,6.46,14.17,8.52,18.09,42.23,377.0,29.25,297.13,22-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Nov-2020 - 00:00,69.04,185.83,35.06,8.32,44.25,23.99,17.52,1.44,8.66,3.38,28.35,9.43,20.4,11.97,17.28,40.44,370.77,23.11,262.83,23-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Nov-2020 - 00:00,124.38,287.2,38.3,10.79,49.56,27.26,14.75,2.92,12.52,6.21,58.39,21.29,45.2,28.02,17.02,46.12,294.88,13.76,181.97,24-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Nov-2020 - 00:00,130.33,384.48,38.65,11.01,50.09,27.58,10.75,2.58,19.04,6.67,68.43,25.16,53.26,38.89,17.26,51.54,251.49,10.5,153.28,25-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Nov-2020 - 00:00,71.94,185.55,37.58,7.19,46.23,25.21,6.5,1.38,14.53,3.04,22.09,4.11,9.72,5.67,17.87,51.65,201.23,5.92,105.35,26-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Nov-2020 - 00:00,53.01,139.33,36.51,7.61,45.34,24.77,12.6,1.5,6.64,3.57,31.17,7.81,14.87,11.46,19.07,58.02,220.72,11.76,217.67,27-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Nov-2020 - 00:00,39.76,126.33,36.8,7.8,45.8,24.99,14.35,1.14,4.69,1.97,21.71,6.8,14.94,9.25,19.6,50.52,381.53,27.21,298.93,28-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Nov-2020 - 00:00,55.67,172.62,37.81,8.13,47.13,25.84,21.95,1.66,5.79,3.01,25.86,8.92,19.91,12.77,19.1,45.97,372.86,25.85,277.18,29-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Nov-2020 - 00:00,58.26,199.24,38.85,8.74,48.61,26.73,26.39,2.36,5.28,3.83,34.15,13.27,28.2,18.36,16.53,50.54,312.75,19.35,235.85,30-Nov-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Nov-2020 - 00:00,,223.45,39.76,9.63,50.33,27.91,19.81,2.09,7.9,4.86,48.49,16.65,36.2,27.05,18.18,49.01,301.11,18.95,234.25,01-Dec-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Dec-2020 - 00:00,,264.92,42.56,12.79,55.64,31.09,11.84,3.42,0.22,7.33,76.97,22.59,50.31,39.39,14.98,63.44,,18.75,234.62,02-Dec-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
