from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
16-Apr-2020 - 00:00,9.98,9.58,12.49,5.65,0.75,0.34,56.84,25.55,45.76,0.86,10.42,24.11,191.1,45.86,720.66,17-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,9.5,8.3,13.48,4.86,0.66,0.33,58.37,29.4,54.3,0.86,9.72,24.3,186.55,52.61,719.8,18-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,8.97,7.39,13.17,4.18,0.41,0.25,55.73,26.02,50.29,0.89,8.65,24.06,190.97,50.52,720.15,19-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,8.85,6.48,12.32,3.72,0.38,0.43,50.02,26.26,49.05,1.06,8.89,24.15,192.75,51.43,719.82,20-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,9.96,7.1,12.04,4.22,0.57,0.29,44.58,12.05,30.98,0.55,10.64,25.3,235.08,49.68,719.77,21-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,6.54,9.11,11.19,5.41,0.72,0.36,43.99,10.89,32.47,0.78,8.77,25.59,213.5,47.02,719.98,22-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,9.9,6.25,11.6,3.6,0.49,0.39,48.94,,33.67,0.69,10.23,24.73,150.82,52.77,719.77,23-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,5.42,7.54,11.89,4.38,0.56,0.39,56.22,,35.5,0.64,10.96,24.78,116.55,57.06,719.52,24-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,6.69,9.85,13.03,5.63,0.54,0.82,53.88,,29.43,0.63,3.76,26.76,92.69,67.67,718.36,25-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,6.07,11.0,13.11,6.5,0.83,0.44,38.99,,39.05,0.62,11.18,25.92,107.21,68.62,719.04,26-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,7.81,9.66,12.98,5.47,0.46,0.35,50.62,,32.56,0.73,7.88,25.1,131.73,61.52,719.83,27-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,7.28,11.84,13.15,7.09,0.96,0.5,42.68,,40.18,0.57,10.46,25.21,102.5,65.11,720.62,28-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,5.9,9.45,13.85,5.51,0.59,0.38,50.37,,40.98,0.69,5.58,24.66,145.04,58.83,719.57,29-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,8.53,10.23,13.27,5.96,0.73,0.38,43.3,,32.78,0.73,5.67,26.44,101.58,74.74,718.83,30-Apr-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,6.68,18.14,11.2,11.06,1.75,0.55,46.23,,49.88,1.35,4.61,24.97,164.18,57.94,720.62,01-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-May-2020 - 00:00,8.95,9.87,13.72,5.79,0.69,0.32,54.16,,46.43,0.72,6.69,24.69,123.92,57.83,720.24,02-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-May-2020 - 00:00,6.72,8.84,13.66,5.02,0.43,0.52,56.61,,50.67,1.22,8.71,24.61,93.97,60.15,719.26,03-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-May-2020 - 00:00,5.32,10.04,13.03,5.82,0.62,0.41,59.62,,47.45,1.05,7.38,24.54,126.16,58.07,719.41,04-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-May-2020 - 00:00,8.58,13.45,12.6,7.64,0.73,0.48,66.36,26.95,60.93,0.93,3.51,24.07,128.19,49.98,720.2,05-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
