from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
29-Sep-2020 - 00:00,61.76,42.42,11.27,31.31,14.8,30.8,57.43,0.28,-0.17,196.65,750.0,180.18,0.0,,,37.15,30-Sep-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Sep-2020 - 00:00,66.65,37.25,9.3,27.38,13.23,30.34,54.95,0.28,-0.18,200.81,750.0,149.03,0.0,,,38.21,01-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Oct-2020 - 00:00,63.2,27.12,7.25,19.79,11.91,30.47,56.99,0.21,-0.25,192.69,750.0,167.91,0.0,,,49.95,02-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Oct-2020 - 00:00,50.92,26.71,3.49,17.05,10.18,29.13,67.24,0.22,-0.24,172.5,750.0,163.13,0.0,,,39.9,03-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
03-Oct-2020 - 00:00,52.66,28.26,3.06,17.52,10.18,31.18,61.31,0.22,-0.28,186.09,750.0,57.0,0.0,,,44.94,04-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
04-Oct-2020 - 00:00,52.03,26.35,4.29,17.54,13.11,30.98,62.87,0.2,-0.23,195.02,750.0,147.78,0.0,,,43.51,05-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
05-Oct-2020 - 00:00,58.41,35.93,12.2,28.64,14.71,31.0,60.17,0.2,-0.19,161.7,750.0,150.39,0.0,,,38.26,06-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
06-Oct-2020 - 00:00,66.24,43.77,9.73,31.09,13.97,31.04,52.69,0.2,-0.19,211.53,750.0,167.19,0.0,,,48.49,07-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
07-Oct-2020 - 00:00,65.56,38.52,5.5,24.97,14.22,30.39,58.72,0.28,-0.32,172.55,750.0,134.78,0.0,,,43.53,08-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
08-Oct-2020 - 00:00,59.17,33.11,6.77,22.91,14.8,30.43,58.17,0.19,-0.22,176.3,750.0,128.01,0.0,,,46.4,09-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
09-Oct-2020 - 00:00,60.43,53.25,29.66,52.45,17.27,30.75,51.95,0.2,-0.21,209.77,750.0,167.12,0.0,,,37.75,10-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
10-Oct-2020 - 00:00,69.99,55.98,24.66,49.85,17.16,30.44,52.4,0.2,-0.21,212.36,750.0,157.32,0.0,,,37.23,11-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
11-Oct-2020 - 00:00,57.36,31.91,6.59,21.74,12.32,30.26,54.59,0.22,-0.28,188.91,750.0,134.91,0.0,,,52.76,12-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
12-Oct-2020 - 00:00,57.85,24.73,2.9,15.51,8.22,30.03,55.46,0.27,-0.33,178.49,750.0,137.0,0.0,,,61.26,13-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
13-Oct-2020 - 00:00,61.43,21.86,3.0,13.76,13.35,29.98,59.67,0.42,-0.48,198.5,750.0,163.35,0.0,,,52.21,14-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
14-Oct-2020 - 00:00,64.37,21.73,6.73,17.01,9.73,30.02,65.05,0.28,-0.33,210.77,750.0,111.95,0.0,,,40.66,15-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Oct-2020 - 00:00,61.09,24.85,4.57,16.94,12.18,30.67,64.73,0.22,-0.3,212.56,750.0,123.53,0.0,,,38.14,16-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Oct-2020 - 00:00,72.74,35.84,6.96,24.48,11.46,30.96,59.22,0.19,-0.23,212.0,750.0,126.6,0.0,,,59.86,17-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Oct-2020 - 00:00,69.76,32.58,6.92,22.95,11.27,31.03,48.41,0.2,-0.21,223.81,750.0,165.59,0.0,,,110.32,18-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Oct-2020 - 00:00,77.88,45.77,8.98,31.03,10.55,30.3,47.38,0.2,-0.2,193.76,750.0,135.61,0.0,,,105.8,19-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Oct-2020 - 00:00,101.09,69.73,22.91,55.71,11.07,29.47,50.37,0.2,-0.18,191.59,750.0,96.53,0.0,,,75.01,20-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Oct-2020 - 00:00,135.32,61.23,21.39,49.95,10.41,29.3,50.15,0.21,-0.18,188.07,750.07,138.92,0.0,,,40.82,21-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Oct-2020 - 00:00,138.36,47.99,9.54,33.28,10.27,28.98,53.04,0.19,-0.2,187.19,750.0,135.35,0.0,,,2.18,22-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Oct-2020 - 00:00,123.45,40.64,4.86,24.9,10.21,29.64,54.08,0.2,-0.22,227.6,750.0,130.15,0.0,,,13.58,23-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Oct-2020 - 00:00,116.24,47.29,12.0,34.93,11.42,29.67,53.45,0.21,-0.18,224.92,750.0,123.39,0.0,,,13.01,24-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Oct-2020 - 00:00,99.92,51.81,23.02,46.28,11.01,29.1,44.34,0.2,-0.18,200.45,750.01,137.1,0.0,,,12.54,25-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Oct-2020 - 00:00,122.49,67.41,31.3,60.51,11.23,28.54,48.51,0.2,-0.2,196.16,750.07,112.04,0.0,,,10.88,26-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Oct-2020 - 00:00,158.7,60.36,29.21,55.86,16.16,27.28,51.5,0.2,-0.2,207.33,750.04,135.35,0.0,,,24.41,27-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Oct-2020 - 00:00,112.59,69.46,34.02,64.52,18.46,29.98,39.19,0.2,-0.19,211.73,750.0,194.6,0.0,,,37.81,28-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Oct-2020 - 00:00,110.96,65.51,37.35,65.2,12.84,27.38,44.39,0.2,-0.19,206.54,750.0,125.38,0.0,,,29.68,29-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Oct-2020 - 00:00,74.75,56.02,20.58,46.53,12.47,27.65,43.31,0.24,-0.24,218.67,750.0,132.7,0.0,,,28.15,30-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Oct-2020 - 00:00,59.51,7.95,51.57,4.78,16.59,27.67,46.56,0.21,-0.19,203.38,750.0,147.99,0.0,,,31.04,31-Oct-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
31-Oct-2020 - 00:00,63.93,6.2,,2.0,15.43,27.83,44.91,0.2,-0.18,210.08,750.0,143.45,0.0,,,34.21,01-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Nov-2020 - 00:00,119.11,6.2,,2.0,19.88,27.27,44.87,0.22,-0.17,210.52,750.0,109.4,0.0,,,45.58,02-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
02-Nov-2020 - 00:00,109.46,49.61,31.22,39.71,18.39,25.93,43.89,0.21,-0.17,204.81,749.74,99.4,0.0,,,26.01,03-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
