from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
14-Sep-2020 - 00:00,7.67,23.23,12.79,8.2,20.99,5.23,4.24,0.44,8.84,,,,,,29.69,83.26,0.55,98.91,-0.01,999.88,146.64,15-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Sep-2020 - 00:00,8.31,24.49,12.77,8.21,20.97,5.6,4.56,0.48,10.47,,,,,,29.0,87.43,0.48,120.27,-0.0,999.96,111.48,16-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Sep-2020 - 00:00,11.54,27.86,9.64,6.74,16.39,6.83,4.53,0.43,13.37,,,,,,30.16,82.65,0.64,104.18,-0.02,999.61,187.63,17-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Sep-2020 - 00:00,11.68,29.42,6.58,4.53,11.11,8.61,5.42,0.41,25.36,,,,,,30.56,80.77,0.67,115.83,-0.03,998.79,166.34,18-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Sep-2020 - 00:00,11.48,29.81,12.84,5.04,17.87,7.96,4.94,0.48,25.17,,,,,,30.43,80.11,0.39,149.04,-0.0,998.65,185.87,19-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Sep-2020 - 00:00,22.53,46.08,30.7,7.93,38.63,9.15,4.95,0.65,20.29,,,,,,31.01,77.1,0.2,197.49,0.01,997.07,137.48,20-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Sep-2020 - 00:00,20.02,40.33,15.62,5.22,20.84,7.75,4.98,0.5,21.55,,,,,,29.01,86.11,0.37,149.66,-0.0,995.24,74.25,21-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Sep-2020 - 00:00,7.59,18.47,10.44,6.44,16.88,7.43,4.19,0.44,12.26,,,,,,27.94,91.97,0.44,80.34,-0.03,995.06,75.15,22-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Sep-2020 - 00:00,8.06,23.53,13.85,7.11,20.96,7.66,4.54,0.51,13.22,,,,,,28.05,93.44,0.66,100.91,-0.02,997.62,78.53,23-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Sep-2020 - 00:00,8.54,24.13,11.74,6.78,18.39,7.43,4.16,0.42,11.86,,,,,,27.34,95.19,0.64,103.66,-0.01,999.47,59.86,24-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Sep-2020 - 00:00,10.54,26.31,7.37,4.94,12.3,8.61,4.7,0.41,19.67,,,,,,28.51,91.75,0.66,106.7,-0.01,,86.12,25-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Sep-2020 - 00:00,14.17,36.24,10.47,5.04,15.52,11.9,4.73,0.46,13.7,,,,,,28.12,92.43,0.45,134.58,0.01,999.17,57.41,26-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Sep-2020 - 00:00,19.46,43.39,12.23,5.4,17.63,8.64,4.27,0.48,15.78,,,,,,27.95,94.39,0.52,108.94,-0.0,998.58,58.85,27-Sep-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
