from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
18-Mar-2020 - 00:00,11.97,987.33,57.34,199.52,302.8,1.61,157.78,62.68,3.15,43.49,27.55,26.9,55.59,63.28,12.44,62.16,1.08,19-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Mar-2020 - 00:00,12.34,984.24,59.59,188.93,242.21,1.02,164.74,73.45,3.43,48.48,31.35,19.74,48.9,61.68,14.25,66.14,1.09,20-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Mar-2020 - 00:00,12.6,983.19,57.88,164.53,124.4,0.87,167.12,76.62,2.63,32.5,30.44,10.55,32.67,45.26,20.29,83.88,0.8,21-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Mar-2020 - 00:00,12.63,983.58,53.01,180.48,261.84,1.07,122.2,51.39,2.33,23.86,28.76,15.3,36.52,45.23,17.14,76.75,0.79,22-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Mar-2020 - 00:00,12.67,985.33,55.66,202.29,242.27,1.01,125.59,72.3,2.4,23.11,29.59,5.0,21.51,32.78,17.7,73.03,0.63,23-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Mar-2020 - 00:00,12.9,984.89,53.89,198.54,173.44,0.78,86.77,45.71,1.6,10.27,28.47,2.44,13.42,21.49,14.68,82.96,0.49,24-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Mar-2020 - 00:00,12.47,983.68,57.44,140.43,159.78,1.1,103.41,51.26,2.13,11.28,29.69,2.43,11.58,18.06,19.34,64.18,0.58,25-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Mar-2020 - 00:00,13.02,983.97,57.67,214.27,257.45,1.14,59.06,31.05,1.44,10.51,29.55,2.94,9.36,13.08,10.02,55.08,0.5,26-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Mar-2020 - 00:00,12.66,985.19,57.54,144.01,289.07,2.27,62.95,32.57,0.97,4.5,30.77,2.14,5.92,7.85,13.07,48.15,0.45,27-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Mar-2020 - 00:00,11.71,986.95,66.72,110.11,203.43,1.58,37.94,22.64,0.75,3.35,27.92,2.29,5.43,6.68,11.72,43.15,0.4,28-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Mar-2020 - 00:00,11.94,987.29,63.23,226.45,300.56,1.49,27.14,15.97,0.76,5.01,25.46,2.49,6.96,9.26,7.55,50.73,0.4,29-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Mar-2020 - 00:00,12.45,985.24,55.13,227.97,306.91,2.12,50.41,21.86,0.67,3.89,25.33,2.07,5.28,6.75,9.7,68.21,0.36,30-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Mar-2020 - 00:00,12.31,985.31,53.64,227.3,300.91,1.8,58.66,31.0,0.83,4.38,25.9,1.92,5.98,8.31,9.38,78.96,0.39,31-Mar-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Mar-2020 - 00:00,12.94,984.02,50.86,210.6,293.35,1.63,57.39,27.84,0.83,5.52,24.77,1.93,6.7,9.63,11.82,80.42,0.39,01-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Apr-2020 - 00:00,13.22,983.09,52.42,218.64,307.68,1.46,56.31,24.96,0.95,5.64,26.67,2.36,7.49,10.47,10.54,73.01,0.43,02-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Apr-2020 - 00:00,12.98,983.53,49.82,232.8,309.12,2.11,50.64,21.91,0.67,3.24,26.29,1.91,5.21,6.86,9.52,80.55,0.37,03-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Apr-2020 - 00:00,12.6,984.81,44.47,233.73,302.39,1.76,58.58,29.78,0.91,4.79,23.39,1.86,6.51,9.39,12.97,97.17,0.38,04-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Apr-2020 - 00:00,12.87,984.79,45.79,234.55,305.7,1.55,67.5,35.47,1.13,7.79,24.5,1.95,8.08,12.2,10.81,88.96,0.45,05-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Apr-2020 - 00:00,13.27,985.41,47.77,221.76,201.26,0.99,84.84,43.17,1.58,9.95,28.39,2.11,10.47,16.45,14.91,96.3,0.57,06-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Apr-2020 - 00:00,14.26,984.25,43.46,232.74,281.07,1.14,93.89,46.36,2.14,13.07,27.76,1.75,7.52,11.44,23.33,110.91,0.52,07-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Apr-2020 - 00:00,13.62,982.33,46.31,223.31,301.41,1.89,93.16,24.19,0.93,4.64,28.75,1.87,5.88,8.2,16.54,88.17,0.39,08-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Apr-2020 - 00:00,13.54,982.9,42.58,227.64,301.21,1.86,76.06,25.76,0.81,5.35,25.15,1.93,6.26,8.8,12.12,89.12,0.31,09-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Apr-2020 - 00:00,13.22,983.45,44.15,231.38,292.19,1.49,69.27,27.73,1.03,5.79,24.82,1.83,6.94,10.24,15.08,97.83,0.37,10-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Apr-2020 - 00:00,14.09,984.29,41.77,224.1,264.76,1.0,100.89,32.31,1.81,13.21,27.44,2.06,10.89,17.29,17.9,88.76,0.51,11-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Apr-2020 - 00:00,14.8,985.13,41.4,220.92,227.98,0.99,110.2,34.79,2.29,15.48,29.9,1.99,9.76,15.3,28.95,112.38,0.55,12-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Apr-2020 - 00:00,14.6,983.09,41.95,233.99,290.99,1.8,85.9,33.18,1.18,5.09,28.79,1.68,5.28,7.34,14.77,100.71,0.4,13-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Apr-2020 - 00:00,15.19,981.06,41.01,225.32,277.81,1.6,134.21,30.93,1.97,9.41,30.49,1.9,8.46,12.98,24.6,89.62,0.56,14-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Apr-2020 - 00:00,24.06,981.38,40.27,179.4,160.51,0.7,115.64,38.26,1.46,9.67,30.87,1.7,7.53,11.54,19.48,99.5,0.44,15-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
