from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
28-Jul-2020 - 00:00,30.18,18.23,6.39,20.93,11.88,0.69,15.83,25.15,56.77,0.18,24.23,163.39,58.5,710.71,45.9,29-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jul-2020 - 00:00,33.4,17.47,6.44,22.68,12.07,0.7,11.97,28.54,56.19,0.2,25.01,158.1,67.97,709.32,48.33,30-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jul-2020 - 00:00,29.7,18.39,6.27,20.57,10.16,0.68,15.9,22.53,65.04,0.16,24.58,124.55,60.52,709.53,45.93,31-Jul-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Jul-2020 - 00:00,28.6,19.0,6.39,20.09,8.19,0.69,14.61,20.47,53.86,0.14,23.63,131.44,61.77,709.33,42.69,01-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Aug-2020 - 00:00,28.36,19.05,6.29,19.89,13.24,0.68,13.52,17.95,39.51,0.13,23.08,131.34,65.04,709.84,39.93,02-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Aug-2020 - 00:00,26.91,19.14,6.4,19.2,13.78,0.69,17.22,15.34,37.6,0.1,20.19,124.5,59.43,709.68,30.27,03-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Aug-2020 - 00:00,27.3,19.21,6.39,19.39,13.42,0.69,16.38,17.74,41.45,0.11,22.33,125.32,61.29,708.34,37.1,04-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Aug-2020 - 00:00,24.4,20.24,6.4,17.86,11.72,0.69,15.22,20.28,48.82,0.1,22.66,128.6,64.47,706.71,25.73,05-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Aug-2020 - 00:00,24.25,20.1,6.29,17.69,11.06,0.68,15.14,18.58,49.79,0.12,24.23,122.35,62.2,704.89,31.1,06-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Aug-2020 - 00:00,24.45,19.96,6.31,17.82,15.94,0.69,14.41,19.28,51.91,0.16,23.35,120.21,58.97,706.49,46.01,07-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Aug-2020 - 00:00,28.81,19.07,6.38,20.19,16.56,0.69,12.85,20.39,54.53,0.13,23.32,119.74,61.18,709.79,45.36,08-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Aug-2020 - 00:00,23.76,20.33,6.34,17.46,11.72,0.69,14.87,21.23,48.9,0.12,24.91,130.51,59.0,710.65,34.41,09-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Aug-2020 - 00:00,11.73,23.68,6.34,11.07,17.58,0.69,15.97,17.91,37.84,0.1,23.35,127.83,65.89,709.99,5.21,10-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Aug-2020 - 00:00,10.69,24.35,6.34,10.52,20.62,0.69,19.49,20.1,39.3,0.1,24.25,124.82,63.4,710.17,4.25,11-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Aug-2020 - 00:00,12.27,23.7,6.35,11.35,14.05,0.69,19.34,30.0,103.01,0.23,23.17,125.51,62.08,711.21,2.7,12-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Aug-2020 - 00:00,16.7,22.78,6.46,13.61,14.81,0.69,17.09,23.1,66.79,0.18,22.92,131.28,60.38,711.87,2.38,13-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Aug-2020 - 00:00,13.39,23.41,6.37,11.98,12.19,0.69,15.2,26.48,80.36,0.11,23.78,130.68,59.16,710.59,2.42,14-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Aug-2020 - 00:00,11.51,23.94,6.3,10.93,17.49,0.68,15.09,24.68,64.31,0.1,23.65,123.54,60.71,709.44,2.4,15-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Aug-2020 - 00:00,13.57,23.19,6.43,12.13,16.44,0.7,14.97,27.72,74.2,0.1,26.05,120.5,59.18,709.7,2.68,16-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Aug-2020 - 00:00,11.23,23.86,6.31,10.78,12.03,0.69,16.35,24.97,61.73,0.1,25.89,125.36,61.99,710.16,2.24,17-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Aug-2020 - 00:00,12.34,23.79,6.37,11.42,9.45,0.69,14.59,20.26,37.64,0.11,25.33,122.61,67.23,709.9,2.39,18-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Aug-2020 - 00:00,14.64,23.17,6.21,12.52,11.76,0.68,13.51,23.98,59.17,0.11,24.68,125.85,65.58,710.51,2.61,19-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Aug-2020 - 00:00,13.61,23.36,6.28,12.03,14.0,0.68,12.21,21.24,58.86,0.11,24.31,132.14,63.63,709.7,2.06,20-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Aug-2020 - 00:00,15.51,22.98,6.3,13.05,16.77,0.68,10.85,24.31,77.69,0.11,24.8,126.06,64.25,709.61,2.36,21-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Aug-2020 - 00:00,13.74,23.33,6.38,12.18,15.65,0.69,12.98,25.66,76.04,0.1,25.17,115.1,61.28,711.35,2.16,22-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
