from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
20-Mar-2020 - 00:00,30.73,0.37,27.04,1.11,27.54,15.33,19.36,9.32,31.57,68.58,0.12,1.48,0.11,28.62,29.42,0.41,279.59,92.96,709.94,21-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
21-Mar-2020 - 00:00,30.24,0.4,24.11,2.19,30.02,17.53,20.96,9.21,38.23,105.14,0.23,1.73,0.05,25.68,27.14,,340.92,151.48,709.85,22-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
22-Mar-2020 - 00:00,30.21,0.34,23.19,1.07,22.03,12.32,23.08,5.86,35.07,75.46,0.16,2.62,0.21,22.44,28.03,,339.35,150.14,710.27,23-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
23-Mar-2020 - 00:00,30.26,0.36,23.93,0.7,14.56,8.13,23.46,4.5,36.12,67.57,0.09,0.67,0.02,21.18,29.96,,339.64,144.66,709.92,24-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Mar-2020 - 00:00,30.15,0.3,24.2,0.75,14.02,7.86,18.06,7.29,26.51,58.23,0.07,0.56,0.11,21.79,27.9,,340.07,144.64,709.1,25-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,30.11,0.31,23.38,0.8,14.7,8.09,26.16,6.79,28.24,58.5,0.16,1.16,0.16,22.35,26.54,,340.02,145.54,709.05,26-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,30.27,0.29,23.89,0.52,12.52,6.8,16.85,7.08,25.96,56.89,0.08,0.48,0.0,21.67,25.57,,340.08,147.62,710.12,27-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,30.32,0.28,27.01,0.57,13.48,7.37,15.11,3.59,35.72,66.39,0.07,0.28,0.0,22.97,23.7,,340.24,152.23,710.92,28-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,30.64,0.29,29.39,0.7,14.31,7.87,14.63,8.63,34.44,60.88,0.16,0.5,0.0,24.58,20.92,,340.29,147.6,710.14,29-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,30.65,0.33,30.08,0.58,15.16,8.11,15.22,8.93,40.1,70.92,0.11,0.33,0.0,24.94,22.56,,340.19,143.49,709.25,30-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,30.81,0.3,27.22,0.64,13.89,7.57,15.76,11.0,30.99,61.96,0.07,0.28,0.0,21.65,24.89,0.82,216.64,144.59,710.22,31-Mar-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,30.88,0.42,30.01,0.66,14.62,7.95,16.48,10.66,39.76,67.2,0.11,0.56,0.0,20.81,36.43,1.02,88.45,153.21,710.57,01-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,30.86,0.42,28.72,0.66,18.11,9.86,18.09,12.15,47.22,89.36,0.13,1.11,0.0,23.92,49.97,0.89,96.74,101.12,710.11,02-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,31.15,0.44,28.21,0.63,15.92,8.72,19.26,10.99,43.23,76.32,0.11,1.13,0.0,24.27,49.11,0.97,84.36,107.36,708.82,03-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,31.17,0.35,26.15,0.5,15.25,8.23,18.94,11.63,35.83,64.53,0.09,0.68,0.0,23.52,52.17,0.93,70.05,108.71,709.71,04-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,31.06,0.36,23.28,0.6,18.51,10.08,18.17,11.17,37.33,68.5,0.11,1.36,0.0,22.46,54.72,0.64,59.51,44.99,710.35,05-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,31.26,0.29,23.51,0.71,14.71,8.09,18.61,8.85,28.69,54.41,0.1,0.67,0.0,23.42,55.09,0.91,79.62,131.56,710.49,06-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,31.2,0.42,22.26,1.17,20.16,11.21,33.7,13.53,27.91,67.48,0.18,1.61,0.0,23.04,57.5,1.21,127.39,98.29,710.59,07-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Apr-2020 - 00:00,31.24,0.32,28.44,0.67,17.58,9.63,22.27,10.39,21.06,44.17,0.15,0.96,0.0,23.13,55.06,1.63,136.6,131.11,709.45,08-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Apr-2020 - 00:00,31.53,0.32,31.42,1.0,19.47,10.95,31.76,21.48,20.28,43.36,0.3,3.03,0.0,23.11,53.65,1.59,178.25,150.93,710.05,09-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Apr-2020 - 00:00,31.34,0.42,26.66,39.12,16.52,34.96,22.33,12.64,32.14,61.47,0.15,2.39,0.0,22.94,56.17,1.21,89.52,148.94,710.08,10-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Apr-2020 - 00:00,30.97,0.31,27.98,0.8,16.93,9.2,19.75,9.94,19.06,35.1,0.11,0.81,0.0,23.02,54.79,1.04,109.82,154.34,710.66,11-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Apr-2020 - 00:00,30.92,0.32,24.64,0.63,16.61,9.06,16.93,12.68,20.03,40.38,0.05,0.38,0.01,23.73,50.25,0.78,75.54,158.56,711.61,12-Apr-2020 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
