from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
13-Apr-2020 - 00:00,286.4,35.44,980.49,234.83,24.48,26.73,38.39,32.1,531.67,2.58,22.28,6.33,27.37,10.51,14-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Apr-2020 - 00:00,154.09,34.77,980.86,190.76,24.91,27.19,41.2,33.3,465.0,1.56,24.36,6.62,32.13,10.8,15-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Apr-2020 - 00:00,199.15,30.78,980.52,226.72,24.28,28.24,34.81,33.39,558.33,2.08,20.97,6.75,36.79,10.83,16-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Apr-2020 - 00:00,264.27,30.93,979.28,215.49,23.79,29.21,40.15,32.87,645.42,2.75,27.62,7.53,33.61,11.25,17-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Apr-2020 - 00:00,188.2,33.73,978.9,208.8,23.13,21.36,39.48,31.13,555.0,3.51,17.81,5.62,17.54,10.08,18-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Apr-2020 - 00:00,98.25,43.95,980.74,208.36,23.6,20.09,38.26,28.64,617.92,3.43,15.66,6.16,17.41,12.6,19-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Apr-2020 - 00:00,218.34,43.75,980.27,254.63,25.23,25.77,38.37,28.73,671.25,2.43,20.44,6.76,20.72,9.27,20-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Apr-2020 - 00:00,146.39,42.67,981.16,134.93,26.05,27.67,34.15,27.69,474.17,2.36,28.27,7.22,29.4,11.07,21-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Apr-2020 - 00:00,242.6,43.43,981.45,239.35,24.45,23.32,40.34,28.18,662.5,2.36,18.09,5.67,20.08,10.17,22-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Apr-2020 - 00:00,201.44,34.97,980.08,247.98,25.39,27.01,43.33,30.2,597.5,1.77,29.59,6.86,29.97,11.02,23-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Apr-2020 - 00:00,197.1,35.9,979.21,133.7,26.19,29.69,37.29,29.85,568.75,2.35,19.81,6.11,30.19,11.05,24-Apr-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
