from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
18-Mar-2020 - 00:00,24.49,38.35,10.85,5.04,9.78,6.32,22.49,0.49,21.18,0.01,0.03,28.24,1.6,146.34,31.39,727.53,19-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
19-Mar-2020 - 00:00,40.05,68.41,21.12,8.32,18.0,8.15,23.71,0.68,23.51,0.05,0.12,28.14,1.06,182.54,33.58,726.61,20-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
20-Mar-2020 - 00:00,38.28,65.88,10.54,1.65,6.85,9.78,20.03,0.29,27.71,0.06,0.1,27.71,1.21,200.6,49.44,726.52,21-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
21-Mar-2020 - 00:00,33.19,62.04,18.02,2.75,11.69,9.01,22.3,0.36,30.06,0.05,0.09,28.41,1.08,204.62,41.82,726.01,22-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
22-Mar-2020 - 00:00,25.07,39.52,13.8,2.04,8.9,9.94,19.86,0.32,20.7,0.03,0.13,28.41,1.06,180.46,38.84,726.38,23-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
23-Mar-2020 - 00:00,28.51,50.33,13.35,2.46,9.06,9.55,13.87,0.36,18.36,0.04,0.1,26.96,1.11,189.84,56.6,725.76,24-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
24-Mar-2020 - 00:00,33.27,59.33,15.15,12.36,18.11,11.28,17.54,0.91,23.65,0.04,0.16,28.14,1.14,166.99,46.31,724.39,25-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
25-Mar-2020 - 00:00,27.26,47.88,12.59,1.55,7.94,10.49,18.56,0.3,22.68,0.02,0.05,27.85,1.12,166.56,39.38,724.49,26-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
26-Mar-2020 - 00:00,33.09,52.28,9.43,0.55,5.43,9.95,21.36,0.24,22.11,0.03,0.1,27.97,1.38,143.55,38.55,724.83,27-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
27-Mar-2020 - 00:00,16.97,40.14,6.57,0.64,4.01,9.46,20.01,0.25,13.65,0.0,0.02,28.06,1.39,131.85,36.59,726.75,28-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
28-Mar-2020 - 00:00,22.07,43.39,12.19,0.94,7.25,9.92,18.26,0.27,9.85,0.02,0.05,27.91,1.2,151.93,32.17,726.03,29-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
29-Mar-2020 - 00:00,21.36,44.12,11.83,1.54,7.54,11.04,19.65,0.31,11.11,0.05,0.09,27.83,1.3,158.26,29.18,725.02,30-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
30-Mar-2020 - 00:00,24.64,47.35,11.16,1.08,6.78,11.63,19.67,0.28,11.53,0.04,0.09,28.27,1.42,156.39,31.32,725.46,31-Mar-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
31-Mar-2020 - 00:00,17.11,36.3,7.47,0.72,4.47,10.72,17.56,0.25,13.66,0.0,0.03,28.51,1.64,140.51,30.21,726.19,01-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
01-Apr-2020 - 00:00,22.01,41.18,7.3,0.5,4.23,10.17,17.43,0.24,13.85,0.01,0.04,28.98,1.55,142.25,27.92,725.73,02-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
02-Apr-2020 - 00:00,29.0,52.95,9.13,0.74,5.42,11.17,21.24,0.26,13.52,0.02,0.05,28.69,1.33,155.04,32.92,724.74,03-Apr-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
