from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
06-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Jun-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Jun-2020 - 00:00,0.69,78.91,40.95,92.77,14.86,0.98,104.93,56.15,215.04,0.21,0.17,43.32,32.41,86.29,1.37,739.83,120.88,0.0,16-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Jun-2020 - 00:00,3.17,165.18,101.93,134.68,20.72,0.94,78.06,50.91,179.76,0.29,0.23,42.12,32.21,91.69,1.78,739.58,123.67,0.0,17-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Jun-2020 - 00:00,4.27,203.18,108.78,247.39,16.17,0.8,74.93,40.05,139.65,0.23,0.19,42.12,31.34,92.3,3.38,739.41,133.49,0.0,18-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Jun-2020 - 00:00,2.69,142.44,76.08,162.3,16.56,0.73,86.79,47.49,163.67,0.31,0.29,41.33,30.89,89.99,1.85,739.56,130.59,0.0,19-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Jun-2020 - 00:00,0.98,26.24,14.72,33.65,14.59,0.62,73.64,55.95,218.46,0.25,0.21,42.75,30.46,79.02,2.46,740.0,114.11,0.0,20-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Jun-2020 - 00:00,1.28,18.77,11.02,25.02,9.25,0.4,70.85,41.77,161.6,0.16,0.34,40.4,30.77,71.06,1.18,740.0,89.11,0.0,21-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Jun-2020 - 00:00,1.27,24.01,13.81,25.25,14.54,0.47,82.06,46.12,115.01,0.25,0.35,38.12,30.66,70.48,1.03,740.0,92.78,0.21,22-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Jun-2020 - 00:00,1.13,18.99,10.96,30.56,6.62,0.22,98.08,37.59,65.89,0.23,0.19,38.53,31.02,105.83,1.08,740.0,170.09,0.6,23-Jun-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
