from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
11-Apr-2020 - 00:00,16.88,767.5,31.36,208.14,74.04,0.0,0.08,169.8,75.53,0.68,23.04,4.8,9.06,4.25,0.9,2.13,0.19,12-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
12-Apr-2020 - 00:00,17.84,766.95,31.28,201.73,79.03,0.0,0.08,272.44,82.32,0.63,24.9,4.84,9.29,4.44,0.92,6.46,0.22,13-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
13-Apr-2020 - 00:00,19.6,766.1,31.41,199.56,78.69,0.0,0.07,263.02,95.1,0.59,23.03,4.92,10.11,5.18,0.92,6.07,0.29,14-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
14-Apr-2020 - 00:00,20.33,765.91,32.16,204.29,74.14,0.0,0.08,216.17,78.11,0.59,23.48,4.83,9.19,4.36,0.93,3.58,0.28,15-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
15-Apr-2020 - 00:00,18.65,766.73,31.86,198.67,75.54,0.0,0.09,236.3,69.86,0.65,25.55,4.82,8.83,4.01,0.94,3.81,0.11,16-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
16-Apr-2020 - 00:00,14.72,766.26,31.82,204.54,76.94,0.0,0.17,264.02,47.03,0.6,22.83,4.67,8.26,3.59,0.9,4.14,0.05,17-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
17-Apr-2020 - 00:00,15.08,766.23,31.31,193.33,78.76,0.0,0.07,253.38,47.03,0.67,23.81,5.13,9.06,3.93,0.91,5.46,0.09,18-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
18-Apr-2020 - 00:00,13.74,766.2,32.11,203.41,74.4,0.0,0.08,204.52,53.92,0.57,20.82,4.96,8.53,3.57,0.88,2.83,0.03,19-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
19-Apr-2020 - 00:00,14.86,765.9,32.64,203.14,73.11,0.0,0.11,191.77,59.69,0.49,23.17,4.67,7.9,3.23,0.89,3.4,,20-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
20-Apr-2020 - 00:00,17.37,765.18,33.87,219.77,61.66,0.0,0.08,114.05,77.23,0.53,23.72,4.84,8.29,3.45,0.96,3.39,0.07,21-Apr-2020 - 00:00,"Bandra, Mumbai - MPCB"
