from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
12-Apr-2020 - 00:00,28.56,985.66,139.35,65.23,44.29,232.5,6.76,94.17,1.98,0.59,1.44,30.39,5.44,18.71,14.39,62.81,25.86,13-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
13-Apr-2020 - 00:00,29.77,983.59,190.35,88.36,42.8,224.3,10.68,76.15,1.66,0.71,1.88,30.54,6.11,23.94,17.72,57.83,30.97,14-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
14-Apr-2020 - 00:00,30.74,983.86,220.02,105.47,40.99,170.96,18.47,196.35,0.69,0.87,2.36,31.86,6.33,29.22,20.71,57.33,32.77,15-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
15-Apr-2020 - 00:00,31.33,983.44,211.47,67.82,35.07,215.47,13.93,185.76,1.27,0.66,2.14,25.09,6.99,27.58,20.38,49.29,16.66,16-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
16-Apr-2020 - 00:00,30.02,982.35,240.68,80.2,37.03,217.55,11.0,103.66,1.85,0.56,1.95,31.31,6.8,24.64,18.64,60.43,25.76,17-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
17-Apr-2020 - 00:00,30.11,981.83,110.73,27.33,37.83,190.37,4.81,194.33,1.32,0.41,0.86,26.34,5.56,19.9,15.11,74.27,13.14,18-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
18-Apr-2020 - 00:00,28.51,983.66,99.45,25.57,46.23,194.82,5.11,260.46,1.57,0.43,0.97,30.37,5.53,19.87,15.08,70.02,13.75,19-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
19-Apr-2020 - 00:00,27.84,983.37,82.34,50.8,50.18,241.29,10.69,119.65,1.62,0.55,1.22,40.48,6.25,19.73,15.6,52.32,11.13,20-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
20-Apr-2020 - 00:00,26.88,984.28,162.07,75.65,49.86,206.28,18.41,104.14,1.23,0.69,1.9,44.45,10.49,29.08,24.21,39.15,11.23,21-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
21-Apr-2020 - 00:00,26.58,984.27,134.25,56.0,47.7,5.53,5.99,108.43,1.75,0.68,2.14,,7.5,43.25,28.9,13.35,28.85,22-Apr-2020 - 00:00,"Mundka, Delhi - DPCC"
