from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
26-Mar-2020 - 00:00,22.03,52.89,18.32,3.04,12.21,52.93,12.93,0.4,62.02,30.67,0.72,229.73,46.17,723.98,295.28,0.0,27-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
27-Mar-2020 - 00:00,21.03,66.33,17.08,2.96,11.5,40.65,3.51,0.26,55.55,27.41,0.81,134.53,52.73,725.39,277.4,0.0,28-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
28-Mar-2020 - 00:00,17.92,45.16,16.11,3.2,11.17,35.7,6.03,0.25,50.78,28.18,0.52,176.55,51.03,725.36,319.19,0.0,29-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
29-Mar-2020 - 00:00,14.03,45.46,16.21,3.29,11.3,34.96,5.43,0.33,64.66,29.55,0.55,160.89,40.84,723.86,311.3,0.0,30-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
30-Mar-2020 - 00:00,18.1,60.89,17.72,3.06,11.91,43.89,4.47,0.31,66.92,30.52,0.49,135.85,36.55,723.94,305.27,0.0,31-Mar-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
31-Mar-2020 - 00:00,20.45,66.65,16.44,2.81,11.03,59.95,7.18,0.39,75.55,30.88,0.69,167.08,39.23,723.04,297.6,0.05,01-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
01-Apr-2020 - 00:00,24.29,64.01,19.62,3.01,12.88,41.12,6.59,0.46,58.97,31.61,0.52,204.67,40.86,721.6,303.94,0.0,02-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
02-Apr-2020 - 00:00,26.72,91.68,18.48,3.03,12.28,50.05,3.81,0.29,61.9,30.59,0.6,221.15,33.85,721.48,314.33,0.0,03-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
03-Apr-2020 - 00:00,15.93,62.25,14.8,2.48,9.88,44.91,5.51,0.32,66.69,27.78,0.55,140.14,30.15,723.45,315.91,0.0,04-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
04-Apr-2020 - 00:00,24.73,80.0,17.04,2.74,11.29,41.1,5.27,0.49,61.14,28.25,0.49,153.62,30.08,723.74,316.14,0.0,05-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
05-Apr-2020 - 00:00,29.88,87.04,16.17,2.54,10.67,37.84,5.83,0.54,62.11,28.5,0.51,176.64,28.14,724.35,312.46,0.0,06-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
06-Apr-2020 - 00:00,30.12,91.4,17.87,2.64,11.65,37.87,6.69,0.6,71.15,29.84,0.56,199.09,30.14,722.7,306.31,0.0,07-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
07-Apr-2020 - 00:00,37.51,86.26,16.15,2.89,10.91,36.3,6.45,0.53,81.86,29.64,0.61,133.78,38.88,720.59,302.25,0.0,08-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
08-Apr-2020 - 00:00,33.94,67.94,16.72,3.01,11.34,39.13,8.52,0.48,80.47,27.3,0.6,112.76,46.01,720.8,262.1,0.02,09-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
09-Apr-2020 - 00:00,32.54,90.61,18.82,3.02,12.47,43.83,5.3,0.52,65.19,28.05,0.52,200.02,38.58,722.0,314.59,0.0,10-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
10-Apr-2020 - 00:00,33.28,116.74,18.76,3.14,12.53,44.93,5.31,0.54,56.79,29.7,0.58,164.0,28.52,723.3,314.2,0.0,11-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
11-Apr-2020 - 00:00,57.55,158.97,21.78,3.3,14.27,40.54,6.5,0.85,46.47,30.3,0.5,218.7,30.02,724.23,305.36,0.0,12-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
12-Apr-2020 - 00:00,45.82,140.74,20.32,2.98,13.24,39.59,6.55,0.73,59.12,31.3,0.81,226.38,28.21,721.89,314.96,0.0,13-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
13-Apr-2020 - 00:00,34.58,133.23,18.85,2.89,12.38,38.16,3.3,0.68,49.04,31.69,0.62,225.84,28.18,720.71,309.08,0.0,14-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
14-Apr-2020 - 00:00,37.59,147.61,21.5,3.49,14.28,38.14,4.04,0.65,55.68,31.91,0.62,181.9,30.17,721.19,275.96,0.0,15-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
15-Apr-2020 - 00:00,29.05,111.64,17.67,3.07,11.9,36.71,6.54,0.55,59.97,31.34,0.66,192.77,33.55,721.48,267.34,0.0,16-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
16-Apr-2020 - 00:00,52.17,134.8,20.21,3.19,13.34,38.57,5.83,0.81,58.49,32.17,0.78,249.02,31.01,718.89,310.12,0.0,17-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
17-Apr-2020 - 00:00,54.82,150.74,21.4,2.72,13.59,37.47,6.51,0.75,60.84,32.39,0.58,203.66,27.05,717.99,294.36,0.0,18-Apr-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
