from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
03-Mar-2020 - 00:00,53.37,71.3,36.32,18.03,4.18,0.64,54.49,89.08,1.78,0.0,0.61,3.1,18.2,20.31,0.01,153.13,81.36,0.05,157.99,0.62,994.82,04-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Mar-2020 - 00:00,42.47,51.86,41.4,9.39,4.38,0.62,33.74,69.47,1.38,0.0,0.65,2.9,27.4,21.22,0.0,223.86,76.31,0.0,77.84,0.92,995.82,05-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Mar-2020 - 00:00,46.94,62.77,40.25,14.0,4.79,0.64,48.53,90.87,1.26,0.0,0.6,3.26,29.14,22.63,-0.0,233.09,65.61,0.0,70.42,0.96,995.81,06-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Mar-2020 - 00:00,50.59,74.52,32.03,23.94,4.97,0.74,49.08,87.93,1.21,0.0,0.99,4.18,22.96,20.36,-0.02,102.43,75.1,0.01,80.82,1.11,997.21,07-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Mar-2020 - 00:00,49.47,77.79,34.73,28.47,4.86,0.63,50.4,94.6,1.66,0.0,1.0,3.91,20.33,20.32,-0.01,173.57,78.77,0.13,92.91,0.89,997.69,08-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Mar-2020 - 00:00,41.13,71.57,31.05,29.37,4.18,0.52,40.43,76.25,1.56,0.0,0.56,3.22,16.91,19.99,0.01,189.32,82.92,0.0,188.75,0.4,995.84,09-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Mar-2020 - 00:00,40.77,47.17,41.97,6.5,4.99,0.64,67.98,106.17,1.99,0.0,0.54,3.6,22.81,21.08,0.01,185.15,81.11,0.0,177.14,0.48,994.44,10-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
10-Mar-2020 - 00:00,37.78,50.16,33.62,12.16,5.15,0.6,68.67,102.64,1.97,0.0,0.43,3.01,29.36,21.94,0.0,223.99,76.12,0.0,189.55,0.54,995.01,11-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
11-Mar-2020 - 00:00,45.19,57.49,36.76,12.38,5.01,0.68,74.06,110.89,1.92,0.0,0.57,3.04,29.76,22.16,-0.02,227.39,74.81,0.0,182.32,0.59,994.76,12-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
12-Mar-2020 - 00:00,64.14,86.28,32.78,22.14,5.74,0.83,98.52,143.71,3.26,0.0,1.14,5.32,19.33,22.36,0.0,181.02,77.58,0.0,152.98,0.47,997.11,13-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
13-Mar-2020 - 00:00,55.59,78.93,41.65,23.37,5.41,0.8,91.58,155.69,3.51,0.0,1.39,4.74,25.15,23.5,-0.0,147.25,72.93,0.0,142.16,0.72,998.05,14-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
14-Mar-2020 - 00:00,50.99,71.08,36.06,20.1,4.94,0.69,101.66,144.37,3.59,0.0,0.79,3.99,12.76,21.18,0.01,48.68,89.37,0.0,196.31,0.42,998.36,15-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
15-Mar-2020 - 00:00,30.25,41.44,36.87,11.2,4.41,0.54,68.36,99.31,2.57,0.0,0.43,3.85,16.15,21.02,0.01,203.8,82.86,0.0,229.76,0.49,997.32,16-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
16-Mar-2020 - 00:00,47.3,55.23,41.01,7.95,5.64,0.63,69.66,128.65,2.04,0.0,0.48,3.38,29.48,22.58,0.01,260.9,65.39,0.0,231.24,0.56,996.47,17-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
17-Mar-2020 - 00:00,59.49,97.53,30.02,38.26,7.37,0.73,79.83,152.84,3.45,0.0,1.16,12.08,23.6,20.41,-0.01,215.05,71.9,0.0,183.63,0.57,997.66,18-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
18-Mar-2020 - 00:00,71.76,99.88,34.39,26.76,9.46,0.79,103.28,189.72,3.32,0.0,1.2,7.53,22.19,21.11,0.01,194.17,73.61,0.0,196.08,0.54,996.28,19-Mar-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
