from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,WS,WD,to date,station
05-Oct-2020 - 00:00,62.6,150.71,44.36,87.65,39.47,11.9,31.0,1.05,29.99,2.85,0.39,286.19,06-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Oct-2020 - 00:00,46.51,149.93,51.6,85.32,33.99,13.94,25.53,1.2,24.52,2.91,0.41,263.51,07-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Oct-2020 - 00:00,57.3,215.59,44.0,123.47,81.82,12.74,31.68,1.54,22.39,2.82,0.38,230.36,08-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Oct-2020 - 00:00,69.94,190.4,62.45,107.28,46.55,11.57,26.32,1.47,23.51,2.86,0.36,212.58,09-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Oct-2020 - 00:00,53.45,154.24,36.71,82.9,46.45,13.07,19.82,1.07,22.5,2.87,0.3,151.78,10-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Oct-2020 - 00:00,73.99,198.24,44.05,107.14,65.39,11.57,20.93,1.39,22.52,2.93,0.29,134.33,11-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Oct-2020 - 00:00,63.77,187.93,51.15,104.03,52.67,10.08,22.66,1.31,21.58,3.15,0.3,165.6,12-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Oct-2020 - 00:00,75.78,213.41,38.45,111.93,75.15,12.04,26.2,1.66,22.44,2.78,0.29,132.92,13-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Oct-2020 - 00:00,87.63,218.3,37.04,117.6,92.93,11.49,21.51,2.04,20.42,2.81,0.26,120.28,14-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Oct-2020 - 00:00,57.05,183.15,54.31,67.33,13.02,14.03,13.1,0.87,23.08,3.1,0.38,87.53,15-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Oct-2020 - 00:00,49.74,116.77,31.93,37.74,5.8,23.42,12.23,0.7,20.9,3.18,0.53,56.83,16-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Oct-2020 - 00:00,37.84,95.17,29.25,39.57,10.32,37.31,8.49,0.67,24.58,2.91,0.44,73.43,17-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Oct-2020 - 00:00,39.6,90.91,36.85,50.33,13.48,18.4,12.71,0.79,22.05,1.79,0.41,142.34,18-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Oct-2020 - 00:00,30.73,74.65,29.76,45.4,15.65,16.04,18.74,0.72,19.86,,0.42,196.19,19-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Oct-2020 - 00:00,52.13,110.38,28.48,66.06,38.71,10.54,27.13,0.89,16.9,2.96,0.31,151.24,20-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Oct-2020 - 00:00,54.32,142.71,32.75,84.03,51.99,12.11,18.29,1.16,21.6,2.45,0.26,143.86,21-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Oct-2020 - 00:00,56.0,117.97,41.74,62.59,20.74,14.59,19.16,0.93,20.07,1.7,0.34,190.16,22-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Oct-2020 - 00:00,46.82,107.47,41.89,75.89,34.36,13.57,30.29,0.94,21.86,1.93,0.38,212.93,23-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Oct-2020 - 00:00,44.56,202.22,40.64,142.48,113.88,8.08,34.08,1.51,27.89,2.7,0.26,153.14,24-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Oct-2020 - 00:00,54.59,213.22,27.4,153.52,143.76,10.69,47.02,1.69,32.64,3.82,0.28,145.74,25-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Oct-2020 - 00:00,53.54,129.74,38.47,101.29,64.49,11.43,33.42,1.28,22.18,2.97,0.32,132.43,26-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Oct-2020 - 00:00,42.88,142.22,32.64,116.21,90.2,10.3,14.68,1.29,23.32,2.89,0.3,145.23,27-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Oct-2020 - 00:00,57.78,164.17,22.74,123.65,109.64,11.72,10.98,1.26,22.87,2.28,0.26,114.41,28-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Oct-2020 - 00:00,47.51,176.51,34.18,107.79,75.64,12.14,11.36,1.22,22.56,2.44,0.29,107.52,29-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Oct-2020 - 00:00,63.78,147.06,43.69,101.95,58.86,11.44,10.47,1.2,23.39,1.89,0.28,111.58,30-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Oct-2020 - 00:00,71.82,155.97,34.16,102.15,69.46,13.08,14.3,1.13,23.51,1.84,0.3,92.67,31-Oct-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
31-Oct-2020 - 00:00,51.39,159.68,32.58,97.87,67.31,15.33,8.65,1.48,20.83,1.91,0.36,79.81,01-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Nov-2020 - 00:00,40.26,164.8,37.92,95.85,58.88,14.35,14.48,1.5,20.59,1.97,0.3,68.47,02-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Nov-2020 - 00:00,39.73,198.9,44.46,103.02,60.13,12.46,13.07,1.58,21.29,1.97,0.29,83.71,03-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Nov-2020 - 00:00,53.84,195.14,35.19,121.18,93.72,12.83,11.31,1.72,23.65,2.11,0.29,78.24,04-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Nov-2020 - 00:00,94.25,194.84,37.18,145.97,116.27,8.73,15.21,1.91,17.19,2.3,0.31,124.81,05-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Nov-2020 - 00:00,104.12,212.43,51.44,116.13,69.24,9.76,13.93,1.46,18.73,2.01,0.31,125.36,06-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Nov-2020 - 00:00,99.93,267.21,47.63,117.02,70.46,13.56,9.86,1.82,17.97,3.65,0.3,71.6,07-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Nov-2020 - 00:00,62.82,271.8,53.63,82.0,28.37,16.02,11.66,1.36,19.77,4.47,0.31,103.96,08-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Nov-2020 - 00:00,46.54,178.85,44.59,54.88,10.29,19.65,14.38,1.11,19.05,3.72,0.36,78.8,09-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Nov-2020 - 00:00,56.42,227.74,50.28,66.78,17.52,18.56,13.62,1.26,20.56,4.53,0.34,97.0,10-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Nov-2020 - 00:00,112.7,287.66,56.21,90.68,34.69,17.64,16.82,1.58,19.43,6.35,0.35,75.76,11-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
11-Nov-2020 - 00:00,153.16,275.63,62.63,103.76,41.13,16.28,21.73,1.67,19.35,7.3,0.34,84.34,12-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
12-Nov-2020 - 00:00,146.79,240.21,43.33,59.52,16.19,21.48,18.84,1.38,18.8,5.75,0.39,79.76,13-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
13-Nov-2020 - 00:00,56.72,161.54,39.53,52.66,13.15,21.37,18.98,1.16,21.05,3.58,0.37,74.29,14-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
14-Nov-2020 - 00:00,38.89,116.75,31.47,39.3,7.88,26.51,14.02,0.96,19.97,3.91,0.36,81.88,15-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
15-Nov-2020 - 00:00,40.89,119.2,30.91,37.21,6.31,28.31,10.44,0.94,18.88,2.01,0.28,151.4,16-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
16-Nov-2020 - 00:00,48.96,105.4,25.92,30.73,4.88,25.44,12.88,0.81,19.44,1.67,0.35,189.07,17-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
17-Nov-2020 - 00:00,60.39,87.42,29.35,34.4,5.09,24.03,11.76,0.74,19.84,1.8,0.37,190.32,18-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
18-Nov-2020 - 00:00,68.36,104.87,30.58,35.72,5.03,24.5,18.28,0.83,19.72,2.1,0.38,255.24,19-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
19-Nov-2020 - 00:00,54.98,112.59,38.97,44.5,5.64,19.3,24.41,0.8,18.77,1.89,0.44,274.7,20-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
20-Nov-2020 - 00:00,52.95,111.43,32.05,37.24,5.19,21.28,19.8,0.81,19.16,2.31,0.43,138.57,21-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
21-Nov-2020 - 00:00,29.28,100.74,18.98,23.34,4.36,24.14,14.25,0.68,18.7,2.1,0.42,65.5,22-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
22-Nov-2020 - 00:00,28.99,102.12,17.66,21.92,4.27,23.98,11.02,0.68,19.97,1.82,0.37,69.23,23-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
23-Nov-2020 - 00:00,41.35,168.94,50.62,71.2,20.58,17.64,21.9,1.35,19.5,12.11,0.35,81.4,24-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
24-Nov-2020 - 00:00,114.1,241.11,52.95,76.74,23.8,17.17,19.61,1.48,20.59,14.1,0.29,107.0,25-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
25-Nov-2020 - 00:00,67.91,209.78,59.12,82.24,23.12,34.82,27.25,1.26,17.86,7.09,0.3,110.27,26-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
26-Nov-2020 - 00:00,62.37,159.73,39.48,46.86,7.37,19.85,37.77,0.95,18.08,3.35,0.46,162.52,27-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
27-Nov-2020 - 00:00,61.36,147.84,26.05,32.54,6.49,15.97,10.62,0.75,17.59,1.7,0.59,41.32,28-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
28-Nov-2020 - 00:00,41.45,113.28,29.83,38.49,8.67,14.34,19.58,0.74,16.8,4.02,0.49,57.97,29-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
29-Nov-2020 - 00:00,17.1,91.84,28.87,35.98,7.13,14.79,18.27,0.77,16.39,7.15,0.41,71.29,30-Nov-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
30-Nov-2020 - 00:00,56.62,164.67,40.22,52.27,12.06,18.78,24.3,0.97,17.37,6.86,0.36,71.0,01-Dec-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
01-Dec-2020 - 00:00,209.29,358.89,68.87,88.69,30.44,23.34,29.99,0.99,3.66,9.29,0.43,23.28,02-Dec-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
