from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
31-Mar-2020 - 00:00,43.26,3.34,22.02,51.14,13.58,0.25,32.02,28.86,87.19,1.11,1.55,0.03,0.18,0.36,65.35,307.02,0.01,1.02,276.68,01-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Apr-2020 - 00:00,40.55,3.83,20.98,51.65,9.33,0.17,30.43,29.16,90.55,1.14,1.58,0.04,0.2,0.46,63.47,443.04,0.0,0.79,238.48,02-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Apr-2020 - 00:00,39.45,3.06,19.8,51.26,6.14,0.14,36.26,24.89,77.51,0.93,1.1,0.03,0.12,0.26,58.82,479.13,0.0,1.56,307.05,03-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Apr-2020 - 00:00,47.82,2.87,24.03,42.07,5.82,0.12,40.05,17.96,57.46,0.81,1.5,0.02,0.18,0.41,44.43,479.05,0.0,1.05,281.22,04-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Apr-2020 - 00:00,55.29,3.15,28.15,42.1,9.51,0.27,37.48,24.74,69.86,1.13,1.34,0.17,0.16,0.31,46.39,479.38,0.0,1.05,289.69,05-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Apr-2020 - 00:00,53.31,3.48,27.39,45.02,18.12,0.37,40.02,35.75,91.1,1.62,2.13,0.05,0.23,0.44,49.7,480.25,0.0,0.52,230.43,06-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Apr-2020 - 00:00,56.78,7.42,32.04,34.98,16.47,0.3,33.49,41.96,122.87,2.22,2.03,0.06,0.2,0.4,49.65,499.12,0.0,0.8,268.2,07-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Apr-2020 - 00:00,41.7,4.47,20.55,42.47,6.46,0.2,34.23,32.16,112.54,0.2,0.28,0.02,0.04,0.05,51.67,425.36,0.0,1.54,323.36,08-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Apr-2020 - 00:00,52.21,5.49,26.87,34.28,8.25,0.25,32.19,27.31,91.32,0.49,0.93,0.04,0.04,0.11,42.8,479.46,0.0,1.19,290.7,09-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Apr-2020 - 00:00,57.52,5.4,29.57,35.12,13.58,0.38,33.24,34.17,107.4,0.94,0.82,0.08,0.08,0.21,44.06,489.04,0.0,0.82,258.91,10-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Apr-2020 - 00:00,64.12,6.55,33.93,33.62,11.15,0.32,29.93,42.73,118.33,0.56,1.29,0.07,0.09,0.18,39.28,514.89,0.0,0.6,269.75,11-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Apr-2020 - 00:00,54.8,6.37,28.92,38.33,16.07,0.34,34.36,39.9,133.36,0.46,0.86,0.04,0.06,0.12,39.45,472.78,0.0,0.61,263.71,12-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Apr-2020 - 00:00,49.69,4.61,24.48,45.57,11.87,0.24,36.93,26.34,88.84,0.41,1.12,0.04,0.05,0.1,42.92,552.16,0.0,0.96,285.31,13-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Apr-2020 - 00:00,63.41,5.37,32.43,47.19,12.09,0.38,34.34,38.69,128.57,0.77,1.22,0.1,0.1,0.25,33.9,381.65,0.0,0.91,254.73,14-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Apr-2020 - 00:00,55.93,4.46,27.97,40.48,16.13,0.42,35.59,49.85,182.24,0.98,1.19,0.12,0.18,0.35,26.07,545.79,0.0,0.46,174.49,15-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Apr-2020 - 00:00,52.87,8.66,29.75,47.05,16.97,0.63,40.91,79.97,297.59,1.81,1.52,0.1,0.15,0.29,35.11,231.21,0.0,0.36,125.47,16-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Apr-2020 - 00:00,65.63,7.31,35.41,37.01,18.52,0.38,33.25,69.28,237.76,0.85,2.3,0.09,0.13,0.25,31.09,260.5,0.0,0.64,287.35,17-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Apr-2020 - 00:00,39.89,4.24,19.42,42.69,14.63,0.21,34.23,34.68,152.24,0.25,1.25,0.06,0.38,0.21,33.0,260.5,0.0,0.82,154.72,18-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
