from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
21-Mar-2020 - 00:00,49.61,16.26,39.6,27.08,3.57,1.77,1.7,97.54,211.4,1.58,4.04,30.39,0.3,293.55,52.84,741.21,84.88,0.0,22-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
22-Mar-2020 - 00:00,55.15,10.25,37.67,15.66,4.03,1.5,1.79,55.82,126.26,0.88,1.12,29.39,0.36,212.14,51.73,741.35,102.34,0.0,23-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
23-Mar-2020 - 00:00,47.36,13.17,35.91,17.02,4.73,1.58,1.74,58.4,119.98,1.13,1.49,30.46,0.31,225.11,49.36,741.33,104.68,0.0,24-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
24-Mar-2020 - 00:00,53.3,13.93,39.67,17.15,4.2,1.99,1.75,49.14,127.87,1.28,1.34,30.47,0.46,301.36,50.93,741.22,88.87,0.0,25-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
25-Mar-2020 - 00:00,43.37,11.91,32.75,22.81,11.28,2.94,1.72,35.13,84.5,0.79,0.93,29.46,0.44,244.35,57.31,741.13,68.32,0.0,26-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
26-Mar-2020 - 00:00,41.81,10.55,30.82,15.27,8.7,2.96,1.77,39.97,96.81,0.89,0.9,29.73,1.21,269.01,57.72,741.24,79.04,0.0,27-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Mar-2020 - 00:00,45.79,11.06,33.34,14.28,7.31,1.34,1.83,24.36,56.94,0.63,0.55,26.89,0.6,253.35,62.68,741.56,51.2,0.03,28-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Mar-2020 - 00:00,44.6,10.91,32.59,12.43,8.8,2.07,1.76,19.26,36.03,0.46,0.41,26.82,0.88,223.45,61.8,741.69,113.1,0.0,29-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
29-Mar-2020 - 00:00,51.34,9.51,35.03,13.38,5.63,1.33,1.75,25.43,70.71,0.6,0.43,28.16,1.65,250.49,53.93,741.2,116.54,0.0,30-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
30-Mar-2020 - 00:00,55.54,8.95,36.81,19.02,9.09,1.39,1.69,30.31,82.1,0.83,0.56,27.71,1.22,251.88,52.52,741.28,114.79,0.0,31-Mar-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
31-Mar-2020 - 00:00,59.51,8.38,38.46,20.29,8.64,1.63,1.71,31.38,89.12,0.66,0.6,29.33,0.59,241.41,51.09,741.14,103.26,0.0,01-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Apr-2020 - 00:00,60.67,8.58,39.25,20.11,7.55,1.44,1.81,27.83,81.62,0.62,0.53,31.95,0.44,216.93,47.54,741.17,110.33,0.0,02-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Apr-2020 - 00:00,55.9,8.26,36.45,20.21,7.58,1.42,1.74,27.0,85.78,0.72,0.46,29.67,1.15,238.4,50.04,741.0,116.82,0.0,03-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Apr-2020 - 00:00,56.05,6.07,34.75,18.9,10.28,1.43,1.75,27.32,85.38,0.82,0.57,28.37,0.98,280.05,43.49,741.17,118.51,0.0,04-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Apr-2020 - 00:00,62.1,6.73,38.51,20.06,8.37,2.17,1.74,36.65,111.78,1.15,0.93,30.11,0.76,232.27,44.14,741.27,119.18,0.0,05-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Apr-2020 - 00:00,66.95,9.83,43.6,22.35,8.69,1.84,1.76,41.49,130.16,1.25,1.17,31.7,0.56,189.9,45.05,741.43,110.38,0.0,06-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Apr-2020 - 00:00,65.17,8.82,41.84,23.8,9.76,1.9,1.88,44.14,140.5,1.4,1.14,34.45,0.45,208.82,42.71,741.29,115.36,0.0,07-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Apr-2020 - 00:00,56.29,6.74,35.43,23.65,10.8,1.55,1.84,31.79,130.98,0.88,0.56,31.98,1.21,243.16,46.04,741.0,110.36,0.0,08-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Apr-2020 - 00:00,55.95,6.52,35.06,22.05,7.69,1.86,1.77,28.26,116.81,0.77,0.59,31.83,0.86,233.98,42.61,741.09,113.36,0.0,09-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Apr-2020 - 00:00,61.37,6.71,38.1,22.62,8.05,1.52,1.76,38.07,129.47,1.07,0.87,31.73,0.63,255.21,42.73,741.06,108.68,0.0,10-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Apr-2020 - 00:00,64.4,7.94,40.7,23.61,8.78,1.98,1.85,40.74,141.03,1.39,1.24,35.13,0.41,230.88,39.66,741.33,114.34,0.0,11-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Apr-2020 - 00:00,69.26,14.36,48.51,25.88,9.34,2.04,1.83,46.74,172.0,1.56,1.39,37.16,0.36,195.42,39.69,741.41,106.69,0.0,12-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Apr-2020 - 00:00,61.43,7.74,38.96,26.42,9.86,1.65,1.72,38.4,145.41,1.37,0.92,35.29,0.68,257.64,41.59,741.16,114.51,0.0,13-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Apr-2020 - 00:00,64.42,10.42,42.74,26.89,8.19,2.32,1.78,49.0,183.1,1.92,1.58,37.81,0.65,286.16,39.21,741.0,112.96,0.0,14-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Apr-2020 - 00:00,62.59,10.17,41.56,23.46,9.58,1.63,1.7,60.04,222.02,2.13,1.76,40.4,0.31,261.0,38.41,741.05,94.62,0.0,15-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Apr-2020 - 00:00,62.56,7.34,39.24,19.74,4.38,2.09,1.75,66.81,283.22,1.66,1.2,39.99,0.35,247.86,37.75,741.01,94.11,0.0,16-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Apr-2020 - 00:00,63.9,11.36,43.22,22.24,7.07,2.18,1.74,73.61,309.69,2.23,1.7,39.43,0.55,211.53,38.95,741.0,98.78,0.0,17-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Apr-2020 - 00:00,57.49,6.38,35.76,27.12,4.73,1.9,1.72,32.75,146.39,0.69,0.66,38.3,0.6,228.01,36.59,741.0,102.4,0.0,18-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Apr-2020 - 00:00,50.45,5.26,31.11,25.2,5.44,2.15,1.79,26.41,124.36,0.39,0.33,36.74,0.73,189.42,40.09,741.0,98.53,0.03,19-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Apr-2020 - 00:00,54.86,6.54,34.49,24.56,7.4,1.58,1.8,25.99,89.11,0.6,0.56,35.15,0.53,169.02,43.35,741.0,115.25,0.04,20-Apr-2020 - 00:00,"Anand Vihar, Hapur - UPPCB"
