from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
15-Feb-2020 - 00:00,0.86,33.25,28.41,100.8,47.01,148.07,66.54,297.65,107.95,7.91,12.7,1.87,3.93,22.91,0.39,0.0,217.5,48.51,,171.4,16-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Feb-2020 - 00:00,0.93,31.94,24.67,102.69,46.31,149.0,71.88,316.09,121.55,9.3,11.83,2.16,4.69,22.39,0.24,0.0,181.23,53.17,,127.2,17-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Feb-2020 - 00:00,1.13,27.92,15.26,92.62,64.04,156.22,70.16,352.17,134.98,10.94,12.09,2.77,6.09,22.75,0.28,0.0,182.61,55.67,,121.34,18-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Feb-2020 - 00:00,0.93,26.58,11.54,63.49,53.23,114.92,52.96,327.4,136.76,11.64,18.91,2.82,5.2,22.81,0.3,-0.0,216.75,65.54,,147.53,19-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Feb-2020 - 00:00,0.57,28.48,34.0,66.59,29.12,95.06,67.72,288.96,116.13,9.87,13.93,1.82,3.86,23.13,0.39,0.0,205.21,70.37,,125.81,20-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Feb-2020 - 00:00,0.41,32.49,28.55,57.83,17.36,74.92,53.08,221.92,77.96,5.32,8.21,0.98,2.32,23.82,0.48,0.0,216.41,69.16,,139.28,21-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Feb-2020 - 00:00,0.75,31.94,14.13,51.0,61.45,109.5,53.83,292.36,108.33,9.8,15.15,2.26,4.84,23.41,0.27,0.01,154.86,61.25,,102.79,22-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Feb-2020 - 00:00,0.67,37.14,15.46,68.06,20.69,88.75,50.23,301.17,119.19,6.88,9.47,1.33,2.56,24.35,0.28,0.0,217.3,50.48,,143.86,23-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Feb-2020 - 00:00,0.72,29.49,9.65,50.86,32.27,82.01,55.91,275.23,107.01,6.29,7.48,1.25,2.76,24.03,0.53,0.0,112.95,59.13,,118.84,24-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Feb-2020 - 00:00,1.05,25.3,16.12,47.33,69.38,115.85,57.15,313.5,140.38,10.57,13.41,2.81,5.73,22.75,0.34,0.0,117.37,66.69,,66.15,25-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
