from date,Toluene,Benzene,AT,RH,BP,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,station
01-Sep-2020 - 00:00,8.62,0.78,30.4,77.99,995.91,1.51,30.74,0.08,0.44,254.61,1.06,13.88,23.52,29.05,31.35,29.36,12.18,02-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Sep-2020 - 00:00,2.33,0.87,28.36,94.88,996.89,1.6,20.48,0.12,0.4,160.72,1.22,10.92,15.87,17.53,31.42,33.81,12.19,03-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Sep-2020 - 00:00,1.59,0.85,28.72,89.14,997.74,1.0,36.95,0.11,0.5,116.19,0.64,17.1,32.1,35.23,61.58,32.13,12.06,04-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Sep-2020 - 00:00,4.83,1.37,30.07,82.27,997.15,1.44,28.88,0.09,0.49,131.58,0.93,12.76,17.44,22.75,63.2,40.43,10.72,05-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Sep-2020 - 00:00,5.41,1.27,30.94,81.11,994.25,1.94,28.33,0.07,0.47,233.73,2.5,12.43,20.42,25.43,66.78,41.23,9.54,06-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Sep-2020 - 00:00,3.45,0.7,31.16,79.61,992.92,1.36,36.89,0.07,0.43,222.76,0.88,15.98,32.48,39.69,57.12,31.72,12.1,07-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Sep-2020 - 00:00,4.2,1.14,31.78,75.9,993.14,1.68,34.98,0.05,0.45,229.68,1.1,14.18,26.7,23.12,39.99,33.41,11.66,08-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Sep-2020 - 00:00,3.61,1.1,32.27,70.72,994.1,1.43,37.21,0.06,0.41,198.22,0.67,5.59,12.23,11.87,89.68,44.88,11.26,09-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Sep-2020 - 00:00,13.56,1.36,30.87,83.89,994.17,1.7,28.64,0.08,0.38,197.26,1.34,9.17,17.24,18.66,70.71,50.06,15.72,10-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Sep-2020 - 00:00,2.87,1.13,30.8,84.45,991.08,2.24,29.02,0.08,0.36,177.5,1.42,12.58,23.88,22.21,25.32,57.53,12.29,11-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Sep-2020 - 00:00,2.89,1.2,30.94,83.84,992.12,1.38,31.41,0.06,0.41,197.86,0.92,10.26,19.16,18.7,65.6,63.07,14.21,12-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Sep-2020 - 00:00,1.8,0.84,30.26,84.97,995.77,0.67,27.91,0.07,0.43,237.69,0.99,7.29,21.31,19.29,35.82,47.0,14.1,13-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Sep-2020 - 00:00,2.22,0.92,30.93,83.58,995.47,1.42,28.8,0.03,0.44,251.27,1.29,7.11,19.72,18.52,120.3,41.99,16.37,14-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Sep-2020 - 00:00,1.47,0.76,30.51,85.2,994.12,0.89,28.61,0.04,0.41,234.63,1.74,6.53,17.27,16.18,80.79,42.85,16.01,15-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Sep-2020 - 00:00,1.97,1.03,31.07,82.85,993.2,0.95,29.82,0.06,0.42,214.93,0.66,12.05,54.33,39.04,39.51,52.32,13.39,16-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Sep-2020 - 00:00,2.43,1.1,30.22,88.47,992.79,1.38,25.16,0.08,0.34,231.55,0.74,10.63,30.24,22.5,69.51,54.52,11.5,17-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Sep-2020 - 00:00,6.44,2.02,31.71,77.43,991.67,1.92,28.71,0.09,0.41,164.45,0.9,9.44,28.16,23.07,86.09,68.24,19.49,18-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Sep-2020 - 00:00,3.84,1.38,31.49,77.62,991.13,1.42,30.76,0.02,0.37,170.85,1.83,5.62,18.19,14.97,80.63,61.37,14.65,19-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Sep-2020 - 00:00,1.23,1.41,29.25,90.09,991.15,0.48,22.31,-0.02,0.44,208.72,1.24,8.71,38.92,28.28,104.62,45.34,9.38,20-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Sep-2020 - 00:00,1.54,2.14,30.86,77.03,989.98,0.83,32.22,-0.02,0.43,203.9,2.05,14.12,32.07,24.07,81.42,49.92,17.01,21-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Sep-2020 - 00:00,1.66,1.7,30.99,79.13,989.22,0.93,30.85,-0.01,0.44,204.17,1.04,3.06,14.83,11.25,65.77,33.83,12.74,22-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Sep-2020 - 00:00,0.59,0.74,28.41,86.93,990.49,0.08,30.2,0.01,0.42,207.57,1.44,2.3,14.46,10.48,39.17,20.94,11.18,23-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Sep-2020 - 00:00,0.71,0.43,25.74,99.15,990.73,0.31,23.76,0.12,0.44,201.16,0.88,2.34,15.1,10.89,61.71,20.0,14.2,24-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Sep-2020 - 00:00,0.71,0.32,24.11,99.15,991.67,0.21,22.62,0.13,0.43,192.23,0.81,2.32,15.79,11.24,55.41,16.12,15.4,25-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Sep-2020 - 00:00,2.55,0.7,26.79,92.26,993.03,1.19,36.87,0.08,0.46,215.62,0.96,4.04,17.48,13.5,53.37,26.4,12.73,26-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Sep-2020 - 00:00,4.73,1.84,29.38,82.43,992.57,2.29,34.77,0.02,0.41,180.13,1.74,9.41,33.23,26.04,45.09,60.7,9.27,27-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Sep-2020 - 00:00,3.85,1.86,29.74,81.79,995.34,1.85,28.62,0.03,0.39,167.88,1.66,3.79,15.44,12.24,44.17,91.05,10.03,28-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Sep-2020 - 00:00,11.51,4.11,29.77,69.18,996.86,13.11,30.01,0.05,0.39,110.99,1.49,11.26,33.61,27.23,22.14,90.76,10.25,29-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Sep-2020 - 00:00,33.5,5.66,29.17,67.22,996.02,11.2,28.98,0.06,0.41,142.85,1.15,7.84,19.33,16.43,21.66,116.72,5.66,30-Sep-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Sep-2020 - 00:00,11.69,4.77,28.67,59.26,995.14,11.08,28.64,0.03,0.39,101.37,1.3,8.91,25.76,20.64,21.36,102.84,4.93,01-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Oct-2020 - 00:00,9.81,5.21,28.76,60.18,994.56,8.17,41.06,0.05,0.39,171.44,1.07,6.07,18.05,14.34,23.8,108.94,5.52,02-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Oct-2020 - 00:00,8.07,6.24,28.98,71.77,995.44,6.16,41.04,0.07,0.44,252.49,1.04,4.18,16.08,11.8,25.61,106.47,5.68,03-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Oct-2020 - 00:00,8.57,5.0,29.41,74.64,996.56,6.76,35.06,0.08,0.43,219.67,2.14,3.85,16.12,11.56,34.86,81.58,4.48,04-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Oct-2020 - 00:00,16.02,6.45,29.53,72.05,996.8,8.34,36.02,0.1,0.4,200.41,1.49,3.05,17.22,11.5,32.84,98.74,6.45,05-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Oct-2020 - 00:00,14.15,7.77,29.92,69.54,996.52,7.05,36.89,0.08,0.42,132.41,1.54,4.4,14.5,11.89,35.3,90.43,7.82,06-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Oct-2020 - 00:00,21.62,10.0,28.95,58.65,997.4,16.92,35.52,0.09,0.45,101.44,2.39,6.84,18.01,16.23,32.01,182.31,10.0,07-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Oct-2020 - 00:00,19.33,12.27,29.02,65.22,998.67,16.63,36.1,0.09,0.44,240.0,2.61,5.74,23.89,18.89,29.12,159.13,7.5,08-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Oct-2020 - 00:00,19.72,11.63,28.94,64.46,999.11,16.35,34.29,0.09,0.42,162.84,2.84,5.09,16.95,14.23,28.76,171.63,8.62,09-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Oct-2020 - 00:00,20.82,11.52,28.49,56.97,998.46,16.11,32.59,0.07,0.45,103.5,3.89,10.04,28.0,23.51,26.71,157.51,7.01,10-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Oct-2020 - 00:00,26.66,11.8,28.11,56.33,997.61,22.44,31.29,0.07,0.44,147.99,3.02,33.46,33.01,44.2,28.73,197.54,5.09,11-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Oct-2020 - 00:00,12.91,6.44,28.3,59.44,997.2,12.45,28.17,0.09,0.47,221.84,2.67,17.49,32.07,30.18,36.27,91.6,2.18,12-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Oct-2020 - 00:00,6.97,3.11,28.67,55.1,995.47,6.21,30.16,0.08,0.47,246.78,2.18,13.75,30.11,26.28,44.77,65.57,2.35,13-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Oct-2020 - 00:00,6.83,4.39,28.4,61.48,996.8,5.56,30.2,0.06,0.47,215.93,1.16,11.25,25.77,22.37,48.72,70.65,7.19,14-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Oct-2020 - 00:00,6.4,4.56,28.37,75.74,997.35,4.74,28.61,0.08,0.45,200.84,1.28,11.02,16.75,17.18,43.56,72.31,5.81,15-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Oct-2020 - 00:00,9.33,4.33,29.01,78.96,997.47,6.87,27.94,0.08,0.45,192.12,1.62,20.01,16.86,24.66,42.06,79.49,5.88,16-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Oct-2020 - 00:00,12.07,6.76,29.41,69.04,997.22,9.81,28.65,0.07,0.41,182.76,1.5,25.25,19.62,30.71,37.22,91.34,6.17,17-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Oct-2020 - 00:00,9.5,4.5,28.69,50.55,997.71,7.44,28.2,0.07,0.44,140.23,1.4,17.28,56.59,43.33,42.98,93.65,5.45,18-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Oct-2020 - 00:00,18.74,8.05,27.6,49.89,998.02,16.56,26.9,0.06,0.47,101.72,2.14,38.34,36.61,50.15,45.42,114.55,6.39,19-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Oct-2020 - 00:00,13.5,6.76,26.93,51.46,997.48,11.02,25.78,0.06,0.48,101.72,1.86,19.87,28.12,31.1,44.04,115.91,5.22,20-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Oct-2020 - 00:00,13.8,7.49,26.28,51.31,997.84,9.77,25.98,0.07,0.45,71.96,1.63,17.8,26.21,28.26,45.79,128.67,6.03,21-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Oct-2020 - 00:00,14.28,8.25,26.16,53.35,998.18,10.22,25.76,0.07,0.47,133.72,2.06,30.8,24.94,36.22,37.38,141.7,6.32,22-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Oct-2020 - 00:00,12.88,6.6,26.23,57.03,997.55,10.79,25.26,0.09,0.42,162.97,1.56,41.88,28.58,39.66,36.28,135.47,7.41,23-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Oct-2020 - 00:00,27.18,6.34,26.17,61.98,997.44,11.44,24.55,0.07,0.44,140.15,0.41,56.34,35.88,53.08,37.36,127.08,6.78,24-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Oct-2020 - 00:00,21.0,9.04,25.26,46.77,998.28,15.28,24.81,0.08,0.46,71.56,0.59,71.93,32.21,61.95,38.95,107.18,7.83,25-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Oct-2020 - 00:00,26.69,11.79,25.03,49.7,999.9,22.29,24.03,0.07,0.46,105.39,0.48,85.32,48.63,74.51,40.77,142.7,7.78,26-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Oct-2020 - 00:00,26.2,9.6,24.43,50.09,,26.38,28.07,0.02,0.45,119.58,0.54,46.73,42.17,54.06,19.75,155.8,12.83,27-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Oct-2020 - 00:00,21.29,8.59,24.1,47.84,,19.08,27.23,0.0,0.44,121.02,0.48,26.9,38.92,42.43,35.67,129.87,6.92,28-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Oct-2020 - 00:00,40.19,7.34,23.15,46.23,,11.73,26.6,0.02,0.46,163.19,0.48,26.91,38.96,42.37,37.85,117.55,7.89,29-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Oct-2020 - 00:00,9.53,3.45,23.39,46.81,,10.08,26.96,0.05,0.44,214.38,0.65,24.73,36.8,39.75,34.72,120.09,8.99,30-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Oct-2020 - 00:00,1.07,0.03,23.96,46.92,,3.42,25.45,-0.02,0.46,174.4,0.7,26.84,39.02,42.31,31.49,89.63,8.09,31-Oct-2020 - 00:00,"Central School, Lucknow - CPCB"
31-Oct-2020 - 00:00,0.0,0.0,24.29,43.68,,0.0,24.83,-0.03,0.47,134.03,0.75,26.95,38.99,42.25,45.15,78.4,8.74,01-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Nov-2020 - 00:00,0.0,0.0,23.92,43.32,,0.0,26.84,-0.05,0.47,84.65,0.77,26.84,39.04,42.59,22.08,167.62,9.03,02-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Nov-2020 - 00:00,0.0,0.0,22.3,41.9,,0.0,26.52,-0.02,0.49,69.16,0.64,26.88,39.04,42.49,8.68,157.81,9.41,03-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Nov-2020 - 00:00,0.0,0.0,21.22,41.72,,0.0,26.16,0.04,0.47,81.2,0.66,39.52,50.73,60.99,30.17,118.55,10.21,04-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Nov-2020 - 00:00,0.0,0.0,21.58,44.72,,0.0,25.06,0.06,0.47,101.61,0.76,34.31,69.04,64.19,38.66,142.93,7.9,05-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Nov-2020 - 00:00,40.85,12.98,19.91,61.98,,26.53,26.75,0.07,0.5,113.28,0.97,49.66,69.39,76.87,29.0,217.43,9.43,06-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Nov-2020 - 00:00,54.89,18.65,20.48,70.43,,33.33,26.73,0.11,0.45,191.64,0.86,32.87,75.89,66.85,31.31,237.65,6.03,07-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Nov-2020 - 00:00,41.75,11.97,20.46,65.59,,19.92,24.92,0.12,0.46,212.55,0.79,27.61,65.56,57.19,31.49,148.19,5.15,08-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Nov-2020 - 00:00,63.69,17.22,20.82,66.64,,33.51,24.32,0.12,0.48,137.87,0.75,69.25,81.89,97.85,35.85,192.4,7.64,09-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Nov-2020 - 00:00,41.03,16.07,20.83,67.11,,33.02,24.84,0.11,0.47,184.77,1.07,57.34,77.54,82.56,30.73,172.86,7.94,10-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Nov-2020 - 00:00,32.27,12.71,20.78,63.94,,27.03,24.8,0.11,0.46,214.7,0.92,52.76,65.47,73.13,25.96,141.36,7.19,11-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Nov-2020 - 00:00,24.19,10.61,21.29,59.84,,21.43,24.24,0.11,0.47,197.07,1.05,45.6,62.17,65.55,25.13,99.88,8.13,12-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Nov-2020 - 00:00,21.75,10.06,21.83,63.1,,20.65,24.94,0.11,0.45,161.46,0.99,46.91,67.94,69.74,28.21,109.17,6.91,13-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Nov-2020 - 00:00,16.59,8.14,22.15,57.31,,16.13,23.84,0.11,0.44,149.6,0.61,21.61,62.87,46.85,27.05,94.27,7.02,14-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Nov-2020 - 00:00,13.15,6.51,21.57,54.78,,11.28,23.43,0.11,0.46,89.96,1.46,29.28,66.44,56.59,36.91,151.46,9.42,15-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Nov-2020 - 00:00,9.33,5.41,22.07,53.57,,7.52,24.24,0.11,0.45,205.23,1.42,12.2,87.7,56.76,48.79,211.54,9.54,16-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Nov-2020 - 00:00,7.84,2.31,18.12,94.43,,7.4,34.77,0.12,0.41,223.24,1.27,28.84,50.53,49.77,35.24,54.89,7.17,17-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Nov-2020 - 00:00,14.21,2.16,20.74,86.4,,3.73,31.46,0.12,0.44,95.87,1.04,6.15,46.98,30.61,28.97,49.49,6.94,18-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Nov-2020 - 00:00,21.57,5.6,20.41,83.59,,11.96,31.85,0.12,0.4,181.14,1.22,51.38,77.95,82.99,32.41,73.22,7.98,19-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Nov-2020 - 00:00,13.78,4.51,20.11,77.72,,11.83,28.8,0.12,0.46,146.9,1.15,46.23,101.42,90.7,31.57,91.36,7.83,20-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Nov-2020 - 00:00,4.86,2.59,19.51,61.89,,3.19,26.07,0.11,0.45,87.8,1.04,5.45,59.2,36.44,51.22,84.26,7.01,21-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Nov-2020 - 00:00,4.41,2.38,17.68,55.68,,2.01,24.07,0.11,0.42,72.73,1.24,5.56,54.19,33.9,47.77,84.37,7.72,22-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
22-Nov-2020 - 00:00,5.86,2.76,16.49,50.37,,2.93,24.8,0.11,0.47,92.44,1.11,7.29,68.4,42.73,41.48,80.41,7.53,23-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
23-Nov-2020 - 00:00,26.06,9.76,16.13,62.88,,23.75,25.45,0.11,0.5,109.33,1.16,82.89,137.24,102.53,40.47,142.03,11.03,24-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
24-Nov-2020 - 00:00,28.93,11.08,16.3,67.21,,25.99,25.27,0.1,0.48,177.56,1.59,110.14,149.72,158.8,35.04,157.67,8.2,25-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
25-Nov-2020 - 00:00,17.08,7.36,17.35,67.18,,14.59,28.9,0.11,0.48,205.12,1.05,50.82,133.76,109.52,40.39,164.53,7.67,26-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
26-Nov-2020 - 00:00,46.52,8.3,17.96,73.8,,16.95,26.35,0.11,0.47,149.91,1.23,59.13,134.98,116.79,35.37,171.57,8.47,27-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
27-Nov-2020 - 00:00,40.07,5.04,18.94,71.47,,7.36,23.27,0.11,0.47,111.38,0.87,28.37,82.41,62.18,31.63,117.82,6.79,28-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
28-Nov-2020 - 00:00,18.85,4.02,18.79,65.24,,7.54,23.31,0.1,0.48,105.24,1.05,47.66,89.23,76.72,32.01,80.29,8.73,29-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
29-Nov-2020 - 00:00,8.86,3.97,18.65,54.69,,6.32,23.76,0.1,0.47,167.86,1.11,30.52,86.63,64.68,41.63,92.96,8.73,30-Nov-2020 - 00:00,"Central School, Lucknow - CPCB"
30-Nov-2020 - 00:00,10.17,4.91,17.81,56.68,,8.38,23.93,0.1,0.47,90.27,1.12,25.13,106.72,74.8,43.54,106.44,8.36,01-Dec-2020 - 00:00,"Central School, Lucknow - CPCB"
01-Dec-2020 - 00:00,8.99,4.79,14.25,71.98,,7.03,13.24,0.11,0.48,94.59,0.29,8.75,118.3,67.77,26.68,132.2,8.79,02-Dec-2020 - 00:00,"Central School, Lucknow - CPCB"
