from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
16-Oct-2020 - 00:00,14.27,5.61,9.66,2.54,10.65,0.76,45.12,37.33,80.88,0.16,27.42,72.81,708.89,1.07,206.23,17-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Oct-2020 - 00:00,19.61,5.87,12.57,2.64,10.81,0.85,45.92,43.68,98.32,0.2,27.53,71.54,709.93,2.08,206.38,18-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Oct-2020 - 00:00,17.81,5.94,11.55,2.55,10.51,0.77,30.74,41.96,85.24,0.15,27.56,75.81,710.64,1.54,215.71,19-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Oct-2020 - 00:00,19.06,5.53,12.38,2.75,11.16,1.14,22.21,34.33,64.34,0.19,27.43,81.83,710.44,2.24,212.58,20-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Oct-2020 - 00:00,17.16,5.26,11.17,2.51,9.93,0.57,24.4,29.02,51.74,0.15,27.39,81.45,710.06,1.67,227.19,21-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Oct-2020 - 00:00,18.36,4.36,11.84,2.56,10.37,0.69,28.31,19.43,33.3,0.15,27.51,77.06,710.51,1.56,245.6,22-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Oct-2020 - 00:00,13.61,4.4,9.31,2.55,10.64,0.64,21.86,18.95,29.83,0.11,27.51,78.39,710.46,0.98,222.57,23-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Oct-2020 - 00:00,11.2,4.51,8.03,2.56,10.97,0.59,28.75,19.89,31.66,0.1,27.54,75.01,710.98,0.73,215.95,24-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Oct-2020 - 00:00,17.79,4.44,11.64,2.67,10.19,0.78,30.04,24.62,43.23,0.22,27.56,58.58,712.25,1.89,195.49,25-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Oct-2020 - 00:00,17.88,5.33,11.63,2.61,9.74,0.74,43.47,36.3,59.7,0.17,27.56,60.98,712.99,1.83,188.57,26-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Oct-2020 - 00:00,23.57,7.29,14.65,2.6,10.89,1.13,49.89,58.3,94.1,0.27,27.49,58.99,713.64,2.72,166.88,27-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Oct-2020 - 00:00,22.76,8.64,14.18,2.55,10.74,0.87,51.91,72.5,118.77,0.21,27.53,57.61,713.08,1.82,157.35,28-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Oct-2020 - 00:00,22.22,7.95,13.95,2.62,10.83,0.67,52.01,64.15,107.64,0.2,27.54,56.97,713.58,1.74,163.55,29-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Oct-2020 - 00:00,24.13,7.34,14.99,2.64,11.33,0.68,60.16,57.28,105.28,0.21,27.49,57.26,713.82,1.57,154.12,30-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Oct-2020 - 00:00,23.42,7.53,14.56,2.57,11.98,0.75,68.58,57.92,110.54,0.21,27.47,56.42,713.35,1.56,131.79,31-Oct-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Oct-2020 - 00:00,23.54,9.19,14.66,2.64,10.21,0.88,65.17,74.68,126.83,0.22,27.29,64.35,713.42,1.92,149.59,01-Nov-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
