from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
15-Sep-2020 - 00:00,3.57,12.88,8.0,36.62,129.58,70.76,18.45,2.04,15.03,2.38,3.37,1.48,1.31,1.08,83.31,238.89,0.61,362.66,0.0,16-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
16-Sep-2020 - 00:00,3.4,14.5,7.96,42.58,131.02,54.73,17.31,2.0,15.43,2.46,3.0,1.41,1.24,1.09,75.02,287.91,1.36,459.2,0.0,17-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Sep-2020 - 00:00,4.28,13.6,8.94,45.33,108.74,50.55,20.95,1.69,15.59,2.37,3.17,1.47,1.38,1.09,83.09,286.11,1.12,334.87,0.0,18-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Sep-2020 - 00:00,3.23,13.68,8.45,45.06,97.87,46.48,25.77,2.14,12.93,2.33,3.07,1.39,1.34,1.08,80.48,281.71,1.14,513.19,0.0,19-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
19-Sep-2020 - 00:00,3.15,16.94,9.77,35.23,125.09,58.99,26.29,0.94,14.23,1.77,3.0,1.45,1.29,1.09,83.41,239.47,0.61,276.59,0.0,20-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Sep-2020 - 00:00,2.9,15.99,9.03,31.37,112.8,59.75,37.32,1.28,16.51,1.59,3.23,1.37,1.22,1.13,89.5,296.23,0.86,172.77,0.0,21-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Sep-2020 - 00:00,3.06,20.48,11.41,68.81,134.67,58.17,32.24,1.32,17.34,1.57,2.62,1.44,1.27,1.1,86.35,281.38,0.85,405.85,0.0,22-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Sep-2020 - 00:00,3.41,22.8,13.05,99.31,109.43,64.17,21.9,1.69,11.43,1.8,2.88,1.47,1.31,1.09,98.78,117.04,0.59,229.75,0.03,23-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Sep-2020 - 00:00,3.17,16.6,9.62,78.74,62.5,39.76,10.88,1.53,11.43,1.65,2.85,1.37,1.27,1.09,98.96,125.58,0.62,356.15,0.0,24-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Sep-2020 - 00:00,3.1,16.18,9.34,66.03,78.88,42.13,16.19,1.26,14.95,1.78,3.08,1.49,1.28,1.16,90.47,172.62,0.62,313.86,0.0,25-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
