from date,NO,NOx,NO2,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
24-Sep-2020 - 00:00,56.03,64.15,8.63,10.22,25.84,,,0.28,8.47,,,,28.34,92.58,,268.47,1.23,175.34,25-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Sep-2020 - 00:00,66.04,67.86,3.02,8.67,27.75,,,0.33,8.64,,,,27.74,95.74,,70.17,0.73,147.14,26-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Sep-2020 - 00:00,43.03,50.03,9.16,8.45,41.42,,,0.04,8.51,,,,30.87,78.31,,493.42,1.92,265.24,27-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Sep-2020 - 00:00,60.78,64.76,6.7,7.87,60.11,,,0.23,8.56,,,,29.95,83.98,,403.31,1.25,192.58,28-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Sep-2020 - 00:00,59.54,65.94,10.78,8.07,68.8,,,0.3,8.5,,,,29.76,84.92,,359.06,1.21,182.21,29-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Sep-2020 - 00:00,67.31,71.76,9.9,7.87,83.4,,,0.34,8.53,,,,30.03,83.07,,380.46,1.29,189.7,30-Sep-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Sep-2020 - 00:00,65.43,71.35,11.48,7.83,85.81,,,0.38,8.57,,,,30.25,83.09,,453.79,1.43,192.37,01-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Oct-2020 - 00:00,58.19,64.66,9.77,7.55,79.16,,,0.32,8.56,,,,30.29,82.38,,449.62,1.39,189.49,02-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Oct-2020 - 00:00,59.01,66.88,12.32,7.36,89.73,,,0.41,8.53,,,,30.53,85.74,,309.82,1.36,178.53,03-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Oct-2020 - 00:00,46.85,58.47,12.51,7.13,94.63,,,0.38,8.55,,,,30.64,87.32,,238.38,1.37,193.07,04-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Oct-2020 - 00:00,47.06,57.03,9.97,6.28,40.82,,,0.27,8.53,,,,28.86,91.05,,211.73,1.32,209.41,05-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Oct-2020 - 00:00,55.5,61.71,8.16,6.03,52.71,17.0,,0.3,8.55,,,,30.49,86.43,,323.85,1.37,178.93,06-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Oct-2020 - 00:00,64.5,70.37,9.6,11.55,86.95,29.1,,0.36,8.56,,,,30.65,84.69,,353.64,1.37,179.49,07-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Oct-2020 - 00:00,83.63,94.52,18.7,10.46,110.54,50.81,,0.47,8.6,,,,31.37,83.25,,341.02,1.52,161.86,08-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Oct-2020 - 00:00,88.01,96.77,12.7,8.57,104.69,48.92,,0.48,8.61,,,,31.42,85.7,,203.27,1.11,187.3,09-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Oct-2020 - 00:00,80.59,93.1,15.74,7.2,129.96,65.18,,0.68,8.59,,,,32.0,79.75,,273.9,1.26,150.88,10-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Oct-2020 - 00:00,68.73,87.85,22.82,6.83,130.39,73.48,,0.67,8.68,,,,31.76,80.02,,271.57,1.15,170.46,11-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Oct-2020 - 00:00,66.04,82.41,16.36,5.66,88.25,56.44,,0.57,8.64,,,,31.02,87.17,,207.24,1.05,193.51,12-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Oct-2020 - 00:00,65.81,81.42,15.61,4.51,85.01,55.11,,0.43,8.63,,,,31.27,89.08,,202.59,0.96,188.94,13-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Oct-2020 - 00:00,67.42,84.58,18.05,4.19,99.81,57.52,,0.47,8.67,,,,31.44,87.77,999.82,294.53,1.24,188.55,14-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Oct-2020 - 00:00,66.52,83.51,17.02,3.64,83.24,50.45,,0.5,8.66,,,,30.83,89.83,,192.11,1.04,186.76,15-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Oct-2020 - 00:00,77.24,87.26,10.34,3.19,42.93,28.93,,0.46,8.64,,,,29.62,93.75,998.37,216.2,1.66,164.29,16-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Oct-2020 - 00:00,94.75,100.44,12.7,3.41,37.6,18.34,,0.46,8.69,,,,31.14,82.4,999.01,284.69,1.26,135.73,17-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Oct-2020 - 00:00,81.39,90.03,8.69,3.62,74.82,26.54,,0.33,8.62,,,,30.9,79.16,,227.92,1.25,159.25,18-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Oct-2020 - 00:00,81.56,88.69,7.86,3.43,74.59,22.84,,0.24,8.71,,,,30.61,82.79,,295.71,1.25,176.18,19-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Oct-2020 - 00:00,81.02,88.0,12.63,2.73,81.97,28.12,,0.26,8.64,,,,31.09,84.66,,244.98,1.18,186.73,20-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Oct-2020 - 00:00,89.83,96.4,13.18,2.47,88.58,39.15,,0.46,8.69,,,,31.29,87.01,,224.85,1.28,204.21,21-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Oct-2020 - 00:00,64.74,76.55,14.25,7.98,65.6,37.17,,0.43,8.7,,,,31.79,84.1,,303.71,1.43,174.39,22-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Oct-2020 - 00:00,71.12,83.17,12.44,7.1,69.23,40.76,,0.4,8.72,,,,30.89,87.64,,260.97,1.64,166.36,23-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Oct-2020 - 00:00,82.71,93.07,15.33,5.36,74.13,42.01,,0.45,8.71,,,,30.76,86.87,,279.97,1.11,174.47,24-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Oct-2020 - 00:00,74.57,89.12,17.87,4.37,89.58,57.0,,0.54,8.71,,,,31.28,87.73,,284.68,1.09,178.16,25-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Oct-2020 - 00:00,59.64,72.31,13.4,5.45,90.74,54.2,,0.5,8.65,,,,31.5,84.19,,289.57,1.25,172.05,26-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Oct-2020 - 00:00,33.36,48.02,14.66,7.96,,59.15,,0.62,8.85,,,,31.31,81.8,,261.27,1.06,186.19,27-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Oct-2020 - 00:00,40.9,54.85,16.29,8.11,,50.89,,0.75,8.76,,,,31.48,65.39,,271.15,1.11,155.74,28-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Oct-2020 - 00:00,39.44,56.12,16.7,8.53,,63.99,,0.63,8.87,,,,30.87,74.89,,274.55,1.19,179.01,29-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Oct-2020 - 00:00,39.65,55.47,15.83,8.12,,66.46,,0.64,8.78,,,,30.73,75.58,,274.93,1.08,187.2,30-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Oct-2020 - 00:00,41.42,58.79,17.77,7.81,,65.26,,0.67,8.69,,,,30.7,73.83,,281.5,1.3,165.51,31-Oct-2020 - 00:00,"Vasai West, Mumbai - MPCB"
31-Oct-2020 - 00:00,51.76,66.4,17.34,8.17,,65.9,,0.68,8.76,,,,30.67,63.21,,287.58,1.28,162.14,01-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Nov-2020 - 00:00,59.08,73.0,18.06,9.75,,65.42,,0.71,8.66,,,,30.82,63.28,,257.2,1.11,162.05,02-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
02-Nov-2020 - 00:00,55.94,70.11,14.92,9.96,,76.19,,0.9,8.67,,,,31.2,66.6,,214.17,0.85,145.53,03-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
03-Nov-2020 - 00:00,52.62,68.45,15.83,9.96,,80.16,,1.0,8.58,,,,31.5,68.36,,215.34,0.9,151.55,04-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
04-Nov-2020 - 00:00,43.96,61.17,17.2,9.71,,81.6,,0.83,8.51,,,,31.66,64.29,,245.27,1.02,158.22,05-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
05-Nov-2020 - 00:00,56.21,70.4,14.9,10.26,,63.62,,0.85,8.55,,,,31.45,56.0,,236.95,1.24,104.82,06-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
06-Nov-2020 - 00:00,54.49,68.44,13.95,12.24,,53.31,,0.58,8.56,,,,31.63,50.92,,248.95,1.37,105.44,07-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
07-Nov-2020 - 00:00,53.13,69.09,15.99,13.35,,62.6,,0.69,8.52,,,,30.89,57.3,,251.71,1.23,118.48,08-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
08-Nov-2020 - 00:00,60.46,73.33,17.49,13.18,,68.42,,0.93,8.43,,,,31.22,61.07,,235.58,1.02,107.78,09-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
09-Nov-2020 - 00:00,59.64,73.94,17.6,13.62,,66.39,,0.82,8.48,,,,30.64,60.84,,241.15,1.22,113.7,10-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
10-Nov-2020 - 00:00,60.48,74.87,14.76,15.1,,72.8,,0.88,8.47,,,,29.9,56.0,,244.49,1.23,118.63,11-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
11-Nov-2020 - 00:00,55.06,70.58,19.15,17.4,,67.95,,0.77,8.44,,,,29.64,50.06,,238.92,1.3,117.02,12-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
12-Nov-2020 - 00:00,58.75,78.82,20.12,17.03,,73.92,,0.73,8.57,,,,29.64,50.23,,236.79,1.2,142.11,13-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
13-Nov-2020 - 00:00,49.41,66.49,17.09,14.14,,47.45,,0.8,8.54,,,,30.51,62.31,,235.03,1.3,121.93,14-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
14-Nov-2020 - 00:00,37.54,55.67,18.12,10.56,,45.05,,0.59,8.47,,,,31.71,67.11,,230.87,1.3,135.55,15-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
15-Nov-2020 - 00:00,35.36,52.93,17.59,7.35,,53.37,,0.68,9.18,,,,31.61,72.76,,227.6,1.38,152.15,16-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
16-Nov-2020 - 00:00,27.85,50.35,22.49,6.11,,63.19,,0.64,,,,,31.98,67.25,,228.58,1.69,127.66,17-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
17-Nov-2020 - 00:00,16.61,41.38,24.77,5.1,,52.27,,0.51,,,,,32.24,66.4,,238.75,1.93,116.78,18-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
18-Nov-2020 - 00:00,31.83,53.92,22.08,4.49,,58.38,,0.66,,,,,31.02,66.8,,230.4,1.35,132.12,19-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
19-Nov-2020 - 00:00,31.12,54.23,23.11,4.47,,55.39,,0.62,,,,,30.64,64.11,,219.49,1.74,149.27,20-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
20-Nov-2020 - 00:00,32.86,56.25,23.38,4.82,,55.23,,0.57,,,,,29.8,62.0,,216.9,1.6,141.48,21-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
21-Nov-2020 - 00:00,39.4,60.65,21.26,5.1,,66.78,,0.71,,,,,29.46,67.95,,232.11,1.33,189.12,22-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
22-Nov-2020 - 00:00,43.73,63.04,19.32,4.95,,70.82,,0.73,,,,,29.19,75.27,,233.67,1.14,190.05,23-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
23-Nov-2020 - 00:00,55.55,70.57,15.4,4.39,,54.49,,0.7,,,,,29.09,63.59,,222.85,1.18,146.31,24-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
24-Nov-2020 - 00:00,50.22,72.03,21.83,5.74,,74.36,,0.82,,,,,28.96,69.13,,218.43,1.03,184.07,25-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
25-Nov-2020 - 00:00,44.86,67.23,22.37,6.42,,80.9,,1.06,,,,,29.8,70.05,,210.06,1.02,155.38,26-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
26-Nov-2020 - 00:00,39.39,62.95,23.56,6.19,,81.94,,0.9,,,,,29.78,66.82,,209.21,1.79,111.3,27-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
27-Nov-2020 - 00:00,16.52,44.2,27.68,8.44,,58.4,16.7,0.5,,,,,31.58,44.3,,212.01,2.25,74.99,28-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
28-Nov-2020 - 00:00,26.84,53.67,26.83,10.91,,50.86,17.82,0.53,,,,,30.41,51.51,,212.49,2.4,51.67,29-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
29-Nov-2020 - 00:00,44.61,67.75,23.14,6.67,,44.19,17.93,0.64,,,,,31.12,65.61,,220.82,1.2,131.23,30-Nov-2020 - 00:00,"Vasai West, Mumbai - MPCB"
30-Nov-2020 - 00:00,62.1,79.2,17.1,5.81,,57.55,18.03,0.76,,,,,30.41,69.44,,210.46,0.95,131.99,01-Dec-2020 - 00:00,"Vasai West, Mumbai - MPCB"
01-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Dec-2020 - 00:00,"Vasai West, Mumbai - MPCB"
