from date,PM2.5,PM10,NO2,NOx,NO,CO,SO2,to date,station
07-Apr-2020 - 00:00,15.56,43.98,29.48,23.27,37.12,0.19,7.17,08-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Apr-2020 - 00:00,13.52,34.23,29.2,29.95,36.36,0.23,7.23,09-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Apr-2020 - 00:00,14.09,38.03,27.48,25.42,34.86,0.22,7.23,10-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Apr-2020 - 00:00,14.85,43.59,30.78,42.77,43.96,0.19,7.18,11-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Apr-2020 - 00:00,15.06,44.44,29.77,24.9,34.66,0.17,7.15,12-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Apr-2020 - 00:00,18.37,54.44,28.87,26.51,37.76,0.17,7.04,13-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Apr-2020 - 00:00,15.62,49.02,30.36,29.89,33.37,0.13,7.15,14-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Apr-2020 - 00:00,13.94,45.32,26.8,26.1,34.3,0.14,7.1,15-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Apr-2020 - 00:00,14.07,38.07,27.13,29.59,37.01,0.18,7.07,16-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Apr-2020 - 00:00,17.46,41.73,28.83,26.46,35.28,0.17,7.11,17-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Apr-2020 - 00:00,18.1,61.68,31.55,27.08,34.82,0.12,7.08,18-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Apr-2020 - 00:00,13.28,46.06,28.4,23.75,36.8,0.19,7.17,19-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Apr-2020 - 00:00,17.89,42.44,29.78,26.02,33.44,0.19,7.14,20-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Apr-2020 - 00:00,19.88,76.42,27.72,28.08,36.91,0.22,7.22,21-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Apr-2020 - 00:00,15.69,52.75,39.23,60.8,63.75,0.29,7.33,22-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Apr-2020 - 00:00,17.19,46.48,48.58,77.56,72.21,0.27,7.31,23-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Apr-2020 - 00:00,13.99,42.52,47.44,79.77,69.32,0.25,7.32,24-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Apr-2020 - 00:00,13.91,34.09,45.0,81.5,70.34,0.25,7.28,25-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Apr-2020 - 00:00,14.27,35.95,46.81,77.33,68.96,0.29,7.21,26-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Apr-2020 - 00:00,14.98,27.96,40.55,63.82,57.27,0.35,7.32,27-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Apr-2020 - 00:00,12.62,23.78,40.27,51.08,46.08,0.39,7.43,28-Apr-2020 - 00:00,"Sahilara, Maihar - KJS Cements"
