from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
24-Aug-2020 - 00:00,18.8,28.34,4.99,9.87,4.88,4.99,1.39,0.35,10.74,0.15,1.65,0.48,0.42,0.67,28.08,84.61,0.27,259.06,745.26,180.45,0.12,25-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
25-Aug-2020 - 00:00,11.0,27.19,5.01,10.09,5.08,5.0,0.85,0.38,3.45,0.26,1.48,0.5,0.42,0.7,29.44,82.68,0.25,281.75,745.26,198.09,0.0,26-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
26-Aug-2020 - 00:00,11.18,27.62,5.0,9.99,4.99,5.0,1.19,0.38,3.82,0.25,1.88,0.5,0.42,0.71,28.57,84.18,0.81,107.95,745.25,193.19,0.38,27-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
27-Aug-2020 - 00:00,13.66,30.36,4.98,9.76,4.78,4.99,0.51,0.39,6.9,0.23,1.68,0.51,0.42,0.71,27.48,86.24,1.41,65.38,745.24,126.48,0.04,28-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
28-Aug-2020 - 00:00,34.5,42.2,5.0,9.97,4.97,5.0,1.78,0.43,17.9,0.48,1.42,0.48,0.39,0.67,29.02,76.28,0.88,105.81,745.24,200.02,0.0,29-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
29-Aug-2020 - 00:00,31.14,54.94,4.99,9.93,4.94,5.0,1.58,0.4,15.33,0.19,0.89,0.26,0.21,0.36,29.33,73.77,0.49,143.47,745.25,210.27,0.0,30-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
30-Aug-2020 - 00:00,20.71,33.68,5.02,10.24,5.22,5.0,0.56,0.38,11.37,0.28,1.39,0.49,0.39,0.69,28.96,76.97,0.23,274.5,745.26,214.58,0.0,31-Aug-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
31-Aug-2020 - 00:00,25.29,36.53,5.0,9.95,4.95,5.0,1.09,0.42,35.98,0.44,1.4,0.5,0.4,0.7,29.42,80.11,0.23,278.56,745.27,186.27,0.0,01-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
01-Sep-2020 - 00:00,18.47,32.65,4.99,9.84,4.85,5.0,1.44,0.41,67.29,0.3,1.24,0.5,0.4,0.7,29.12,83.76,0.19,270.16,745.27,159.69,0.09,02-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
02-Sep-2020 - 00:00,14.31,30.61,4.98,9.81,4.83,5.0,0.76,0.52,26.51,0.38,0.65,0.49,0.39,0.68,27.87,83.86,0.52,112.4,745.28,177.7,0.03,03-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
03-Sep-2020 - 00:00,21.69,52.61,5.0,9.94,5.05,5.0,1.03,0.49,36.25,0.54,0.48,0.45,0.36,0.63,29.18,80.84,0.5,115.23,745.29,188.32,0.0,04-Sep-2020 - 00:00,"SFTI Kusdihra, Gaya - BSPCB"
