from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
07-Mar-2020 - 00:00,29.82,9.0,12.47,17.3,29.77,14.69,0.32,16.69,2.89,2.85,344.34,96.1,0.11,116.91,1.45,13.63,08-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Mar-2020 - 00:00,63.01,11.54,11.88,11.87,23.75,11.83,0.28,19.39,3.0,2.92,451.53,85.61,0.0,266.86,0.97,29.39,09-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Mar-2020 - 00:00,159.79,25.36,11.34,10.34,21.67,10.9,0.44,12.04,3.04,2.9,,72.72,0.0,295.25,1.67,61.32,10-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Mar-2020 - 00:00,126.81,19.68,11.75,10.67,22.41,11.19,0.31,15.46,3.11,2.99,,71.29,0.0,219.73,0.64,57.95,11-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Mar-2020 - 00:00,84.53,10.32,11.73,10.0,21.74,11.18,0.32,14.4,2.78,2.71,530.85,94.46,0.03,119.59,1.22,41.17,12-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Mar-2020 - 00:00,73.03,8.16,11.77,8.5,20.26,11.16,0.35,19.08,2.9,2.86,686.21,89.08,0.0,136.39,1.78,31.53,13-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Mar-2020 - 00:00,75.44,12.16,12.09,8.81,20.89,10.36,0.27,18.02,2.7,2.74,740.31,84.64,0.03,140.94,1.75,30.83,14-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Mar-2020 - 00:00,56.15,9.34,11.91,8.23,20.03,10.65,0.3,13.86,2.83,2.81,711.38,96.02,0.05,237.05,0.96,31.64,15-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Mar-2020 - 00:00,93.42,11.99,11.16,9.53,20.68,11.08,0.35,17.35,2.77,2.78,,79.74,0.0,214.99,0.74,48.12,16-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Mar-2020 - 00:00,161.19,32.83,10.85,11.56,22.4,12.11,0.42,19.82,2.93,2.91,970.39,79.87,0.0,308.3,1.33,69.69,17-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Mar-2020 - 00:00,143.79,30.23,11.2,12.29,23.49,11.91,0.4,17.25,2.88,2.95,721.78,78.61,0.0,298.05,1.36,60.45,18-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Mar-2020 - 00:00,211.49,38.09,10.86,14.19,25.05,11.75,0.41,15.71,2.96,2.99,733.53,74.57,0.0,292.75,1.35,92.11,19-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Mar-2020 - 00:00,110.24,22.68,10.71,15.43,26.14,12.1,0.27,6.19,3.0,2.9,718.76,93.04,0.0,223.95,0.45,52.32,20-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Mar-2020 - 00:00,100.88,8.67,10.69,16.63,27.33,11.64,0.25,11.67,3.06,3.02,759.19,80.46,0.0,164.55,0.35,33.97,21-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Mar-2020 - 00:00,148.64,12.55,10.57,16.85,27.43,11.75,0.38,12.03,3.09,2.99,852.05,84.36,0.0,194.57,0.64,86.06,22-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Mar-2020 - 00:00,57.2,8.83,9.23,13.72,22.95,11.15,0.4,17.66,2.96,2.96,926.47,71.65,0.0,229.8,0.83,31.56,23-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Mar-2020 - 00:00,53.38,7.95,8.8,13.12,21.92,11.14,0.36,16.27,3.02,2.99,931.96,74.3,0.0,192.95,0.55,24.77,24-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Mar-2020 - 00:00,52.1,7.56,9.24,13.42,22.67,11.57,0.35,8.76,2.89,2.85,921.27,89.86,0.0,194.83,0.73,26.05,25-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Mar-2020 - 00:00,29.77,6.03,9.25,12.55,21.81,11.58,0.32,12.56,2.94,2.95,855.9,80.74,0.0,274.9,0.74,18.73,26-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Mar-2020 - 00:00,42.39,5.9,8.88,11.99,20.87,11.43,0.43,11.48,2.96,2.95,815.8,80.71,0.0,274.47,1.01,26.89,27-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Mar-2020 - 00:00,43.25,6.84,9.56,13.7,23.26,11.82,0.37,7.4,2.97,2.97,820.95,93.83,0.01,151.75,1.17,28.4,28-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Mar-2020 - 00:00,25.4,6.23,9.13,12.7,21.83,11.39,0.32,12.4,2.94,2.93,878.17,83.29,0.0,249.33,1.0,11.34,29-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Mar-2020 - 00:00,31.48,6.65,8.66,11.2,19.85,11.02,0.33,17.0,2.95,2.91,852.5,72.77,0.0,309.37,1.51,14.85,30-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Mar-2020 - 00:00,36.16,6.9,8.49,11.11,19.6,10.91,0.37,19.89,2.96,2.91,911.2,71.28,0.0,306.09,1.35,20.6,31-Mar-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
31-Mar-2020 - 00:00,45.93,7.51,8.55,11.82,20.35,11.17,0.3,13.55,2.94,2.87,928.09,84.22,0.01,244.94,1.03,25.34,01-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Apr-2020 - 00:00,33.44,4.38,8.79,12.72,21.48,11.25,0.41,15.61,2.9,2.93,931.78,70.67,0.0,280.91,0.97,17.55,02-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Apr-2020 - 00:00,37.22,4.98,8.48,11.8,20.28,10.96,0.33,17.85,2.89,2.92,927.58,60.14,0.0,301.97,1.45,18.2,03-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Apr-2020 - 00:00,30.32,4.88,8.35,11.66,19.98,10.92,0.31,31.63,2.9,2.91,905.96,49.77,0.0,290.63,1.26,16.7,04-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Apr-2020 - 00:00,43.7,5.07,8.35,12.15,20.5,11.21,0.43,26.16,2.95,2.92,931.97,54.2,0.0,284.36,1.02,24.13,05-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Apr-2020 - 00:00,60.08,6.1,8.71,14.05,22.77,11.69,0.43,11.59,2.97,2.93,916.13,75.87,0.0,167.15,0.27,37.35,06-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Apr-2020 - 00:00,58.41,4.6,9.02,14.85,23.86,11.15,0.22,15.19,3.0,2.97,930.6,74.16,0.0,171.49,0.36,21.54,07-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Apr-2020 - 00:00,54.24,4.86,8.16,13.67,21.82,10.26,0.39,16.6,2.61,2.61,931.96,53.35,0.0,165.88,0.34,27.15,09-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Apr-2020 - 00:00,69.92,5.24,9.4,16.62,26.01,10.96,0.33,13.51,2.73,2.78,932.0,69.53,0.0,262.37,0.64,35.27,10-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Apr-2020 - 00:00,66.99,5.54,9.92,15.9,25.48,11.5,0.23,16.52,2.79,2.88,613.95,61.46,0.0,261.09,0.62,31.25,11-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Apr-2020 - 00:00,64.92,6.01,9.5,16.25,25.75,11.36,0.33,17.28,2.67,2.75,606.27,59.95,0.0,298.82,0.68,31.02,12-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Apr-2020 - 00:00,58.81,5.1,9.3,14.91,24.2,11.89,0.29,20.48,2.82,2.89,610.0,43.46,0.0,288.82,0.99,27.71,13-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Apr-2020 - 00:00,57.96,7.2,8.79,14.15,22.95,11.77,0.36,24.89,2.77,2.84,609.39,42.94,0.0,285.19,1.02,26.02,14-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Apr-2020 - 00:00,80.38,7.45,9.96,17.53,27.45,10.47,0.27,23.56,2.76,2.95,589.74,58.23,0.0,145.57,0.69,36.4,15-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Apr-2020 - 00:00,103.28,6.03,10.43,18.14,28.55,10.14,0.26,14.22,2.68,2.9,581.98,42.51,0.0,151.61,0.89,40.74,16-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Apr-2020 - 00:00,123.35,4.89,8.74,6.59,15.12,9.07,0.29,19.99,2.79,2.97,607.51,42.3,0.0,285.93,0.89,48.98,17-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Apr-2020 - 00:00,77.35,5.14,9.1,6.66,15.76,9.3,0.28,21.05,2.77,2.87,608.4,45.68,0.0,180.84,1.08,27.57,18-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Apr-2020 - 00:00,60.25,8.14,8.59,5.73,14.27,9.05,0.57,25.42,2.58,2.65,618.33,50.12,0.01,144.38,0.98,18.9,19-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Apr-2020 - 00:00,34.98,5.18,9.14,6.42,15.39,9.32,0.28,18.14,2.77,2.84,,55.29,0.0,273.98,0.8,13.22,20-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Apr-2020 - 00:00,52.65,4.26,9.21,6.54,15.72,9.36,0.23,17.89,2.83,2.91,,64.33,0.01,198.29,0.76,28.86,21-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Apr-2020 - 00:00,36.56,5.14,9.26,6.87,16.1,9.29,0.22,14.59,2.81,2.89,,66.13,0.0,253.23,0.59,19.93,22-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Apr-2020 - 00:00,55.31,5.79,9.07,6.88,15.95,9.33,0.28,18.65,2.81,2.9,962.29,49.11,0.0,256.73,0.48,19.89,23-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Apr-2020 - 00:00,78.04,4.42,9.68,6.77,16.45,9.44,0.38,11.27,2.77,2.83,,40.28,0.0,229.09,0.39,28.88,24-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Apr-2020 - 00:00,128.46,6.18,9.17,6.99,16.15,9.34,0.39,13.09,2.87,2.99,951.68,48.07,0.0,156.14,0.6,42.68,25-Apr-2020 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
