from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,BP,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,station
22-Mar-2020 - 00:00,1.01,22.5,2.98,7.48,10.22,6.73,69.02,-0.4,5.11,158.43,999.26,35.09,235.38,0.0,0.0,0.0,0.0,0.0,23-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
23-Mar-2020 - 00:00,1.03,17.52,2.14,8.42,9.86,8.22,66.14,-0.41,4.61,146.34,999.58,30.2,238.04,0.0,0.0,0.0,0.0,0.0,24-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
24-Mar-2020 - 00:00,0.98,11.98,1.76,9.21,9.75,7.41,67.49,-0.42,3.85,126.67,998.8,15.77,252.57,0.0,0.0,0.0,0.0,0.0,25-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
25-Mar-2020 - 00:00,0.89,11.37,1.74,8.2,8.76,8.13,67.15,-0.42,3.86,152.19,998.59,20.46,250.56,0.0,0.0,0.0,0.0,0.0,26-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
26-Mar-2020 - 00:00,0.71,13.52,1.7,8.05,8.63,7.77,65.91,-0.42,3.39,121.84,999.18,23.64,265.16,0.0,0.0,0.0,0.0,0.0,27-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
27-Mar-2020 - 00:00,0.68,15.89,2.0,7.76,8.64,7.85,64.38,-0.42,3.78,141.18,999.95,23.7,291.65,0.0,0.0,0.0,0.0,0.0,28-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
28-Mar-2020 - 00:00,0.7,16.01,2.1,8.1,9.25,7.78,67.02,-0.42,3.76,148.2,998.6,32.02,300.13,0.0,0.0,0.0,0.0,0.0,29-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
29-Mar-2020 - 00:00,0.69,14.87,2.71,8.28,9.99,8.82,65.98,-0.42,4.07,168.71,998.76,23.46,289.3,0.0,0.0,0.0,0.0,0.0,30-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
30-Mar-2020 - 00:00,0.52,11.67,2.11,7.19,8.62,8.28,66.88,-0.44,3.0,157.39,999.06,28.64,322.83,0.0,0.0,0.0,0.0,0.0,31-Mar-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
31-Mar-2020 - 00:00,0.58,21.02,3.72,8.09,11.16,9.0,68.41,-0.43,3.25,153.15,999.44,31.84,283.58,0.04,0.0,0.0,0.0,0.0,01-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
01-Apr-2020 - 00:00,0.73,16.57,1.17,8.27,8.19,8.73,67.52,-0.42,4.08,154.94,998.99,32.21,283.76,0.0,0.0,0.0,0.0,0.0,02-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
02-Apr-2020 - 00:00,0.74,18.42,1.64,7.6,8.22,8.04,68.8,-0.4,5.01,174.52,998.52,20.08,259.23,0.0,0.0,0.0,0.0,0.0,03-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
03-Apr-2020 - 00:00,0.73,16.27,1.83,7.58,8.43,7.37,67.83,-0.4,5.15,159.07,998.8,12.82,250.1,0.0,0.0,0.0,0.0,0.0,04-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
04-Apr-2020 - 00:00,0.76,13.19,1.64,8.32,8.65,5.79,65.33,-0.41,4.35,145.94,999.33,11.23,282.04,0.04,0.0,0.0,0.0,0.0,05-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
05-Apr-2020 - 00:00,0.76,10.89,1.47,7.69,8.18,2.54,71.29,-0.39,5.33,152.4,999.49,16.1,260.81,0.0,0.0,0.0,0.0,0.0,06-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
06-Apr-2020 - 00:00,0.76,8.14,1.32,7.94,7.97,2.75,72.93,-0.4,5.09,167.49,998.79,10.65,247.7,0.0,0.0,0.0,0.0,0.0,07-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
07-Apr-2020 - 00:00,0.74,8.24,1.45,8.12,8.23,3.83,72.68,-0.4,5.1,178.06,998.62,6.44,203.24,0.0,0.0,0.0,0.0,0.0,08-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
08-Apr-2020 - 00:00,0.74,12.7,1.85,8.2,8.91,3.12,74.09,-0.4,5.12,167.66,999.11,11.36,234.81,0.0,0.0,0.0,0.0,0.0,09-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
09-Apr-2020 - 00:00,0.76,10.59,1.56,8.29,8.61,2.77,75.93,-0.41,4.73,175.46,999.24,5.14,168.12,0.0,0.0,0.0,0.0,0.0,10-Apr-2020 - 00:00,"Velachery Res. Area, Chennai - CPCB"
