from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
04-May-2020 - 00:00,,30.61,2.14,3.32,3.57,0.54,,28.72,05-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-May-2020 - 00:00,,50.97,4.87,10.18,15.28,0.64,,29.38,06-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-May-2020 - 00:00,,45.85,1.76,5.63,7.62,0.62,,30.37,07-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-May-2020 - 00:00,,31.24,1.06,6.0,7.68,0.57,,38.21,08-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-May-2020 - 00:00,,41.91,1.46,7.83,9.28,0.6,,41.44,09-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-May-2020 - 00:00,,52.94,1.04,,,0.63,,45.0,10-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-May-2020 - 00:00,,41.97,1.1,,,0.6,,32.56,11-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-May-2020 - 00:00,212.21,54.43,7.91,4.89,17.3,0.47,,33.85,12-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-May-2020 - 00:00,84.35,41.12,12.46,2.67,13.49,0.62,,37.19,13-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-May-2020 - 00:00,130.49,56.37,12.45,1.85,13.36,0.66,,32.37,14-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-May-2020 - 00:00,108.33,46.81,16.43,6.73,22.23,0.67,,29.63,15-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-May-2020 - 00:00,99.79,45.38,12.58,4.14,15.48,0.53,,33.36,16-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-May-2020 - 00:00,118.95,64.3,11.84,4.4,14.85,0.56,,39.41,17-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-May-2020 - 00:00,163.83,90.26,14.84,8.69,21.9,0.69,,33.07,18-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-May-2020 - 00:00,150.68,72.12,21.74,11.19,30.75,2.48,,27.63,19-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-May-2020 - 00:00,197.42,100.2,25.49,12.46,37.29,3.22,,33.73,20-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-May-2020 - 00:00,146.12,71.16,15.96,5.99,21.2,2.48,,33.63,21-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-May-2020 - 00:00,136.04,56.48,16.06,3.5,18.0,2.39,,30.59,22-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-May-2020 - 00:00,168.01,65.45,28.71,10.86,37.73,2.23,,26.54,23-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-May-2020 - 00:00,161.28,54.74,14.71,2.42,13.61,2.13,,24.14,24-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-May-2020 - 00:00,154.79,54.23,14.65,1.98,10.96,1.96,,27.01,25-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-May-2020 - 00:00,150.36,59.84,21.43,4.41,22.21,1.84,,22.5,26-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-May-2020 - 00:00,173.45,54.96,48.67,12.28,57.36,1.74,,15.9,27-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-May-2020 - 00:00,139.59,41.84,20.02,3.3,19.16,1.64,,30.45,28-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-May-2020 - 00:00,219.76,39.29,12.68,2.25,7.73,0.72,,27.4,29-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
29-May-2020 - 00:00,70.84,28.34,14.06,1.74,10.42,0.76,,24.36,30-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
30-May-2020 - 00:00,43.8,23.41,13.32,1.04,7.4,0.81,,25.56,31-May-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
31-May-2020 - 00:00,44.28,26.26,14.5,1.45,8.97,0.82,,23.03,01-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Jun-2020 - 00:00,83.98,38.78,16.2,1.35,13.73,0.84,,34.56,02-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Jun-2020 - 00:00,91.56,38.07,15.79,2.04,13.17,0.9,,26.78,03-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Jun-2020 - 00:00,105.06,41.37,16.14,1.48,12.95,0.91,,29.51,04-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Jun-2020 - 00:00,124.9,48.12,22.26,4.48,23.62,0.92,,20.38,05-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Jun-2020 - 00:00,73.51,33.4,15.77,2.33,12.47,0.95,,23.61,06-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Jun-2020 - 00:00,74.55,29.75,13.63,0.9,8.07,0.97,,26.0,07-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Jun-2020 - 00:00,89.84,39.78,15.04,0.97,11.06,0.94,,23.31,08-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Jun-2020 - 00:00,94.52,40.01,17.81,17.82,28.87,0.79,,28.75,09-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Jun-2020 - 00:00,134.12,54.08,6.82,33.83,40.65,0.7,,27.42,10-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
10-Jun-2020 - 00:00,131.76,40.92,18.39,40.86,59.25,0.71,,20.14,11-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Jun-2020 - 00:00,128.8,43.66,13.42,38.13,51.55,0.61,,22.03,12-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Jun-2020 - 00:00,154.52,59.13,5.03,31.07,36.1,0.74,,25.8,13-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Jun-2020 - 00:00,112.18,51.77,4.98,27.45,32.42,0.71,,20.65,14-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Jun-2020 - 00:00,,,,,,,,,15-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Jun-2020 - 00:00,,,,,,,,,16-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Jun-2020 - 00:00,122.72,41.51,10.07,34.86,39.07,0.74,,43.18,17-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Jun-2020 - 00:00,101.87,33.43,1.46,23.36,24.81,0.78,,37.16,18-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Jun-2020 - 00:00,128.29,38.33,2.7,21.49,24.18,0.76,,37.04,19-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Jun-2020 - 00:00,245.52,54.09,4.01,18.51,22.51,0.85,,30.69,20-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Jun-2020 - 00:00,118.94,30.35,4.24,19.01,23.25,0.82,,28.51,21-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Jun-2020 - 00:00,101.77,36.24,4.83,20.77,25.6,0.84,,35.76,22-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Jun-2020 - 00:00,88.92,36.36,4.3,20.49,24.79,0.89,,43.16,23-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Jun-2020 - 00:00,71.56,27.34,4.4,18.98,23.37,0.86,,34.64,24-Jun-2020 - 00:00,"IGI Airport (T3), Delhi - IMD"
