from date,Benzene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,SR,Temp,WD,WS,SO2,to date,station
07-Sep-2020 - 00:00,23.89,0.0,54.75,0.47,4.93,3.68,8.95,26.44,10.92,62.81,318.99,24.96,164.76,0.29,2.73,08-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Sep-2020 - 00:00,27.79,0.0,52.03,0.59,4.89,3.66,8.91,26.43,8.22,69.56,397.92,26.07,164.66,0.33,3.31,09-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Sep-2020 - 00:00,23.85,0.0,42.98,0.38,4.78,3.59,8.82,26.41,6.6,95.65,339.87,25.91,178.72,0.09,3.81,10-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Sep-2020 - 00:00,45.7,0.0,84.53,0.46,4.95,3.69,8.96,26.44,16.36,76.82,302.77,26.74,163.04,0.4,2.49,11-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Sep-2020 - 00:00,31.14,0.0,72.33,0.35,4.88,3.65,8.9,26.42,6.63,66.84,509.2,25.84,135.27,0.12,4.29,12-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Sep-2020 - 00:00,,,,,,,,,,,,,,,,13-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Sep-2020 - 00:00,,,,,,,,,,,,,,,,14-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Sep-2020 - 00:00,30.1,0.18,151.14,0.67,20.02,13.71,22.8,30.74,5.28,52.03,273.34,23.86,146.1,0.26,1.47,15-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Sep-2020 - 00:00,37.07,0.18,162.56,0.66,25.45,37.64,35.86,32.15,5.68,50.09,222.86,23.64,168.65,0.21,2.64,16-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Sep-2020 - 00:00,36.62,0.25,205.1,0.71,18.92,18.93,24.69,31.11,4.26,56.11,218.76,23.88,160.25,0.21,2.5,17-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Sep-2020 - 00:00,28.83,0.33,197.61,0.53,19.94,22.88,25.58,31.88,3.32,52.43,93.79,23.58,169.65,0.19,2.08,18-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Sep-2020 - 00:00,,,,0.67,16.97,23.52,26.2,30.28,2.47,63.83,104.39,23.44,143.9,0.15,3.47,19-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Sep-2020 - 00:00,,,,0.6,18.3,16.1,23.01,30.97,4.12,73.69,114.96,24.1,156.34,0.15,3.76,20-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Sep-2020 - 00:00,,,,0.51,14.8,15.23,20.19,30.68,10.07,65.41,258.88,25.33,187.69,0.29,2.55,21-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Sep-2020 - 00:00,10.04,24.07,116.04,0.71,18.23,23.04,26.49,32.07,2.34,89.1,198.29,23.89,151.18,0.15,3.2,22-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Sep-2020 - 00:00,11.66,15.36,71.78,0.64,24.58,51.6,41.11,33.39,2.98,71.31,95.51,23.26,156.91,0.22,3.21,23-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Sep-2020 - 00:00,18.33,11.39,207.63,0.51,20.05,39.0,35.21,32.31,4.61,35.86,88.18,22.48,115.79,0.24,4.95,24-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Sep-2020 - 00:00,11.27,14.74,97.17,0.56,40.14,246.42,213.29,47.52,6.46,51.79,174.31,24.14,154.12,0.15,4.38,25-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Sep-2020 - 00:00,16.37,24.83,68.36,0.8,18.52,51.72,38.2,33.86,1.93,71.66,123.62,23.21,148.88,0.08,2.35,26-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Sep-2020 - 00:00,12.0,28.15,44.93,0.8,19.95,59.81,40.65,35.38,5.83,88.4,294.92,24.62,182.76,0.36,3.88,27-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Sep-2020 - 00:00,12.23,27.9,52.28,0.69,26.67,118.96,74.5,41.71,4.86,90.52,184.39,23.69,160.96,0.14,21.15,28-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Sep-2020 - 00:00,10.71,21.6,45.25,0.78,21.05,82.73,59.86,35.95,8.96,91.85,171.57,23.94,183.28,0.19,23.38,29-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Sep-2020 - 00:00,12.36,24.47,43.77,0.87,71.96,196.6,99.82,86.63,9.92,115.93,269.22,24.64,181.78,0.25,26.72,30-Sep-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Sep-2020 - 00:00,10.19,20.78,61.37,0.71,24.77,28.66,34.23,18.33,10.17,116.63,310.94,24.62,191.3,0.22,11.67,01-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Oct-2020 - 00:00,10.85,29.19,124.01,0.68,22.05,19.87,27.58,16.19,10.23,110.7,344.09,24.6,180.64,0.34,5.84,02-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Oct-2020 - 00:00,9.68,17.72,36.79,0.51,12.92,13.42,18.76,13.56,15.29,114.97,263.4,25.28,181.94,0.26,3.77,03-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Oct-2020 - 00:00,8.12,17.09,36.15,0.39,10.87,11.66,16.77,13.33,14.67,96.2,274.4,24.88,162.69,0.24,7.95,04-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Oct-2020 - 00:00,10.28,15.32,34.59,0.43,10.13,9.89,15.38,11.91,12.98,66.72,130.54,24.15,170.63,0.27,3.3,05-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Oct-2020 - 00:00,14.53,19.57,52.53,0.49,8.82,10.91,15.29,11.45,10.0,97.69,275.65,25.41,187.6,0.43,1.17,06-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Oct-2020 - 00:00,11.38,24.49,87.01,0.51,5.12,10.65,13.17,11.07,12.24,130.1,349.49,25.35,184.35,0.27,2.35,07-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Oct-2020 - 00:00,15.14,17.07,87.2,0.65,2.47,9.73,11.16,10.73,15.34,149.19,323.99,26.13,190.72,0.27,10.68,08-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Oct-2020 - 00:00,19.44,18.42,78.3,0.85,1.98,9.86,10.95,10.76,16.21,167.07,172.65,26.44,178.78,0.25,2.11,09-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Oct-2020 - 00:00,12.01,20.78,45.56,0.74,2.23,12.76,12.08,11.01,19.49,150.03,320.29,27.81,160.11,0.52,2.99,10-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Oct-2020 - 00:00,14.99,18.53,49.76,0.82,1.68,11.58,11.15,10.99,16.63,153.38,346.55,25.58,160.49,0.88,2.55,11-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Oct-2020 - 00:00,22.95,26.93,59.92,0.82,1.37,10.68,10.73,10.83,9.49,110.64,106.63,24.79,162.11,0.13,3.17,12-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Oct-2020 - 00:00,19.6,23.63,60.29,0.75,1.37,10.68,10.54,10.76,1.36,133.9,230.29,25.74,159.36,0.2,2.42,13-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Oct-2020 - 00:00,19.76,25.88,134.36,0.77,1.52,10.64,10.33,10.77,0.56,128.94,270.76,25.07,153.98,0.17,3.37,14-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Oct-2020 - 00:00,15.22,27.6,115.41,0.72,2.58,12.41,11.87,10.82,14.26,100.13,196.36,24.71,166.87,0.21,2.73,15-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Oct-2020 - 00:00,13.32,33.39,66.87,0.56,2.26,15.81,13.5,10.95,7.21,54.84,196.32,24.36,185.96,0.31,2.48,16-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Oct-2020 - 00:00,9.38,19.67,61.41,0.59,2.21,12.46,11.45,10.7,8.39,45.86,232.14,25.56,124.58,0.15,2.55,17-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Oct-2020 - 00:00,16.01,25.24,149.21,0.55,1.76,10.34,10.33,10.67,6.23,90.97,262.48,25.29,151.51,0.15,2.63,18-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Oct-2020 - 00:00,12.7,21.53,188.84,0.41,1.56,11.61,10.91,10.91,10.39,115.28,306.61,25.45,167.49,0.22,2.62,19-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Oct-2020 - 00:00,10.22,19.15,70.53,0.45,3.03,12.34,11.37,12.54,8.69,101.84,202.88,25.25,173.53,0.24,2.21,20-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Oct-2020 - 00:00,9.35,22.3,69.28,0.62,2.28,12.52,11.76,11.52,9.59,96.05,225.23,25.91,172.44,0.23,5.94,21-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Oct-2020 - 00:00,11.05,24.77,71.07,0.59,1.42,8.54,9.87,10.57,15.18,107.45,271.81,25.93,163.5,0.21,2.93,22-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Oct-2020 - 00:00,13.58,33.24,67.79,0.41,21.26,31.27,30.86,10.79,9.4,75.46,246.79,25.45,138.09,0.23,5.19,23-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Oct-2020 - 00:00,9.91,28.03,67.54,0.5,15.83,18.85,21.57,7.86,9.08,80.11,308.4,25.54,174.86,0.21,5.88,24-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Oct-2020 - 00:00,15.81,31.82,93.81,0.58,16.27,10.09,17.32,6.9,9.01,130.43,245.75,25.97,156.73,0.21,6.32,25-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Oct-2020 - 00:00,19.61,27.78,150.94,0.49,16.6,9.37,17.06,6.56,9.53,105.49,319.17,26.47,151.62,0.13,7.83,26-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Oct-2020 - 00:00,15.31,29.62,136.58,0.54,16.31,9.73,17.13,6.62,8.49,140.63,190.36,25.93,140.49,0.11,7.14,27-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Oct-2020 - 00:00,14.47,36.47,115.86,0.57,17.95,12.25,19.49,6.42,10.76,177.2,330.8,26.2,169.59,0.14,10.31,28-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Oct-2020 - 00:00,13.81,31.96,87.05,0.55,15.05,10.56,16.52,5.91,11.97,151.18,320.96,25.66,158.14,0.13,6.86,29-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Oct-2020 - 00:00,13.28,23.5,78.87,0.5,59.33,26.78,74.32,11.36,31.49,186.93,310.61,21.06,179.42,0.19,5.39,30-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Oct-2020 - 00:00,11.15,34.54,55.1,0.15,,,,,20.74,173.37,361.37,28.32,152.4,0.13,6.8,31-Oct-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
31-Oct-2020 - 00:00,9.39,37.23,89.68,0.04,,,,,17.94,183.66,352.79,24.93,161.61,0.14,7.61,01-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Nov-2020 - 00:00,15.12,26.37,161.94,0.08,,,,,25.78,186.22,281.25,24.71,162.58,0.16,6.5,02-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
02-Nov-2020 - 00:00,18.62,26.94,107.13,0.05,,,,,22.55,272.3,239.2,25.44,169.55,0.16,7.22,03-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
03-Nov-2020 - 00:00,17.27,26.45,130.39,0.11,,,,,20.17,276.0,266.23,26.02,134.12,0.12,6.75,04-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
04-Nov-2020 - 00:00,12.53,24.91,9.6,0.06,,,,,22.53,262.64,260.83,25.25,182.26,0.16,5.86,05-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
05-Nov-2020 - 00:00,11.24,25.41,6.5,0.05,,,,,19.16,301.3,272.92,24.91,156.58,0.1,8.91,06-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
06-Nov-2020 - 00:00,10.08,24.17,7.7,0.08,,,,,23.78,208.9,311.23,24.58,144.74,0.1,9.96,07-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
07-Nov-2020 - 00:00,17.45,29.52,62.66,0.36,82.52,8.13,47.95,31.83,24.47,240.34,295.21,24.29,121.31,0.12,7.31,08-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
08-Nov-2020 - 00:00,11.68,29.94,133.68,0.51,75.06,13.29,46.82,33.26,26.06,250.19,301.08,25.22,106.18,0.14,7.06,09-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
09-Nov-2020 - 00:00,15.15,27.82,164.01,0.52,67.31,29.6,47.46,41.68,23.01,267.26,298.27,24.13,147.71,0.13,7.13,10-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
10-Nov-2020 - 00:00,15.87,22.68,243.38,0.57,74.76,15.94,45.39,29.26,25.9,282.29,290.34,22.85,142.12,0.11,6.54,11-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
11-Nov-2020 - 00:00,17.24,13.6,292.04,0.33,81.51,4.57,42.98,25.75,30.72,236.37,291.31,22.49,133.57,0.12,6.19,12-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
12-Nov-2020 - 00:00,8.96,17.77,79.18,0.58,122.67,30.38,76.27,45.04,31.86,296.46,330.12,26.08,114.09,0.11,8.6,13-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Nov-2020 - 00:00,15.39,19.72,88.97,0.5,117.01,14.7,69.84,39.95,17.95,220.46,303.06,24.14,144.73,0.13,6.44,14-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Nov-2020 - 00:00,11.82,14.46,63.97,0.49,86.29,4.4,47.9,28.45,22.18,178.46,243.88,25.67,156.29,0.17,4.65,15-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Nov-2020 - 00:00,0.0,0.0,0.0,0.48,87.29,4.29,48.51,28.82,29.69,180.62,269.54,25.96,129.67,0.17,5.42,16-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Nov-2020 - 00:00,8.16,5.5,44.02,0.5,84.84,3.07,46.54,27.45,33.82,127.69,288.35,26.78,113.46,0.13,3.05,17-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Nov-2020 - 00:00,6.7,3.9,21.5,0.5,84.94,3.45,46.81,27.43,29.57,143.17,253.7,26.8,117.04,0.16,3.28,18-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Nov-2020 - 00:00,11.02,10.8,89.72,0.45,75.98,2.67,41.46,24.91,41.3,174.94,183.3,26.03,153.54,0.21,4.87,19-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Nov-2020 - 00:00,7.4,8.14,49.75,0.45,70.9,1.79,38.35,22.85,51.36,166.84,214.89,26.16,130.98,0.23,3.31,20-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Nov-2020 - 00:00,6.76,7.13,45.73,0.49,90.27,3.25,49.27,28.35,41.08,165.38,194.21,23.35,113.22,0.09,4.22,21-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Nov-2020 - 00:00,2.78,10.5,10.33,0.47,82.86,5.08,45.72,25.62,33.32,182.5,254.13,25.14,159.52,0.23,4.36,22-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
22-Nov-2020 - 00:00,4.85,7.51,79.26,0.56,84.69,4.03,46.21,26.43,26.99,199.45,252.49,24.2,172.84,0.26,4.21,23-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
23-Nov-2020 - 00:00,6.35,12.58,89.9,0.52,87.55,16.01,52.65,30.23,19.38,210.6,242.05,23.47,168.03,0.25,5.49,24-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
24-Nov-2020 - 00:00,6.76,7.41,58.67,0.48,93.3,25.41,58.02,32.83,23.79,234.47,215.33,23.61,152.16,0.14,6.97,25-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
25-Nov-2020 - 00:00,9.35,10.11,67.65,0.52,81.37,14.67,48.49,28.48,32.94,254.73,219.94,24.05,171.34,0.25,7.47,26-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
26-Nov-2020 - 00:00,10.19,15.97,5.37,0.42,79.57,8.45,44.56,26.09,33.94,233.51,238.19,24.39,133.37,0.15,5.07,27-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
27-Nov-2020 - 00:00,6.74,10.78,7.55,0.52,78.34,7.98,43.81,24.85,23.1,192.05,292.33,22.07,100.19,0.11,5.21,28-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
28-Nov-2020 - 00:00,9.27,12.82,10.35,0.71,80.75,5.73,43.8,23.57,32.59,173.8,48.64,26.82,68.06,0.15,6.41,29-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
29-Nov-2020 - 00:00,3.51,4.75,20.84,0.58,106.52,3.72,57.8,28.91,21.0,120.99,292.71,25.09,141.45,0.21,5.11,30-Nov-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
30-Nov-2020 - 00:00,5.77,6.28,34.92,0.61,99.83,2.97,54.28,28.28,28.42,177.01,254.22,26.71,158.16,0.2,3.87,01-Dec-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
01-Dec-2020 - 00:00,19.05,8.92,171.25,0.52,98.31,4.31,54.34,28.44,13.62,240.83,,24.02,120.56,0.03,4.02,02-Dec-2020 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
