from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
23-Mar-2020 - 00:00,24.13,989.09,117.2,71.58,52.38,151.96,179.26,1.09,,1.78,4.42,58.31,15.33,1.25,9.16,0.57,47.2,17.12,24-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
24-Mar-2020 - 00:00,22.92,987.76,105.0,45.93,59.91,105.06,163.24,1.82,,2.36,6.49,53.36,17.38,1.71,10.63,0.5,41.43,12.52,25-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
25-Mar-2020 - 00:00,24.1,988.19,,43.3,60.3,173.53,157.25,1.44,,1.45,2.87,65.13,10.25,1.46,6.59,0.32,33.06,9.83,26-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
26-Mar-2020 - 00:00,22.83,989.62,,61.91,62.69,90.28,204.36,2.07,,1.47,0.89,72.01,8.58,1.27,5.5,0.3,26.61,16.27,27-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
27-Mar-2020 - 00:00,21.56,990.89,,28.26,65.92,97.8,193.0,2.51,,0.88,0.83,52.23,6.95,1.24,4.61,0.22,29.81,10.33,28-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
30-Mar-2020 - 00:00,24.84,989.38,,27.4,48.66,205.24,101.61,2.24,,0.73,1.07,48.09,8.47,0.81,5.02,0.26,62.73,9.23,31-Mar-2020 - 00:00,"Najafgarh, Delhi - DPCC"
31-Mar-2020 - 00:00,20.09,988.85,,72.0,60.62,178.4,84.24,1.35,,1.55,1.73,51.2,8.71,1.33,5.71,0.38,40.51,13.35,01-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
07-Apr-2020 - 00:00,25.21,986.84,,22.45,41.05,4.04,93.06,2.38,,0.55,0.87,41.8,4.58,0.74,2.98,0.3,66.97,12.38,08-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
08-Apr-2020 - 00:00,25.34,987.36,99.82,36.79,42.06,161.31,62.78,2.19,,1.38,1.96,43.9,7.01,0.95,4.33,0.33,62.09,13.75,09-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
09-Apr-2020 - 00:00,23.76,987.65,98.72,48.63,44.59,114.7,162.16,1.56,,1.73,1.77,45.54,13.47,1.74,8.55,0.43,62.08,14.89,10-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
10-Apr-2020 - 00:00,27.19,988.48,153.06,67.9,39.93,154.64,136.45,1.11,,2.37,3.07,42.94,18.14,2.96,11.71,0.51,52.08,19.41,11-Apr-2020 - 00:00,"Najafgarh, Delhi - DPCC"
