from date,Benzene,Eth-Benzene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
07-Apr-2020 - 00:00,0.8,0.09,2.23,716.35,27.82,69.49,0.0,23.53,30.06,173.61,3.33,0.79,21.84,3.38,7.75,11.12,73.41,5.78,08-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Apr-2020 - 00:00,0.44,0.05,1.27,717.47,22.87,52.9,0.0,26.5,28.26,172.24,2.87,0.66,21.11,2.96,6.25,9.2,71.7,5.93,09-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Apr-2020 - 00:00,0.96,0.08,1.79,718.12,23.99,59.06,0.0,23.52,28.87,219.82,1.4,0.85,20.17,3.37,7.2,10.57,75.39,5.39,10-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Apr-2020 - 00:00,1.0,0.19,3.11,718.31,23.39,65.22,0.0,23.09,30.31,202.77,0.92,0.78,20.27,3.29,8.86,12.15,58.51,6.32,11-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Apr-2020 - 00:00,0.79,0.15,2.84,719.31,26.43,79.94,0.0,23.13,31.42,201.88,1.34,0.79,20.61,3.29,7.75,11.05,59.81,6.06,12-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Apr-2020 - 00:00,1.38,0.11,2.2,718.38,24.81,61.71,0.0,25.33,31.06,204.35,1.31,0.82,20.32,3.22,7.94,11.15,61.15,6.12,13-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Apr-2020 - 00:00,1.36,0.14,2.76,716.86,28.56,85.07,0.0,24.52,32.27,217.91,2.21,0.78,19.99,3.29,8.76,12.05,53.16,6.2,14-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Apr-2020 - 00:00,0.51,0.06,1.63,716.96,31.21,69.88,0.0,17.54,33.57,219.43,2.55,0.78,20.64,3.25,6.78,10.03,75.13,5.96,15-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Apr-2020 - 00:00,0.86,0.09,1.6,717.1,28.45,71.55,0.0,18.24,32.97,212.47,2.93,0.81,20.34,3.13,7.47,10.59,65.0,6.27,16-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Apr-2020 - 00:00,2.02,0.17,2.6,715.97,27.57,80.39,0.0,24.76,32.44,200.53,2.51,0.86,24.19,3.19,8.68,11.87,57.42,5.81,17-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Apr-2020 - 00:00,0.3,0.04,1.27,715.12,29.49,74.96,0.0,25.89,32.26,217.14,3.09,0.86,31.47,3.02,5.69,8.71,68.12,5.92,18-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Apr-2020 - 00:00,0.16,0.01,0.85,716.02,31.65,65.16,0.0,20.8,32.66,246.87,2.48,0.89,33.61,2.93,4.3,7.23,74.83,6.22,19-Apr-2020 - 00:00,"Civil Lines,  Ajmer - RSPCB"
