from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,BP,SR,WS,WD,to date,station
21-Mar-2020 - 00:00,32.9,88.71,14.15,6.83,20.98,8.64,15.6,0.64,36.6,1.32,3.45,1.39,25.81,,262.02,0.52,160.85,22-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Mar-2020 - 00:00,27.26,56.96,4.67,1.75,6.43,4.36,7.42,0.32,24.53,0.72,2.98,1.1,24.63,,,0.49,179.2,23-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Mar-2020 - 00:00,97.12,234.92,27.17,11.89,80.47,16.53,8.49,1.67,33.37,,,,30.09,,,0.51,163.65,24-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Mar-2020 - 00:00,70.44,131.93,14.3,5.72,19.98,9.75,17.66,0.72,69.74,,,,30.76,,292.4,0.59,166.92,25-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Mar-2020 - 00:00,52.91,126.67,18.85,5.42,24.28,15.82,18.01,0.63,91.12,,,,32.96,,301.98,0.68,170.06,26-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Mar-2020 - 00:00,42.49,,7.49,2.4,9.85,9.06,53.19,0.55,83.48,,,,31.46,,221.07,0.7,167.95,27-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Mar-2020 - 00:00,41.98,,7.08,1.67,8.74,7.86,17.75,0.52,87.24,,,,32.12,,264.34,0.74,166.54,28-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Mar-2020 - 00:00,,,7.11,1.43,8.53,5.29,38.99,0.49,105.54,,,,32.64,,269.69,0.72,160.25,29-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Mar-2020 - 00:00,,,9.19,1.72,10.54,9.57,45.17,0.59,112.26,,,,32.82,,271.28,0.71,168.09,30-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Mar-2020 - 00:00,,,11.76,4.62,16.39,6.01,35.57,0.56,114.74,,,,32.94,,324.54,0.64,166.57,31-Mar-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
31-Mar-2020 - 00:00,,,9.23,2.36,11.59,10.78,118.46,0.53,140.47,,,,36.81,,445.93,0.96,165.88,01-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-Apr-2020 - 00:00,,,6.46,2.24,8.7,6.24,134.73,0.62,78.62,,,,31.56,,353.78,0.67,163.34,02-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-Apr-2020 - 00:00,,,9.41,14.04,22.75,9.71,133.67,0.62,92.68,,,,32.05,,315.63,0.71,162.86,03-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-Apr-2020 - 00:00,,,9.83,6.28,15.93,13.89,152.64,0.66,84.08,,,,31.87,,336.68,0.74,166.67,04-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-Apr-2020 - 00:00,,,10.69,23.04,31.92,13.98,53.08,0.73,90.26,,,,31.69,,307.18,0.67,162.23,05-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-Apr-2020 - 00:00,,,10.08,24.72,33.52,14.24,129.28,0.78,86.19,,,,30.78,,279.81,0.69,164.67,06-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-Apr-2020 - 00:00,,,12.62,13.44,25.17,11.39,,0.45,70.26,,,,30.59,,382.98,0.88,175.7,07-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-Apr-2020 - 00:00,,,8.15,3.37,11.48,8.45,,0.55,48.39,,,,27.78,,138.68,0.64,170.64,08-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
25-Apr-2020 - 00:00,28.62,78.28,6.77,16.36,19.94,16.91,32.43,0.33,58.76,0.0,0.0,0.0,34.46,,367.91,1.13,170.85,26-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
26-Apr-2020 - 00:00,28.46,78.94,7.45,3.33,10.33,7.63,35.43,0.3,62.33,,,,31.93,,325.75,0.87,165.87,27-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
27-Apr-2020 - 00:00,25.3,73.03,6.38,1.74,8.12,5.72,34.88,0.24,50.94,,,,32.07,,302.8,0.94,165.08,28-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
28-Apr-2020 - 00:00,31.4,81.31,5.82,0.77,6.56,4.36,36.78,0.24,68.13,,,,33.64,,335.12,0.89,160.07,29-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
29-Apr-2020 - 00:00,32.35,93.93,10.37,3.98,14.02,3.29,39.3,0.31,79.56,,,,35.1,,293.16,1.06,167.83,30-Apr-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
30-Apr-2020 - 00:00,34.5,91.23,8.79,2.35,11.11,4.31,35.48,0.31,64.44,,,,33.59,,286.74,0.89,160.54,01-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
01-May-2020 - 00:00,23.3,68.03,5.36,1.07,6.31,3.22,34.18,0.2,54.61,,,,33.32,,281.8,0.97,163.92,02-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
02-May-2020 - 00:00,19.54,60.12,4.89,0.55,5.36,3.16,34.16,0.18,54.73,,,,32.91,,284.36,0.93,163.28,03-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
03-May-2020 - 00:00,16.21,58.69,5.35,1.19,6.35,2.81,34.14,0.19,56.06,,,,33.28,,295.5,0.89,162.98,04-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
04-May-2020 - 00:00,15.77,50.99,4.93,1.29,6.2,2.18,34.01,0.18,48.36,,,,31.56,,323.15,0.71,154.02,05-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
05-May-2020 - 00:00,22.8,82.32,9.75,7.44,16.09,2.95,36.47,0.21,54.45,,,,33.14,,305.8,0.96,163.75,06-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
06-May-2020 - 00:00,24.8,115.28,9.85,2.49,12.35,3.07,38.64,0.25,62.97,,,,34.14,,301.34,0.91,162.39,07-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
07-May-2020 - 00:00,20.75,74.68,8.27,3.28,11.42,3.18,36.32,0.22,37.17,,,,29.5,,115.73,0.55,160.03,08-May-2020 - 00:00,"Khadakpada, Kalyan - MPCB"
