from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
12-Jan-2020 - 00:00,2.36,16.99,10.95,23.39,0.8,47.53,110.02,79.09,18.72,26.06,73.72,2.16,0.03,135.48,74.38,759.64,0.0,0.76,3.28,0.16,0.13,25.39,13-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
13-Jan-2020 - 00:00,2.63,20.65,13.12,33.78,0.94,48.32,120.18,84.46,20.86,25.77,76.89,1.63,0.02,143.62,77.37,757.84,0.0,1.06,5.86,0.3,0.21,26.75,14-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
14-Jan-2020 - 00:00,1.61,13.76,8.62,18.44,0.83,58.54,110.59,81.4,19.51,25.78,75.58,2.21,0.03,135.26,66.05,758.0,0.0,0.89,1.68,0.18,0.13,26.75,15-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
15-Jan-2020 - 00:00,1.72,10.83,7.16,18.86,0.75,48.74,89.42,67.4,19.04,24.84,78.04,2.21,0.03,149.85,69.25,759.08,0.0,0.77,1.85,0.16,0.13,26.3,16-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
16-Jan-2020 - 00:00,1.57,10.29,6.62,10.67,0.65,47.53,75.62,55.88,21.35,25.57,79.06,3.18,0.04,128.56,71.04,758.67,0.0,0.51,2.58,0.13,0.1,29.86,17-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
17-Jan-2020 - 00:00,2.09,11.3,7.7,15.86,0.65,44.1,65.76,45.17,15.0,26.62,79.15,3.18,0.02,100.15,70.91,759.11,0.0,0.5,1.04,0.11,0.1,29.83,18-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
18-Jan-2020 - 00:00,2.23,8.81,6.49,11.98,0.61,34.55,51.99,31.92,12.8,26.36,80.29,3.0,0.04,97.98,50.95,759.07,0.0,0.24,0.96,0.1,0.1,25.28,19-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
19-Jan-2020 - 00:00,2.0,10.89,7.41,17.76,0.68,35.55,57.94,36.61,13.96,26.79,79.21,2.76,0.04,102.35,62.86,759.49,0.0,0.27,0.81,0.1,0.1,25.39,20-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
20-Jan-2020 - 00:00,4.99,18.07,13.67,14.9,0.64,33.42,57.96,31.18,14.44,26.78,76.97,1.97,0.02,110.94,75.71,760.31,0.0,0.4,1.54,0.22,0.15,26.68,21-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
21-Jan-2020 - 00:00,3.06,14.21,10.05,13.51,0.61,36.83,54.38,29.46,16.72,26.44,77.07,2.51,0.02,149.0,75.47,761.75,0.0,0.39,1.21,0.14,0.14,26.34,22-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
22-Jan-2020 - 00:00,2.87,15.24,10.44,14.48,0.66,40.68,66.89,38.66,17.5,26.89,76.85,2.81,0.03,110.89,78.27,762.44,0.0,0.35,1.34,0.12,0.11,26.61,23-Jan-2020 - 00:00,"Secretariat, Amaravati - APPCB"
