from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
17-May-2020 - 00:00,196.77,86.71,29.18,19.87,49.05,0.74,,13.61,18-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-May-2020 - 00:00,211.42,90.0,28.85,19.7,48.55,0.85,,14.4,19-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-May-2020 - 00:00,232.57,97.2,38.49,22.22,60.71,0.91,,16.87,20-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-May-2020 - 00:00,174.65,71.07,30.48,20.86,51.34,0.79,,14.01,21-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-May-2020 - 00:00,193.71,55.46,25.55,21.16,46.71,0.76,,12.84,22-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-May-2020 - 00:00,239.25,102.23,45.99,27.31,73.3,0.95,,16.02,23-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-May-2020 - 00:00,262.83,91.47,52.82,29.32,82.14,1.03,,12.96,24-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-May-2020 - 00:00,206.64,59.46,36.45,22.98,59.42,0.75,,17.38,25-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
25-May-2020 - 00:00,184.15,57.51,40.54,23.98,64.52,0.87,,17.35,26-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
26-May-2020 - 00:00,214.5,53.41,59.99,28.46,88.45,1.05,,15.29,27-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
27-May-2020 - 00:00,181.06,45.1,22.86,19.67,42.53,0.7,,26.84,28-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
28-May-2020 - 00:00,250.51,36.7,2.0,10.87,12.87,0.36,,22.99,29-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
29-May-2020 - 00:00,74.44,25.31,1.54,12.13,13.67,0.33,,19.45,30-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
30-May-2020 - 00:00,56.82,23.54,1.4,11.48,12.88,0.36,,19.59,31-May-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
31-May-2020 - 00:00,42.61,22.05,1.65,10.94,12.59,0.36,,16.75,01-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
01-Jun-2020 - 00:00,105.15,50.6,3.69,13.64,17.33,0.5,,27.21,02-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
02-Jun-2020 - 00:00,114.96,44.06,10.71,16.82,27.53,0.65,,17.61,03-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
03-Jun-2020 - 00:00,142.63,54.52,14.43,18.45,32.88,0.64,,22.82,04-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
04-Jun-2020 - 00:00,158.5,61.63,33.15,22.52,55.66,0.8,,17.88,05-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
05-Jun-2020 - 00:00,93.37,45.51,5.57,14.05,19.61,0.56,,16.18,06-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
06-Jun-2020 - 00:00,79.68,32.14,4.16,12.26,16.42,0.47,,17.86,07-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
07-Jun-2020 - 00:00,100.22,42.65,8.43,13.39,21.82,0.54,,17.39,08-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
08-Jun-2020 - 00:00,126.71,50.87,26.46,18.87,45.34,0.66,9.73,35.02,09-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
09-Jun-2020 - 00:00,180.1,73.95,39.91,22.73,62.64,0.81,,32.93,10-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
10-Jun-2020 - 00:00,193.12,68.2,54.57,28.51,83.08,1.11,,26.2,11-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
11-Jun-2020 - 00:00,164.53,56.55,3.49,22.9,26.39,0.83,,33.79,12-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
12-Jun-2020 - 00:00,146.17,59.66,1.88,13.58,15.46,0.67,,27.99,13-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
13-Jun-2020 - 00:00,157.25,53.09,1.57,12.75,14.32,0.56,,24.63,14-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
14-Jun-2020 - 00:00,169.58,68.84,1.81,12.02,13.82,0.62,,33.74,15-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
15-Jun-2020 - 00:00,137.56,49.07,2.38,13.13,15.51,0.61,,30.17,16-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Jun-2020 - 00:00,109.44,39.56,1.87,10.6,12.48,0.61,,29.25,17-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Jun-2020 - 00:00,80.2,31.6,1.83,7.96,9.79,0.49,,30.76,18-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Jun-2020 - 00:00,96.54,40.36,1.96,8.06,10.02,0.46,,29.89,19-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Jun-2020 - 00:00,199.01,49.99,1.33,6.96,8.29,0.52,,25.46,20-Jun-2020 - 00:00,"CRRI Mathura Road, Delhi - IMD"
