from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,RF,SR,to date,station
21-Mar-2020 - 00:00,48.03,2.52,27.4,32.02,17.73,4.29,57.48,72.21,179.25,0.23,2.04,26.38,1.01,77.41,47.79,741.67,0.0,85.73,22-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
22-Mar-2020 - 00:00,29.01,2.27,17.26,33.02,15.16,4.85,56.36,85.08,150.54,0.28,1.93,26.06,1.38,54.25,49.44,741.9,0.0,99.83,23-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
23-Mar-2020 - 00:00,27.1,2.09,16.11,31.03,14.49,3.93,50.77,55.33,102.92,0.21,0.83,26.36,0.95,78.69,49.1,741.98,0.0,97.66,24-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
24-Mar-2020 - 00:00,22.0,2.24,13.48,34.64,16.74,4.93,40.52,71.12,138.88,0.28,0.82,25.72,1.64,100.02,49.92,741.46,0.01,72.64,25-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
25-Mar-2020 - 00:00,16.73,2.12,10.62,32.57,11.55,3.42,37.97,32.54,67.71,0.14,0.59,27.07,1.83,59.8,51.26,741.69,0.0,104.77,26-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
26-Mar-2020 - 00:00,14.44,2.11,9.39,31.09,10.09,4.62,31.33,31.0,71.0,0.09,0.42,26.17,1.96,47.98,51.72,741.84,0.0,67.39,27-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
27-Mar-2020 - 00:00,11.99,2.07,8.06,29.06,9.47,3.77,28.5,20.5,40.5,0.09,0.32,23.46,2.12,85.24,58.42,742.0,0.05,60.58,28-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
28-Mar-2020 - 00:00,12.83,2.07,8.51,26.24,7.2,4.25,34.4,17.75,31.33,0.09,0.45,23.59,2.48,47.9,57.55,742.0,0.0,116.44,29-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
29-Mar-2020 - 00:00,10.93,2.01,7.45,23.35,7.89,3.7,50.23,14.17,46.25,0.06,0.27,25.96,3.79,45.05,46.85,741.91,0.0,118.16,30-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
30-Mar-2020 - 00:00,12.85,2.04,8.49,22.32,7.16,3.6,55.04,25.17,56.62,0.08,0.33,25.73,2.72,39.61,45.71,741.95,0.0,116.71,31-Mar-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
31-Mar-2020 - 00:00,13.14,2.04,8.64,22.85,12.0,3.33,56.49,24.12,61.0,0.09,0.42,27.21,2.66,50.48,43.81,741.71,0.01,103.84,01-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
01-Apr-2020 - 00:00,11.74,2.18,8.01,25.48,11.51,3.58,55.16,24.21,59.58,0.11,0.4,28.08,2.26,53.71,45.62,741.5,0.0,110.46,02-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
02-Apr-2020 - 00:00,9.54,1.97,6.69,22.57,9.68,2.92,56.33,19.96,52.75,0.08,0.36,27.31,3.28,47.23,43.07,741.68,0.0,118.86,03-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
03-Apr-2020 - 00:00,11.54,2.06,7.82,18.98,12.04,2.65,70.4,19.71,50.75,0.08,0.33,26.45,3.18,43.33,37.67,741.98,0.0,121.22,04-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
04-Apr-2020 - 00:00,14.67,2.12,9.53,21.35,13.0,2.83,65.08,28.29,67.08,0.11,0.74,27.24,2.35,44.84,38.89,741.85,0.0,120.5,05-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
05-Apr-2020 - 00:00,14.98,2.0,9.59,27.26,14.81,3.26,63.63,55.25,103.33,0.25,1.05,28.38,1.63,62.78,41.33,741.96,0.0,112.34,06-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
06-Apr-2020 - 00:00,14.99,2.14,9.71,28.03,10.3,3.07,60.5,61.83,119.75,0.26,0.87,31.11,2.19,58.15,38.55,741.93,0.0,117.66,07-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
07-Apr-2020 - 00:00,9.66,2.11,6.86,23.56,12.78,1.44,64.1,25.12,101.83,0.09,0.72,29.74,3.76,55.33,39.25,741.43,0.0,114.47,08-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
08-Apr-2020 - 00:00,11.56,2.1,7.86,20.57,12.12,2.05,64.31,22.3,89.57,0.09,0.61,29.32,3.48,52.5,36.78,741.59,0.0,117.3,09-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
09-Apr-2020 - 00:00,11.55,2.07,7.82,19.36,8.89,2.02,66.64,26.15,68.96,0.1,0.57,28.44,2.37,44.69,38.45,741.64,0.0,116.91,10-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
10-Apr-2020 - 00:00,18.83,2.14,11.76,22.51,10.53,2.66,57.33,52.0,106.89,0.19,1.15,30.27,1.67,39.02,38.66,741.73,0.0,117.28,11-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
11-Apr-2020 - 00:00,14.99,1.97,9.57,25.29,12.8,2.12,60.61,66.81,140.77,0.26,1.22,33.07,1.94,58.64,36.83,742.0,0.0,112.26,12-Apr-2020 - 00:00,"Knowledge Park - III, Greater Noida - UPPCB"
