from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,AT,WS,WD,RH,BP,to date,station
07-Apr-2020 - 00:00,9.0,22.55,3.16,7.36,1.04,0.36,31.75,8.73,22.89,0.26,0.46,23.21,26.3,1.63,201.0,62.95,716.36,08-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,10.15,13.87,1.24,6.4,1.23,0.45,33.91,16.71,33.96,0.41,0.61,23.76,27.29,1.09,191.77,55.56,716.81,09-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,8.43,14.18,1.07,5.35,1.39,0.59,36.26,16.98,39.21,0.33,0.67,23.97,26.22,1.59,157.1,63.74,716.6,10-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,7.01,12.92,0.81,4.39,1.38,0.5,35.02,12.5,27.24,0.4,0.8,24.21,25.83,1.33,144.21,58.51,716.97,11-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,5.32,14.33,0.67,3.37,1.29,0.49,30.63,23.08,42.22,0.6,0.79,23.87,26.82,1.62,97.96,57.89,718.08,12-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,6.67,12.0,1.25,4.57,1.31,0.52,34.38,19.62,44.51,0.37,0.76,23.76,27.99,1.34,105.44,45.74,717.46,13-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,13.45,13.27,4.05,10.45,1.43,0.62,33.21,27.65,58.1,0.32,0.77,23.83,28.21,1.15,124.56,40.57,716.08,14-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,13.45,14.32,4.33,10.67,1.69,0.57,34.39,32.11,63.15,0.31,0.76,23.72,28.11,1.36,100.04,35.33,716.17,15-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,10.22,14.27,1.78,6.88,1.74,0.55,35.84,32.29,57.03,0.19,0.71,23.51,28.35,1.27,115.77,41.88,717.1,16-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,8.79,11.83,1.39,5.81,1.54,0.54,34.66,25.07,51.38,0.19,0.94,23.45,28.76,1.42,138.78,43.93,716.03,17-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,7.32,11.72,1.01,4.72,1.44,0.6,34.63,27.27,63.39,0.2,0.83,23.38,28.94,1.47,148.19,51.08,715.38,18-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,6.61,10.34,0.82,4.18,1.4,0.56,35.35,24.33,54.32,0.14,0.87,23.44,28.83,1.4,131.43,50.72,715.72,19-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,5.4,9.16,0.72,3.46,1.36,0.52,36.66,21.55,49.21,0.13,0.88,23.58,28.81,1.62,127.76,50.72,715.53,20-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,5.19,8.44,0.73,3.35,1.57,0.48,37.27,17.94,41.14,0.13,0.9,23.71,28.43,1.6,108.68,50.33,715.61,21-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,6.88,6.39,1.08,4.53,1.45,0.55,36.91,15.28,34.1,0.14,0.89,23.67,28.54,1.41,128.09,46.79,715.68,22-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,4.62,5.6,0.61,2.95,1.43,0.52,35.86,16.12,39.89,0.13,0.88,23.54,28.99,1.67,165.64,50.47,715.29,23-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,5.31,4.75,0.58,3.29,1.39,0.62,32.91,16.35,38.64,0.2,1.03,23.9,28.55,1.54,204.31,56.49,715.1,24-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,9.84,4.8,1.61,6.53,1.37,0.74,42.64,31.48,86.0,0.2,1.05,23.48,28.19,1.22,214.06,56.17,714.76,25-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,5.73,5.15,0.74,3.65,1.36,0.54,32.1,22.75,56.45,0.2,1.07,24.18,26.63,1.53,219.48,64.8,715.04,26-Apr-2020 - 00:00,"Silk Board, Bengaluru - KSPCB"
