from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
15-Sep-2020 - 00:00,55.98,123.92,23.07,14.83,3.16,13.77,17.15,0.95,37.04,30.31,0.63,194.81,69.29,731.73,265.31,0.0,16-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Sep-2020 - 00:00,76.1,154.55,30.39,20.82,5.72,20.22,16.0,1.24,38.12,29.81,0.56,231.67,71.62,731.84,260.32,0.0,17-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Sep-2020 - 00:00,54.27,125.91,23.79,13.94,1.61,19.85,15.69,0.93,33.98,30.87,0.6,204.84,66.89,731.46,257.59,0.0,18-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Sep-2020 - 00:00,32.46,78.97,14.13,8.49,1.2,19.41,16.67,0.63,35.35,31.21,0.88,245.42,65.84,730.79,256.7,0.02,19-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Sep-2020 - 00:00,36.16,87.77,18.83,11.33,1.62,23.48,21.21,0.74,37.97,31.35,0.55,205.06,67.98,730.0,257.15,0.0,20-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Sep-2020 - 00:00,46.95,98.68,19.06,11.74,1.96,20.48,11.35,0.88,32.1,29.93,0.57,172.0,72.74,729.4,249.51,0.0,21-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Sep-2020 - 00:00,37.01,84.59,22.73,14.55,3.04,18.06,9.11,0.8,20.35,30.38,0.53,169.56,71.73,728.31,255.61,0.0,22-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Sep-2020 - 00:00,7.88,30.61,8.0,4.97,0.87,14.91,12.51,0.48,28.41,30.04,0.63,135.19,68.5,728.93,259.57,0.0,23-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Sep-2020 - 00:00,6.51,23.72,9.14,5.66,0.98,11.88,10.97,0.53,20.32,28.02,0.54,138.54,79.99,729.28,231.47,0.0,24-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Sep-2020 - 00:00,15.07,40.04,9.88,6.04,0.96,12.99,21.35,0.54,26.69,28.63,0.87,203.29,75.39,731.58,239.65,0.0,25-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Sep-2020 - 00:00,25.89,71.01,24.36,18.4,6.7,12.55,20.08,0.86,27.82,28.83,0.56,188.34,68.96,731.75,255.53,0.0,26-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Sep-2020 - 00:00,26.21,85.32,14.67,9.03,1.52,14.29,9.26,0.58,43.52,29.33,1.02,228.26,59.69,731.42,254.71,0.0,27-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Sep-2020 - 00:00,16.85,45.94,12.04,7.17,0.94,13.09,24.28,0.48,44.38,28.59,1.01,239.5,64.91,734.16,250.59,0.0,28-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Sep-2020 - 00:00,32.52,97.23,25.18,17.94,5.6,14.18,23.22,0.78,38.14,29.18,0.72,234.56,59.52,735.12,257.39,0.0,29-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Sep-2020 - 00:00,53.24,151.07,30.69,26.58,12.61,17.08,26.58,0.99,34.09,27.85,0.62,222.95,60.88,734.98,259.35,0.0,30-Sep-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Sep-2020 - 00:00,50.59,145.56,30.17,21.22,6.37,17.24,27.6,0.87,34.6,28.03,0.62,228.72,58.06,733.92,256.24,0.0,01-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Oct-2020 - 00:00,54.08,152.03,34.36,26.92,10.62,17.32,27.48,1.0,35.56,27.39,0.74,235.62,58.94,733.38,258.61,0.0,02-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Oct-2020 - 00:00,53.46,152.25,34.12,25.63,9.21,17.28,28.36,0.95,36.99,27.19,0.59,241.44,56.01,733.81,258.89,0.0,03-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Oct-2020 - 00:00,62.67,165.51,37.35,31.42,14.53,17.79,31.88,1.11,40.48,26.48,0.53,172.77,54.35,734.72,257.47,0.0,04-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Oct-2020 - 00:00,76.22,172.39,40.22,32.5,13.65,18.18,25.46,1.17,43.4,25.53,0.59,212.31,57.03,735.5,256.07,0.0,05-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Oct-2020 - 00:00,80.7,178.57,38.78,34.18,16.66,19.69,21.44,1.27,43.69,24.95,0.6,220.48,57.8,735.33,260.79,0.0,06-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Oct-2020 - 00:00,106.83,216.21,39.62,32.11,13.57,32.59,17.59,1.32,35.38,25.51,0.61,222.9,56.88,735.8,260.98,0.0,07-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Oct-2020 - 00:00,78.78,183.91,42.84,36.39,16.75,22.31,25.32,1.12,37.34,25.82,0.63,194.28,55.34,737.22,257.97,0.0,08-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Oct-2020 - 00:00,87.01,187.31,44.96,39.52,19.19,21.63,29.28,1.4,42.48,25.44,0.57,196.29,56.99,737.77,268.43,0.0,09-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Oct-2020 - 00:00,89.67,191.52,47.15,38.23,16.17,20.15,47.34,1.41,41.82,24.99,0.52,202.21,58.04,737.72,258.15,0.0,10-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Oct-2020 - 00:00,99.17,200.35,47.39,34.88,11.91,22.24,50.38,1.25,46.85,25.63,0.48,205.46,57.56,736.49,253.28,0.0,11-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Oct-2020 - 00:00,100.71,195.74,45.2,29.85,7.13,23.61,29.18,1.26,46.72,25.27,0.47,225.56,62.31,734.55,241.53,0.0,12-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Oct-2020 - 00:00,96.02,194.88,50.44,35.04,10.12,25.8,27.48,1.29,46.44,26.04,0.39,151.0,60.83,732.94,252.94,0.0,13-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Oct-2020 - 00:00,68.95,142.35,29.74,20.26,5.45,26.97,19.23,0.85,46.2,27.17,0.45,148.05,66.42,733.39,229.19,0.0,14-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Oct-2020 - 00:00,56.04,122.08,22.86,12.93,0.95,22.92,13.35,0.8,52.94,27.94,0.41,148.18,66.15,734.95,222.8,0.0,15-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Oct-2020 - 00:00,64.07,131.2,25.36,14.36,1.07,24.0,13.59,0.78,47.19,27.8,0.43,161.89,67.39,735.62,240.95,0.0,16-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Oct-2020 - 00:00,80.45,154.54,23.37,13.17,0.91,21.65,13.35,0.79,60.68,28.24,0.4,153.89,55.49,735.57,236.09,0.0,17-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Oct-2020 - 00:00,90.57,180.36,41.15,24.73,3.49,21.02,15.61,1.1,43.09,26.75,0.38,123.36,61.22,736.38,237.85,0.0,18-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Oct-2020 - 00:00,93.96,208.84,40.38,24.59,3.83,22.49,17.74,1.13,53.5,26.72,0.38,152.09,60.18,736.6,241.14,0.0,19-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Oct-2020 - 00:00,121.9,261.25,60.86,46.32,17.16,21.95,32.71,2.0,34.14,25.5,0.4,198.04,57.04,736.65,201.0,0.0,20-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Oct-2020 - 00:00,79.0,199.05,49.48,38.75,15.28,19.99,23.71,1.21,40.96,24.78,0.4,183.78,50.53,736.57,244.64,0.0,21-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Oct-2020 - 00:00,100.81,224.53,53.18,51.5,28.54,17.44,57.83,1.45,37.3,23.4,0.37,172.49,53.68,737.21,250.24,0.0,22-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Oct-2020 - 00:00,81.27,203.84,53.18,46.05,21.85,21.72,36.6,1.24,39.25,23.97,0.33,197.68,53.28,735.71,206.41,0.0,23-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Oct-2020 - 00:00,94.35,214.51,59.26,52.71,26.06,27.18,31.79,1.58,41.82,23.72,0.37,198.31,59.95,735.43,237.21,0.0,24-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Oct-2020 - 00:00,90.85,204.66,53.32,54.6,32.27,25.49,20.71,1.49,36.54,24.49,0.46,168.14,58.0,736.33,243.03,0.0,25-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Oct-2020 - 00:00,90.58,202.58,52.46,47.1,23.61,24.25,15.78,1.38,40.57,23.99,0.37,186.5,54.32,738.94,240.3,0.0,26-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Oct-2020 - 00:00,93.74,214.43,50.45,43.9,20.99,23.77,19.08,1.36,41.81,23.63,0.38,192.02,52.22,740.37,213.03,0.0,27-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Oct-2020 - 00:00,116.98,237.27,54.44,50.17,27.26,26.32,20.8,1.07,41.1,22.25,0.39,175.85,55.71,740.29,242.9,0.0,28-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Oct-2020 - 00:00,141.99,264.3,55.83,49.76,24.69,26.38,30.11,1.79,40.86,21.16,0.35,133.69,58.0,740.98,239.2,0.0,29-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Oct-2020 - 00:00,119.94,251.21,58.27,55.09,29.64,25.26,32.07,1.55,45.13,21.43,0.35,165.92,56.76,741.64,238.7,0.0,30-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Oct-2020 - 00:00,138.28,263.04,66.9,58.5,28.19,29.1,24.34,1.66,36.83,19.35,0.4,190.51,60.91,741.35,164.8,0.0,31-Oct-2020 - 00:00,"City Center, Gwalior - MPPCB"
31-Oct-2020 - 00:00,209.97,338.55,59.43,48.06,20.23,31.5,36.58,1.69,38.5,19.85,0.55,202.05,56.31,741.82,239.29,0.0,01-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Nov-2020 - 00:00,171.67,285.58,51.74,46.19,22.95,26.69,28.15,1.57,38.27,19.33,0.51,204.29,52.84,742.58,239.25,0.0,02-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
02-Nov-2020 - 00:00,81.54,189.1,47.14,43.55,22.73,18.6,34.23,1.14,31.43,19.34,0.61,199.55,47.3,743.3,253.47,0.0,03-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
03-Nov-2020 - 00:00,60.78,157.7,40.82,29.52,9.61,17.09,42.36,0.96,32.15,19.92,0.72,222.85,41.57,742.74,252.3,0.0,04-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
04-Nov-2020 - 00:00,99.29,184.74,42.42,27.26,5.78,20.04,39.68,1.08,41.76,19.77,0.81,243.71,44.93,741.23,251.58,0.0,05-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
05-Nov-2020 - 00:00,150.36,252.09,51.49,53.74,32.41,25.48,52.26,1.61,40.85,19.62,0.43,196.25,54.05,742.53,240.99,0.0,06-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
06-Nov-2020 - 00:00,159.81,270.65,59.66,59.09,33.64,29.16,48.01,1.64,39.06,19.56,0.36,169.27,57.61,745.09,236.34,0.0,07-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
07-Nov-2020 - 00:00,178.03,309.6,65.59,62.53,33.98,31.11,41.96,1.56,42.19,19.36,0.36,158.48,58.54,746.04,231.97,0.0,08-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
08-Nov-2020 - 00:00,269.74,406.17,65.1,54.89,24.92,41.06,38.44,1.81,47.61,19.06,0.34,199.02,62.72,746.38,226.74,0.0,09-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
09-Nov-2020 - 00:00,291.61,413.04,75.09,61.86,26.96,44.99,31.91,1.81,41.74,17.67,0.38,205.62,66.1,744.71,221.32,0.0,10-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
10-Nov-2020 - 00:00,262.04,353.02,59.35,44.36,15.73,43.08,36.27,1.87,44.48,17.46,0.35,166.04,67.01,743.25,218.51,0.0,11-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
11-Nov-2020 - 00:00,216.96,323.69,61.12,64.74,39.65,40.22,26.82,1.76,38.01,17.64,0.36,152.46,69.98,744.88,224.04,0.0,12-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
12-Nov-2020 - 00:00,164.5,258.84,60.65,61.78,36.31,33.84,25.14,1.81,40.11,18.89,0.39,196.5,68.32,746.15,231.39,0.0,13-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
13-Nov-2020 - 00:00,149.16,238.91,56.78,57.15,33.86,34.18,20.82,1.5,39.13,19.7,0.37,186.77,69.84,745.18,227.44,0.0,14-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
14-Nov-2020 - 00:00,155.86,208.83,44.64,30.33,8.1,29.71,25.35,1.06,48.63,20.13,0.39,174.29,66.86,743.03,225.75,0.0,15-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
15-Nov-2020 - 00:00,115.42,155.64,21.45,13.3,2.33,30.4,25.05,0.92,59.28,19.86,0.58,162.31,77.77,742.14,152.17,0.71,16-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
16-Nov-2020 - 00:00,60.46,80.66,19.68,12.79,2.85,19.84,30.42,0.88,53.64,19.43,0.63,146.79,87.85,743.77,198.41,0.04,17-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
17-Nov-2020 - 00:00,83.26,115.58,26.5,22.5,10.33,22.52,24.86,0.99,32.81,18.06,0.51,184.72,88.56,742.65,213.27,0.0,18-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
18-Nov-2020 - 00:00,81.11,119.12,33.82,30.86,15.84,23.83,25.84,1.56,35.21,18.36,0.42,127.77,84.48,741.17,228.89,0.0,19-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
19-Nov-2020 - 00:00,115.61,161.35,44.95,47.11,28.52,29.07,29.58,2.14,38.28,18.25,0.41,158.2,82.39,741.22,223.46,0.04,20-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
20-Nov-2020 - 00:00,135.89,184.72,53.59,39.94,14.37,30.07,27.21,1.33,46.72,16.18,0.58,218.85,74.52,743.27,244.69,0.0,21-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
21-Nov-2020 - 00:00,91.39,128.36,43.49,35.81,15.6,20.54,28.77,0.89,57.36,15.31,0.69,230.96,65.12,744.22,247.65,0.0,22-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
22-Nov-2020 - 00:00,106.92,150.48,46.84,42.81,22.02,21.28,22.9,1.11,53.22,14.32,0.52,222.81,69.76,744.88,238.41,0.0,23-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
23-Nov-2020 - 00:00,106.86,151.1,53.29,49.66,26.22,21.42,23.52,1.33,46.54,14.56,0.41,173.18,70.68,744.77,241.19,0.0,24-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
24-Nov-2020 - 00:00,111.93,154.25,53.04,40.74,16.09,23.06,26.69,1.12,53.24,14.92,0.39,159.06,70.3,744.18,238.99,0.0,25-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
25-Nov-2020 - 00:00,136.9,177.49,42.54,26.65,4.96,26.13,26.65,0.88,72.35,16.3,0.44,145.34,68.77,743.91,234.3,0.0,26-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
26-Nov-2020 - 00:00,183.36,227.2,45.35,25.87,2.16,36.16,27.57,1.08,53.5,16.31,0.59,215.59,73.79,745.91,194.18,0.0,27-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
27-Nov-2020 - 00:00,86.5,127.38,48.5,43.04,21.2,24.4,25.87,1.3,42.33,16.66,0.73,248.36,73.61,748.16,241.18,0.0,28-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
28-Nov-2020 - 00:00,83.81,131.51,51.29,51.7,30.05,21.18,22.35,1.33,45.17,15.67,0.66,216.61,71.16,747.52,237.15,0.0,29-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
29-Nov-2020 - 00:00,112.31,161.29,51.32,50.93,29.07,22.24,29.72,1.22,48.04,15.02,0.44,182.4,73.16,746.18,233.54,0.0,30-Nov-2020 - 00:00,"City Center, Gwalior - MPPCB"
30-Nov-2020 - 00:00,121.65,178.56,53.44,49.34,25.72,23.58,31.38,1.33,49.51,15.25,0.42,167.71,71.83,745.04,232.75,0.0,01-Dec-2020 - 00:00,"City Center, Gwalior - MPPCB"
01-Dec-2020 - 00:00,193.0,252.0,56.9,52.6,27.5,24.25,27.85,1.14,9.85,10.4,0.3,187.0,91.0,745.0,11.5,0.0,02-Dec-2020 - 00:00,"City Center, Gwalior - MPPCB"
