from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
24-Mar-2020 - 00:00,30.27,0.37,24.72,29.64,27.09,32.44,6.35,4.33,23.67,58.77,2.32,14.07,0.26,26.16,51.89,2.44,183.54,228.93,709.41,0.0,0.0,25-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
25-Mar-2020 - 00:00,30.48,0.38,24.86,29.14,26.9,32.04,6.05,3.61,26.49,57.15,1.88,10.62,0.69,26.25,49.12,2.55,188.5,227.23,709.31,0.0,0.0,26-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
26-Mar-2020 - 00:00,30.19,0.36,24.41,29.11,28.01,32.6,5.51,2.74,26.93,64.54,2.44,31.68,0.48,25.98,48.27,2.56,166.09,248.71,710.36,0.0,0.0,27-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
27-Mar-2020 - 00:00,31.08,0.44,29.22,28.08,27.47,31.63,6.76,4.16,,62.2,1.69,5.2,0.12,27.02,44.36,2.82,226.48,281.95,711.05,0.0,0.0,28-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
28-Mar-2020 - 00:00,30.27,0.46,30.44,5.96,19.3,13.55,0.52,6.5,34.95,71.05,2.23,8.49,0.28,27.86,41.03,2.13,132.38,25.0,709.9,0.0,0.0,29-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
29-Mar-2020 - 00:00,30.33,0.45,33.49,5.65,19.35,13.49,0.64,3.61,39.71,73.75,2.45,11.1,0.17,27.39,42.93,2.16,195.52,226.73,709.86,0.0,0.0,30-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
30-Mar-2020 - 00:00,30.42,0.4,31.21,5.88,19.35,13.5,0.84,5.06,30.03,64.4,2.23,16.46,0.25,26.8,44.96,2.55,148.82,250.15,710.83,0.0,0.0,31-Mar-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
31-Mar-2020 - 00:00,30.54,0.48,34.09,6.38,18.34,12.85,1.33,3.91,40.65,78.38,5.43,20.18,1.0,26.96,46.53,2.19,184.19,244.69,711.36,0.23,0.0,01-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
01-Apr-2020 - 00:00,32.58,1.37,25.24,6.16,21.81,15.32,1.69,2.75,47.11,77.79,6.76,33.62,1.04,27.82,45.99,0.72,190.72,202.8,710.08,0.02,0.0,02-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
02-Apr-2020 - 00:00,30.39,0.6,28.07,5.62,19.61,13.72,1.49,4.44,48.28,78.5,3.1,12.34,0.61,27.84,45.05,1.06,230.93,215.21,708.97,0.0,0.0,03-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Apr-2020 - 00:00,30.56,0.55,25.29,5.72,18.35,13.1,1.59,3.24,43.22,74.19,3.78,26.26,1.31,26.99,48.33,1.99,144.56,169.62,709.66,0.0,0.0,04-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Apr-2020 - 00:00,30.67,0.54,20.27,5.0,14.17,10.57,4.79,4.25,41.08,74.14,4.78,20.82,0.99,25.26,47.89,1.92,188.46,81.75,710.54,0.0,0.0,05-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Apr-2020 - 00:00,30.35,0.5,24.55,13.3,7.36,12.02,7.65,6.29,31.81,60.83,2.31,12.17,0.34,26.73,49.44,2.2,207.22,237.14,710.56,0.0,0.0,06-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Apr-2020 - 00:00,30.15,1.38,24.47,13.27,7.03,11.83,7.98,4.58,31.93,59.54,2.52,21.93,0.51,25.72,53.39,2.65,269.77,157.78,710.73,0.01,0.0,07-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Apr-2020 - 00:00,30.31,2.22,33.84,79.34,24.02,60.29,31.58,7.09,22.12,37.3,2.11,10.61,0.41,25.93,52.44,2.86,251.28,216.5,709.58,0.44,0.0,08-Apr-2020 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
