from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
13-Mar-2020 - 00:00,53.36,137.68,33.39,4.57,21.47,36.41,10.77,0.51,18.0,,,1.95,157.83,22.4,50.09,743.0,14-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
14-Mar-2020 - 00:00,37.46,70.27,28.67,3.54,18.05,59.94,9.24,2.28,12.55,,,2.17,105.09,19.02,77.43,743.0,15-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
15-Mar-2020 - 00:00,52.74,99.48,34.15,6.2,23.21,47.73,10.15,0.22,24.4,,,1.66,120.07,19.42,66.5,743.0,16-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
16-Mar-2020 - 00:00,54.7,127.04,44.6,8.34,30.51,40.62,10.42,0.45,22.83,,,1.77,145.28,21.69,59.08,743.0,17-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
17-Mar-2020 - 00:00,59.79,138.16,47.9,8.7,32.56,42.61,10.05,0.64,20.95,,,1.82,142.1,22.93,55.49,743.0,18-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
18-Mar-2020 - 00:00,62.61,138.95,46.2,4.14,27.95,46.98,8.7,0.63,37.62,,,1.95,124.82,24.54,51.11,743.0,19-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
19-Mar-2020 - 00:00,94.7,194.28,50.34,11.22,35.9,50.55,12.54,0.51,29.69,,,1.83,133.05,24.89,58.58,743.0,20-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
20-Mar-2020 - 00:00,100.92,209.28,46.88,10.77,33.68,49.87,10.55,0.62,22.74,,,1.58,120.59,25.65,56.7,743.0,21-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
21-Mar-2020 - 00:00,81.84,180.72,45.12,14.23,35.57,46.23,10.13,0.41,25.24,,,1.72,154.09,25.84,51.06,743.0,22-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
22-Mar-2020 - 00:00,65.5,108.67,25.86,1.89,15.29,43.9,10.75,0.49,31.17,,,1.89,113.59,25.68,49.98,743.0,23-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
23-Mar-2020 - 00:00,57.67,107.9,28.09,2.56,17.02,40.13,11.02,0.67,29.7,,,1.61,124.17,26.41,47.15,743.0,24-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
24-Mar-2020 - 00:00,65.67,133.33,23.89,2.16,14.32,41.1,11.13,1.25,20.6,,,2.08,160.04,25.64,52.22,743.0,25-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
25-Mar-2020 - 00:00,32.15,63.3,21.29,2.19,13.11,40.82,11.03,0.19,21.81,,,1.91,133.98,26.63,52.8,743.0,26-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
26-Mar-2020 - 00:00,34.79,67.32,18.7,1.86,11.46,40.2,7.51,0.23,15.45,,,2.19,148.06,26.13,54.97,743.0,27-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
27-Mar-2020 - 00:00,22.25,39.24,17.01,1.95,10.65,39.64,8.77,0.18,12.5,,,2.45,132.29,23.16,67.15,743.0,28-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
28-Mar-2020 - 00:00,18.74,32.08,16.6,1.88,10.35,39.4,7.46,0.25,15.34,,,2.45,116.86,23.37,65.31,743.0,29-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
29-Mar-2020 - 00:00,18.1,44.52,15.55,1.18,9.23,34.07,8.5,0.19,24.55,,,2.69,139.14,25.29,49.85,743.0,30-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
30-Mar-2020 - 00:00,,49.31,15.68,0.98,9.15,31.94,9.24,0.21,30.49,,,2.29,129.64,25.34,46.46,743.0,31-Mar-2020 - 00:00,"Sector-116, Noida - UPPCB"
31-Mar-2020 - 00:00,,58.46,16.27,0.94,9.42,30.88,9.44,0.25,31.92,,,2.71,124.27,26.28,44.93,743.0,01-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
01-Apr-2020 - 00:00,,59.75,16.43,1.25,9.76,37.27,10.38,0.38,30.21,,,2.14,140.48,27.08,46.3,743.0,02-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
02-Apr-2020 - 00:00,,52.07,14.59,1.01,8.58,30.07,9.94,0.28,30.52,,,2.74,128.25,26.42,43.85,743.0,03-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
03-Apr-2020 - 00:00,,47.73,17.22,0.65,9.68,23.43,10.55,0.15,44.89,,,2.28,141.29,25.81,34.41,743.0,04-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
04-Apr-2020 - 00:00,,61.42,21.08,1.06,12.08,25.14,9.81,0.41,47.54,,,1.92,133.6,27.02,35.34,743.0,05-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
05-Apr-2020 - 00:00,,93.62,21.17,1.17,12.22,30.48,11.79,0.49,46.18,,,2.06,97.69,27.73,39.83,743.0,06-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
06-Apr-2020 - 00:00,,101.14,19.69,1.1,11.37,28.44,11.78,0.43,45.47,,,2.13,125.43,30.01,34.74,743.05,07-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
07-Apr-2020 - 00:00,,97.75,16.38,0.9,9.44,28.43,12.06,0.28,40.25,,,3.53,114.5,28.25,39.05,743.0,08-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
08-Apr-2020 - 00:00,,76.77,17.28,0.69,9.76,24.99,10.88,0.27,46.01,,,2.58,120.67,28.04,33.77,743.0,09-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
09-Apr-2020 - 00:00,,63.98,17.74,0.79,10.07,25.35,10.69,0.34,48.77,,,1.95,144.15,27.86,35.15,743.0,10-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
10-Apr-2020 - 00:00,,95.18,23.86,1.33,13.78,26.51,10.49,0.47,39.16,,,1.31,145.43,30.04,31.92,743.12,11-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
11-Apr-2020 - 00:00,,131.88,20.0,1.37,11.75,31.14,11.06,1.12,37.7,,,1.56,114.95,31.56,32.78,743.17,12-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
12-Apr-2020 - 00:00,,81.38,18.66,0.98,10.72,27.97,11.55,0.34,38.67,,,1.91,154.98,31.06,33.26,743.08,13-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
13-Apr-2020 - 00:00,,117.38,24.72,1.66,14.5,30.19,12.27,,34.02,,,1.52,163.44,32.67,31.98,743.16,14-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
14-Apr-2020 - 00:00,,149.04,23.51,1.43,13.67,32.52,10.43,,33.75,,,1.21,149.49,33.66,31.73,743.22,15-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
15-Apr-2020 - 00:00,,214.64,23.36,2.92,14.8,31.37,10.69,,28.9,,,1.38,162.85,33.2,29.77,743.26,16-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
16-Apr-2020 - 00:00,94.07,237.53,25.38,1.43,14.66,34.36,12.09,,36.16,,,1.77,148.43,33.5,27.62,743.23,17-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
17-Apr-2020 - 00:00,37.0,93.81,14.9,0.72,8.5,31.17,12.27,,40.83,,,2.74,123.55,31.91,30.45,743.16,18-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
18-Apr-2020 - 00:00,43.11,130.06,13.7,0.95,8.06,36.77,9.89,3.07,34.03,,,2.97,96.37,29.58,41.11,743.09,19-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
19-Apr-2020 - 00:00,46.0,,19.89,1.8,12.05,45.71,7.72,1.22,26.54,,,1.21,126.27,28.94,42.62,743.06,20-Apr-2020 - 00:00,"Sector-116, Noida - UPPCB"
