from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
18-Nov-2020 - 00:00,1.65,1.48,0.02,730.64,0.91,89.75,46.22,0.0,48.86,150.85,149.02,1.58,0.51,23.1,13.48,17.84,29.96,43.94,8.11,19-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Nov-2020 - 00:00,1.27,1.54,0.1,730.7,0.77,105.66,52.31,0.0,41.96,139.04,153.33,1.08,0.51,23.36,13.77,18.05,30.39,48.02,9.89,20-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Nov-2020 - 00:00,1.3,1.75,0.33,730.76,1.0,112.1,52.62,0.0,34.8,137.19,92.8,1.0,0.56,24.65,14.64,17.5,30.81,42.83,11.08,21-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Nov-2020 - 00:00,1.19,1.58,0.63,731.05,0.88,111.08,53.24,0.0,29.23,136.86,59.93,1.49,0.48,22.71,14.0,17.99,30.66,44.68,9.03,22-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Nov-2020 - 00:00,1.29,2.7,0.72,731.17,1.27,109.61,53.14,0.0,30.31,141.3,91.12,1.15,0.64,24.4,14.34,17.61,30.65,43.33,9.82,23-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Nov-2020 - 00:00,1.91,4.52,1.56,731.54,2.96,141.02,67.19,0.0,33.79,128.72,179.88,1.0,0.8,24.06,14.46,17.27,30.45,44.14,13.24,24-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Nov-2020 - 00:00,2.23,3.43,1.43,729.28,1.58,139.94,60.25,0.0,39.15,132.12,163.3,0.99,0.73,23.54,13.99,17.33,30.07,44.12,13.01,25-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Nov-2020 - 00:00,2.08,2.38,0.54,731.06,1.15,107.06,68.13,0.0,40.1,125.85,197.28,1.24,0.73,25.57,15.17,17.8,32.0,45.24,20.03,26-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Nov-2020 - 00:00,2.74,3.31,0.19,730.32,1.23,144.43,78.16,0.0,52.58,132.71,95.26,1.8,0.65,22.62,12.31,18.57,29.32,52.96,9.01,27-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Nov-2020 - 00:00,1.32,1.32,0.16,730.57,0.74,92.28,46.04,0.0,45.8,130.06,31.33,2.06,0.46,23.42,13.74,17.88,30.13,43.23,9.28,28-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Nov-2020 - 00:00,1.34,1.82,0.49,730.9,0.81,99.06,49.62,0.0,40.33,133.83,38.53,1.67,0.51,23.76,13.93,18.36,30.84,48.76,10.06,29-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Nov-2020 - 00:00,1.57,2.23,0.97,731.02,1.11,112.05,52.46,0.0,40.5,137.21,71.73,1.09,0.66,23.78,14.23,17.76,30.76,45.55,13.33,30-Nov-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Nov-2020 - 00:00,1.96,4.4,1.98,730.92,2.5,147.23,61.56,0.0,40.18,130.43,155.36,0.82,0.85,25.18,14.92,17.93,31.72,34.64,14.22,01-Dec-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Dec-2020 - 00:00,2.08,2.5,0.73,730.95,1.27,186.38,59.73,0.0,43.33,57.91,113.34,1.14,0.9,23.76,19.05,12.93,31.56,11.43,8.7,02-Dec-2020 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
