from date,PM10,PM2.5,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
02-Jun-2020 - 00:00,84.84,29.52,2.73,9.69,2.01,,43.65,0.48,0.0,1.07,0.01,03-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
03-Jun-2020 - 00:00,104.77,34.75,2.73,9.67,2.02,,45.67,0.4,0.0,0.5,0.05,04-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
04-Jun-2020 - 00:00,129.31,40.52,2.72,9.67,2.16,,35.48,0.5,0.01,1.16,0.13,05-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
05-Jun-2020 - 00:00,71.86,31.96,2.73,9.65,2.09,,37.7,0.39,0.0,1.14,0.06,06-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
06-Jun-2020 - 00:00,63.47,25.36,2.74,9.68,2.03,,41.89,0.44,0.15,0.51,0.09,07-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
07-Jun-2020 - 00:00,80.09,28.71,2.8,9.67,2.07,,33.43,0.37,0.04,0.98,0.27,08-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
08-Jun-2020 - 00:00,102.27,36.25,2.78,9.79,2.08,0.02,29.66,0.31,0.05,0.21,0.02,09-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
09-Jun-2020 - 00:00,150.74,72.29,9.54,12.84,2.08,,24.23,0.98,0.06,0.08,0.02,10-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
10-Jun-2020 - 00:00,143.09,53.13,7.22,14.16,2.09,,29.39,1.7,0.01,0.17,0.0,11-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
11-Jun-2020 - 00:00,130.06,56.32,8.8,15.45,1.89,,29.73,2.08,0.02,0.03,0.03,12-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
12-Jun-2020 - 00:00,142.77,70.19,10.13,15.89,1.95,,44.31,2.57,0.01,0.06,0.0,13-Jun-2020 - 00:00,"Pusa, Delhi - IMD"
