from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
15-Mar-2020 - 00:00,57.37,188.79,12.69,24.22,11.54,18.68,71.28,1.12,46.65,12.01,119.94,2.0,1.26,1.0,42.28,112.06,2.76,106.95,0.0,16-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Mar-2020 - 00:00,53.21,139.91,12.09,26.12,14.12,26.09,58.45,1.12,48.67,11.99,120.1,2.0,1.26,1.0,42.71,119.97,2.42,103.98,0.0,17-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Mar-2020 - 00:00,67.7,163.66,11.85,33.46,25.26,35.64,61.2,1.44,38.98,11.98,120.1,2.0,1.26,1.0,46.24,112.59,2.25,178.17,0.05,18-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Mar-2020 - 00:00,90.27,162.2,15.37,28.87,13.9,31.95,30.59,1.45,63.96,11.99,120.03,2.0,1.26,1.0,54.41,124.36,2.64,242.17,0.0,19-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
19-Mar-2020 - 00:00,78.04,138.68,12.08,20.55,8.51,33.22,21.62,1.31,76.51,12.01,120.18,2.0,1.26,1.0,64.84,220.33,3.11,222.18,0.0,20-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Mar-2020 - 00:00,38.8,82.78,8.71,18.15,9.44,31.58,16.79,1.06,36.28,11.97,119.79,2.0,1.25,1.0,66.93,150.98,3.07,245.27,0.0,21-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
21-Mar-2020 - 00:00,42.58,86.46,8.46,17.47,9.01,31.54,16.27,1.09,38.8,12.0,119.55,2.0,1.26,1.0,73.97,133.22,2.79,242.28,0.0,22-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Mar-2020 - 00:00,36.61,75.33,5.92,15.89,10.65,31.61,12.35,1.1,36.29,12.02,119.98,2.0,1.26,1.0,71.12,115.55,2.28,250.98,0.0,23-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Mar-2020 - 00:00,49.97,112.12,9.96,21.08,11.17,33.11,19.13,1.17,38.18,11.98,120.23,2.0,1.25,1.0,62.22,125.21,2.2,223.9,0.0,24-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
24-Mar-2020 - 00:00,45.78,109.12,9.88,20.67,10.8,32.1,32.5,1.05,43.43,11.95,119.85,2.0,1.26,1.0,54.18,120.73,1.35,92.5,0.0,25-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
25-Mar-2020 - 00:00,48.17,107.67,7.5,15.57,8.17,32.92,21.9,0.93,50.9,12.0,119.91,2.0,1.26,1.0,51.39,95.57,1.94,122.14,0.0,26-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
26-Mar-2020 - 00:00,40.68,64.22,4.11,12.29,8.2,33.43,10.12,1.02,58.73,12.0,120.4,2.0,1.26,1.0,61.79,91.66,2.95,241.7,0.0,27-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
27-Mar-2020 - 00:00,28.54,49.38,4.74,13.32,8.63,31.81,15.23,0.39,56.89,12.01,120.22,2.0,1.26,1.0,69.23,94.21,1.37,103.34,0.04,28-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
28-Mar-2020 - 00:00,33.42,51.17,5.12,13.46,8.39,27.83,10.0,0.82,54.86,12.01,120.15,2.0,1.26,1.0,59.76,168.34,2.02,108.18,0.0,29-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
29-Mar-2020 - 00:00,35.61,66.77,5.82,13.99,8.2,26.92,11.62,0.83,59.78,12.0,120.15,2.0,1.26,1.0,47.14,130.27,1.63,150.05,0.0,30-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
30-Mar-2020 - 00:00,45.31,74.84,6.73,14.94,8.23,31.06,10.11,0.98,62.24,11.99,119.94,2.0,1.26,1.0,49.33,128.68,2.37,225.88,0.0,31-Mar-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
31-Mar-2020 - 00:00,37.74,62.6,3.69,11.79,8.13,29.37,6.48,0.94,61.65,11.99,120.08,2.0,1.26,1.0,62.47,153.39,2.96,239.07,0.0,01-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
01-Apr-2020 - 00:00,34.51,106.16,4.9,13.17,8.31,28.31,8.57,0.91,38.24,11.97,119.98,2.0,1.26,1.0,64.16,124.93,2.11,196.59,0.0,02-Apr-2020 - 00:00,"GIDC, Ankleshwar - GPCB"
