from date,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,MP-Xylene,to date,station
01-Sep-2020 - 00:00,207.89,65.16,77.53,9.67,5.9,10.14,35.03,31.18,0.35,0.5,0.0,86.96,19.53,7.54,10.34,1.15,1.47,02-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
02-Sep-2020 - 00:00,176.31,68.16,93.06,9.46,4.31,8.62,65.66,31.15,0.26,0.52,0.0,117.64,27.54,5.42,9.47,1.13,0.04,03-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
03-Sep-2020 - 00:00,140.12,64.14,72.87,13.5,11.71,12.31,58.56,32.25,0.55,0.55,0.0,118.27,42.63,8.56,8.52,1.08,0.0,04-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
04-Sep-2020 - 00:00,152.08,70.13,76.18,16.28,32.66,30.04,52.34,31.4,0.55,0.43,0.01,135.94,55.82,35.5,8.71,,,05-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
05-Sep-2020 - 00:00,184.67,75.85,67.01,18.02,30.35,30.56,75.15,30.34,0.59,0.5,0.12,133.12,60.52,34.95,8.18,,,06-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
06-Sep-2020 - 00:00,127.83,75.05,80.96,13.42,24.97,24.02,64.02,30.42,0.38,0.4,0.0,78.4,31.68,27.54,9.39,,,07-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
07-Sep-2020 - 00:00,180.98,74.43,82.01,17.63,30.54,30.33,61.58,30.62,0.45,0.48,0.12,106.23,46.72,33.86,6.64,,,08-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
08-Sep-2020 - 00:00,182.69,70.83,88.66,14.81,26.0,25.67,53.26,31.07,0.37,0.39,0.0,127.36,41.68,32.59,6.09,0.33,1.16,09-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
09-Sep-2020 - 00:00,139.67,72.35,82.47,22.02,26.6,31.64,57.71,31.28,0.57,0.43,0.0,204.66,67.56,37.19,5.13,0.14,1.13,10-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
10-Sep-2020 - 00:00,168.23,69.28,81.79,13.96,31.04,27.68,61.0,31.57,0.55,0.38,0.0,189.84,63.67,33.11,6.02,0.22,1.06,11-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
11-Sep-2020 - 00:00,138.44,66.53,85.18,18.37,31.59,31.49,62.63,31.57,0.62,0.52,0.0,177.38,66.18,35.71,6.48,0.1,1.18,12-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
12-Sep-2020 - 00:00,90.06,66.72,84.9,22.03,30.39,33.77,66.47,31.61,0.59,0.54,0.0,197.15,75.83,38.4,6.43,0.14,1.05,13-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
13-Sep-2020 - 00:00,105.67,70.05,81.02,13.79,25.96,24.81,77.95,31.43,0.58,0.55,0.0,186.62,77.31,30.34,6.25,0.13,0.99,14-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
14-Sep-2020 - 00:00,87.53,69.37,74.56,14.23,26.22,25.33,48.21,31.57,0.61,0.49,0.0,204.57,78.59,27.94,6.94,7.25,0.89,15-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
15-Sep-2020 - 00:00,128.9,68.91,71.01,14.44,28.2,26.5,58.5,31.61,0.65,0.49,0.0,225.31,77.56,29.72,6.21,7.05,0.74,16-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
16-Sep-2020 - 00:00,165.02,66.95,78.21,13.39,34.68,29.15,54.86,32.21,0.63,0.4,0.0,230.32,75.04,34.64,6.31,3.38,2.69,17-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
17-Sep-2020 - 00:00,168.14,64.94,81.35,14.33,26.51,25.56,55.13,32.18,0.49,0.32,0.0,200.84,61.43,31.91,6.34,1.93,4.09,18-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
18-Sep-2020 - 00:00,156.6,63.62,81.65,11.64,26.38,23.35,58.04,32.75,0.38,0.35,0.0,170.1,49.99,27.28,6.0,1.7,6.51,19-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
19-Sep-2020 - 00:00,135.39,66.34,74.43,14.24,26.45,25.4,63.91,31.97,0.55,0.38,0.0,185.25,66.72,28.6,5.85,1.72,7.5,20-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
20-Sep-2020 - 00:00,108.06,67.2,76.55,15.38,26.26,26.23,58.37,31.59,0.62,0.44,0.0,208.1,79.38,30.2,5.69,2.6,7.53,21-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
21-Sep-2020 - 00:00,100.43,66.65,77.38,11.35,26.59,23.23,68.32,31.75,0.52,0.44,0.0,175.89,66.11,27.95,5.53,1.69,4.3,22-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
22-Sep-2020 - 00:00,130.43,66.5,69.05,14.84,28.42,26.98,66.47,31.64,0.63,0.49,0.0,120.83,47.83,31.02,5.81,2.35,3.81,23-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
23-Sep-2020 - 00:00,133.26,66.25,65.9,14.76,26.21,25.75,57.53,31.13,0.43,0.64,0.0,101.8,35.31,27.44,5.63,2.11,3.92,24-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
24-Sep-2020 - 00:00,125.36,66.34,77.3,12.27,32.4,27.05,68.87,30.98,0.44,0.48,0.0,114.23,44.12,19.1,6.17,1.98,3.25,25-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
25-Sep-2020 - 00:00,189.16,62.65,74.36,13.49,33.42,28.57,62.74,31.26,0.64,0.47,0.0,183.68,67.97,15.63,5.34,2.73,3.94,26-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
26-Sep-2020 - 00:00,177.94,67.33,58.49,27.47,29.38,37.51,47.77,29.12,0.92,0.41,0.0,261.45,87.92,23.69,3.92,4.07,5.77,27-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
27-Sep-2020 - 00:00,161.99,61.34,75.46,19.52,25.46,28.37,48.37,29.54,0.54,0.41,0.0,172.82,49.88,15.36,3.74,2.29,4.16,28-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
28-Sep-2020 - 00:00,120.12,62.49,73.56,24.45,25.71,33.16,57.68,29.78,0.75,0.44,0.0,273.58,83.09,19.76,3.63,4.65,4.81,29-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
29-Sep-2020 - 00:00,125.87,64.68,69.91,35.98,31.54,37.96,69.74,29.59,0.75,0.41,0.0,312.23,89.09,25.01,3.41,3.01,3.7,30-Sep-2020 - 00:00,"DTU, Delhi - CPCB"
30-Sep-2020 - 00:00,136.55,61.56,78.76,28.41,31.08,37.94,63.51,29.18,0.61,0.36,0.0,293.82,70.55,24.93,3.71,2.44,3.44,01-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
01-Oct-2020 - 00:00,149.18,61.01,74.42,22.91,30.88,34.64,61.31,29.35,0.75,0.42,0.0,307.31,77.27,21.01,3.64,2.79,3.88,02-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
02-Oct-2020 - 00:00,147.51,63.15,76.25,18.4,30.5,30.91,67.49,29.16,0.92,0.41,0.0,313.25,98.93,17.6,3.7,3.55,3.82,03-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
03-Oct-2020 - 00:00,146.4,61.88,74.0,22.96,31.09,34.86,59.38,28.46,0.86,0.45,0.0,289.58,105.73,21.31,3.67,3.56,3.86,04-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
04-Oct-2020 - 00:00,130.75,60.02,70.68,30.4,32.95,41.32,63.33,27.82,0.89,0.46,0.0,255.85,92.57,27.2,4.11,3.8,3.65,05-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
05-Oct-2020 - 00:00,132.23,56.57,71.25,13.56,34.81,29.34,65.11,28.15,0.86,0.45,0.0,275.16,87.84,16.27,3.97,3.36,3.87,06-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
06-Oct-2020 - 00:00,132.35,58.88,69.45,25.42,34.3,38.45,59.24,27.99,1.01,0.47,0.0,299.44,100.49,24.46,4.21,5.86,5.64,07-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
07-Oct-2020 - 00:00,144.81,58.85,68.8,33.45,28.6,40.82,62.34,28.04,1.09,0.44,0.0,326.86,130.69,26.75,4.04,6.15,6.73,08-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
08-Oct-2020 - 00:00,169.97,58.16,62.02,20.74,30.62,32.47,58.61,28.23,0.81,0.4,0.0,353.68,100.64,18.73,5.64,3.67,4.77,09-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
09-Oct-2020 - 00:00,118.83,57.7,60.11,27.17,32.26,37.64,65.44,28.27,0.81,0.43,0.0,283.49,101.47,23.75,6.72,3.75,4.01,10-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
10-Oct-2020 - 00:00,133.82,59.11,58.75,27.41,31.21,32.91,67.24,28.42,0.97,0.4,0.0,291.31,112.29,19.35,6.54,4.16,4.57,11-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
11-Oct-2020 - 00:00,122.24,58.93,59.46,22.2,26.93,30.82,64.4,28.17,1.09,0.44,0.0,327.14,123.46,17.4,6.36,4.56,4.47,12-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
12-Oct-2020 - 00:00,133.16,57.79,59.44,40.37,25.12,41.52,63.09,27.87,1.68,0.55,0.0,372.35,152.33,27.21,7.22,5.49,6.03,13-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
13-Oct-2020 - 00:00,131.05,64.02,52.06,41.51,27.06,41.07,62.32,28.61,2.25,0.5,0.0,365.84,176.88,26.69,7.42,9.99,16.19,14-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
14-Oct-2020 - 00:00,119.0,65.53,48.51,22.44,23.47,29.99,58.48,28.64,1.56,0.47,0.0,313.4,157.53,16.81,6.15,6.51,8.32,15-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
15-Oct-2020 - 00:00,129.67,53.3,56.8,26.49,20.19,30.93,47.57,27.85,1.24,0.37,0.0,360.51,165.44,17.82,6.53,5.44,6.91,16-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
16-Oct-2020 - 00:00,149.96,48.5,58.59,26.86,21.99,32.05,47.77,26.57,1.05,0.49,0.0,327.79,128.85,18.73,7.71,4.13,5.43,17-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
17-Oct-2020 - 00:00,136.59,53.29,53.17,37.41,21.3,38.52,48.73,26.73,1.5,0.51,0.0,388.4,162.43,24.51,8.02,6.5,7.83,18-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
18-Oct-2020 - 00:00,138.78,49.56,56.4,20.64,23.81,28.92,45.14,26.74,1.04,0.39,0.0,303.57,123.21,15.7,7.08,4.85,6.7,19-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
19-Oct-2020 - 00:00,151.54,47.98,56.59,13.63,24.35,23.84,56.99,26.23,0.92,0.42,0.0,,150.44,11.04,7.43,4.94,6.16,20-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
20-Oct-2020 - 00:00,166.65,46.65,57.8,19.49,23.74,27.13,41.45,25.86,0.96,0.45,0.0,300.56,132.61,15.96,6.84,4.66,8.07,21-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
21-Oct-2020 - 00:00,167.43,49.36,55.07,56.97,30.7,45.81,40.29,26.49,1.81,0.45,0.0,314.59,138.57,35.18,6.93,10.12,16.77,22-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
22-Oct-2020 - 00:00,134.56,53.27,38.4,31.03,38.93,45.54,49.43,25.96,2.04,0.52,0.0,354.58,193.34,23.56,7.52,12.95,21.14,23-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
23-Oct-2020 - 00:00,143.8,55.04,51.06,17.37,35.76,32.93,58.73,25.15,1.73,0.52,0.0,292.95,246.87,14.92,7.4,9.09,15.23,24-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
24-Oct-2020 - 00:00,161.59,56.81,46.94,22.36,34.71,36.34,36.75,24.97,1.93,0.47,0.0,369.74,229.49,17.36,7.66,9.28,19.47,25-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
25-Oct-2020 - 00:00,168.33,56.11,47.11,21.61,36.66,36.8,46.31,25.19,1.94,0.56,0.0,303.83,193.63,17.59,9.01,9.2,17.63,26-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
26-Oct-2020 - 00:00,152.01,55.16,44.87,22.26,32.72,35.2,33.12,25.1,2.1,0.4,0.0,353.83,198.42,16.53,8.83,10.23,20.7,27-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
27-Oct-2020 - 00:00,174.12,52.21,47.5,17.14,34.45,32.03,29.02,24.08,1.33,0.36,0.0,322.41,185.82,14.33,6.56,5.61,2.94,28-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
28-Oct-2020 - 00:00,168.89,53.78,44.19,16.71,38.86,34.03,26.98,23.42,1.69,0.56,0.0,341.65,201.21,15.7,7.81,,-0.01,29-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
29-Oct-2020 - 00:00,170.15,61.36,40.74,28.04,44.91,46.31,35.01,23.49,2.89,0.55,0.0,477.6,229.54,24.07,7.25,13.42,13.33,30-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
30-Oct-2020 - 00:00,165.45,54.76,46.15,18.82,35.52,33.68,31.65,24.11,1.84,0.45,0.0,413.23,275.07,15.65,8.06,10.77,0.55,31-Oct-2020 - 00:00,"DTU, Delhi - CPCB"
31-Oct-2020 - 00:00,161.69,52.98,45.63,12.27,28.2,24.81,35.76,23.74,1.76,0.34,0.0,407.79,295.08,9.42,7.06,,-0.01,01-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
01-Nov-2020 - 00:00,179.94,48.38,44.83,16.62,31.1,29.84,32.31,23.03,1.75,0.4,0.0,417.99,274.4,12.84,7.96,,-0.01,02-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
02-Nov-2020 - 00:00,194.49,49.75,44.08,26.66,34.6,39.48,22.01,22.49,1.9,0.45,0.0,332.75,191.39,22.41,7.34,0.18,0.57,03-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
03-Nov-2020 - 00:00,195.24,51.41,42.52,37.43,38.11,50.22,23.74,22.53,2.44,0.44,0.0,348.76,179.9,31.39,6.9,,-0.01,04-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
04-Nov-2020 - 00:00,206.95,59.86,34.93,32.82,42.14,48.67,13.65,21.99,3.26,0.52,0.0,532.19,369.8,31.68,6.59,,-0.01,05-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
05-Nov-2020 - 00:00,209.65,55.37,42.01,20.45,40.15,37.71,19.1,22.98,2.16,0.54,0.0,445.05,300.22,24.13,5.91,,-0.01,06-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
06-Nov-2020 - 00:00,200.82,55.63,37.97,27.7,41.71,44.34,16.96,23.02,2.37,0.56,0.0,454.66,304.96,28.81,6.33,,,07-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
07-Nov-2020 - 00:00,204.11,56.31,39.22,20.78,35.55,35.54,26.12,22.91,2.57,0.51,0.0,503.47,382.47,23.18,6.07,,-0.01,08-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
08-Nov-2020 - 00:00,177.07,59.59,34.91,23.48,39.11,39.07,20.11,21.99,2.53,0.51,0.0,489.64,381.11,25.84,8.44,,-0.01,09-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
09-Nov-2020 - 00:00,169.16,66.56,32.92,23.29,41.68,40.81,19.12,21.71,3.66,0.5,0.0,718.37,624.63,27.95,6.04,,-0.01,10-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
10-Nov-2020 - 00:00,136.4,71.89,32.45,30.58,41.55,46.56,36.49,21.82,4.31,0.55,0.0,729.84,609.78,34.72,4.71,17.22,20.13,11-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
11-Nov-2020 - 00:00,101.81,68.17,37.1,29.92,30.27,40.02,66.74,21.89,2.42,0.64,0.0,311.7,233.2,28.26,3.8,16.41,19.01,12-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
12-Nov-2020 - 00:00,155.04,65.59,38.36,31.24,31.56,41.56,70.94,22.41,2.68,0.49,0.0,308.56,203.5,28.39,4.62,11.92,18.64,13-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
13-Nov-2020 - 00:00,197.14,65.53,35.8,19.07,31.97,32.27,87.47,22.44,2.54,0.54,0.0,350.42,254.23,22.28,4.25,12.31,23.88,14-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
14-Nov-2020 - 00:00,180.78,68.09,31.16,14.58,33.55,29.19,86.27,21.68,3.49,0.6,0.0,568.73,474.95,21.33,4.48,9.58,21.04,15-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
15-Nov-2020 - 00:00,159.55,71.0,31.51,13.48,30.72,26.35,24.38,20.98,2.31,0.74,0.0,402.74,192.57,26.12,6.39,17.62,24.81,16-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
16-Nov-2020 - 00:00,148.01,74.43,33.22,11.21,22.52,20.95,23.52,23.19,0.88,0.95,0.0,129.26,86.41,30.33,3.2,3.5,9.18,17-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
17-Nov-2020 - 00:00,147.37,64.97,43.47,11.95,24.0,21.93,22.15,22.95,0.69,0.82,0.0,146.72,87.74,29.39,3.37,3.21,5.48,18-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
18-Nov-2020 - 00:00,135.81,62.25,43.77,10.9,25.28,22.17,31.73,21.65,0.89,0.84,0.0,181.74,118.67,26.79,2.98,3.07,1.92,19-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
19-Nov-2020 - 00:00,149.84,59.76,42.39,12.83,31.48,27.01,29.19,21.09,1.22,0.92,0.0,222.64,149.15,32.9,3.98,4.35,0.67,20-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
20-Nov-2020 - 00:00,158.95,55.68,43.45,11.65,30.7,25.64,32.01,20.98,1.14,0.9,0.0,264.47,165.93,30.31,3.71,4.84,1.13,21-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
21-Nov-2020 - 00:00,137.08,52.64,43.63,12.64,27.44,24.71,35.09,20.2,1.05,0.93,0.0,210.75,135.61,27.99,4.52,3.8,1.31,22-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
22-Nov-2020 - 00:00,164.52,52.34,42.62,16.47,32.49,30.45,22.71,19.8,1.53,0.97,0.0,251.67,179.96,36.56,5.23,5.85,1.39,23-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
23-Nov-2020 - 00:00,175.13,52.22,39.5,19.45,36.83,35.15,21.38,20.15,1.96,0.97,0.0,287.05,199.91,44.16,5.09,8.93,1.54,24-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
24-Nov-2020 - 00:00,145.36,59.42,33.47,31.34,45.22,49.15,23.87,20.0,3.06,1.03,0.0,385.34,270.51,66.81,5.95,14.86,1.41,25-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
25-Nov-2020 - 00:00,99.43,64.33,19.28,20.95,38.53,34.61,19.71,20.91,2.62,0.99,0.0,441.46,342.27,50.13,5.35,14.98,2.68,26-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
26-Nov-2020 - 00:00,107.45,52.37,31.34,11.27,22.83,18.38,33.03,24.46,0.31,0.92,0.0,122.65,52.5,24.98,3.95,5.19,0.81,27-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
27-Nov-2020 - 00:00,156.61,63.87,35.58,11.48,28.61,21.08,15.61,20.66,0.67,0.82,0.0,148.34,103.99,26.43,3.45,3.35,0.82,28-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
28-Nov-2020 - 00:00,185.42,56.46,41.4,12.85,30.08,26.28,23.65,21.38,1.34,0.68,0.0,196.33,135.48,30.71,4.0,4.06,1.12,29-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
29-Nov-2020 - 00:00,194.06,55.8,40.43,17.96,35.55,33.29,22.96,20.6,1.81,0.89,0.0,246.56,176.81,41.15,5.2,6.33,1.29,30-Nov-2020 - 00:00,"DTU, Delhi - CPCB"
30-Nov-2020 - 00:00,195.78,59.52,37.93,26.64,41.17,43.21,21.29,20.82,2.44,0.99,0.0,301.27,216.25,56.94,4.87,8.54,1.28,01-Dec-2020 - 00:00,"DTU, Delhi - CPCB"
01-Dec-2020 - 00:00,189.24,76.9,6.75,55.4,50.2,71.0,9.5,17.4,5.25,1.27,0.0,506.0,423.75,98.9,5.4,12.41,1.5,02-Dec-2020 - 00:00,"DTU, Delhi - CPCB"
