from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
17-Mar-2020 - 00:00,21.37,9.1,8.28,6.66,16.27,1.02,79.95,36.29,91.57,2.07,10.82,0.4,0.68,0.93,58.42,4.23,256.95,171.74,0.0,18-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Mar-2020 - 00:00,16.21,10.42,12.49,7.45,17.67,1.01,76.83,36.11,76.61,2.15,12.34,0.49,0.96,1.17,59.69,4.55,268.64,169.81,0.0,19-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Mar-2020 - 00:00,12.79,10.63,14.84,6.89,13.64,1.2,63.69,41.04,93.95,3.12,15.64,0.7,0.78,1.24,58.73,3.96,200.04,164.25,0.0,20-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
20-Mar-2020 - 00:00,17.62,9.9,11.17,7.02,19.61,1.05,68.12,62.88,168.61,4.12,18.14,0.75,1.19,1.56,60.7,3.75,148.7,142.77,0.0,21-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
21-Mar-2020 - 00:00,22.67,8.21,6.69,6.23,18.21,1.04,84.58,25.04,79.04,1.62,12.59,0.46,0.4,0.56,51.37,4.46,218.08,162.66,0.0,22-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
22-Mar-2020 - 00:00,21.35,9.05,8.25,7.04,20.0,1.15,76.27,44.32,124.55,3.89,20.72,0.84,1.42,1.84,52.75,3.61,245.4,164.22,0.0,23-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
23-Mar-2020 - 00:00,23.79,8.47,6.29,6.71,13.89,1.24,68.46,38.33,95.85,2.33,18.2,0.77,0.37,0.86,54.6,3.01,179.84,162.5,0.0,24-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
24-Mar-2020 - 00:00,22.65,8.53,6.98,6.57,19.19,1.3,69.74,53.49,141.18,3.68,16.38,0.91,0.52,1.3,67.42,3.25,179.6,149.79,0.0,25-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
25-Mar-2020 - 00:00,23.92,8.35,6.1,6.77,15.34,1.08,64.61,25.42,53.55,1.92,17.72,0.75,0.34,0.75,65.85,3.41,217.62,173.9,0.0,26-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
26-Mar-2020 - 00:00,24.22,7.49,5.08,5.62,13.18,1.14,66.29,20.94,40.05,0.99,14.46,0.54,0.14,0.33,63.78,4.4,251.84,122.92,0.0,27-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
27-Mar-2020 - 00:00,25.26,8.21,5.22,6.66,12.11,0.97,59.6,19.26,32.09,1.3,12.88,0.57,0.15,0.38,77.28,3.59,209.24,129.64,0.0,28-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
28-Mar-2020 - 00:00,25.37,7.39,4.3,5.65,14.1,0.97,64.24,12.93,36.51,1.02,14.44,0.53,0.14,0.32,64.38,3.78,274.3,178.7,0.0,29-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
29-Mar-2020 - 00:00,27.32,7.4,3.26,6.1,15.02,1.83,69.74,21.8,41.91,0.92,14.15,0.44,0.12,0.25,55.26,4.1,288.81,178.95,0.0,30-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
30-Mar-2020 - 00:00,27.33,7.17,3.0,5.86,14.41,0.95,77.86,24.33,52.21,1.26,15.3,0.47,0.13,0.27,50.79,4.45,286.06,178.18,0.0,31-Mar-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
31-Mar-2020 - 00:00,25.11,7.17,4.28,5.57,14.86,1.22,77.73,30.7,73.41,1.65,17.14,0.54,0.17,0.4,47.28,3.54,207.52,172.72,0.0,01-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
01-Apr-2020 - 00:00,20.01,4.54,4.81,3.9,14.68,2.24,65.71,24.41,53.86,1.4,17.61,0.58,0.17,0.39,48.91,3.67,252.05,172.91,0.0,02-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Apr-2020 - 00:00,5.83,4.69,8.03,2.49,14.56,0.22,55.46,17.24,52.32,1.16,15.19,0.47,0.12,0.26,46.5,4.84,303.44,178.33,0.0,03-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Apr-2020 - 00:00,8.72,7.4,11.58,3.14,12.86,0.44,43.2,23.26,61.75,1.44,15.93,0.45,0.14,0.31,36.65,4.13,291.71,179.98,0.0,04-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Apr-2020 - 00:00,9.23,7.79,11.72,3.71,18.21,0.51,41.52,29.15,72.7,2.19,17.05,0.52,0.19,0.43,38.18,4.07,218.63,179.62,0.0,05-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Apr-2020 - 00:00,7.78,7.54,12.34,3.24,17.03,0.54,39.95,38.06,108.74,2.97,18.68,0.69,0.34,0.86,,3.92,216.44,169.9,0.0,06-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Apr-2020 - 00:00,7.68,7.39,12.18,7.35,20.12,0.2,43.44,44.14,137.47,3.27,20.81,0.77,0.32,0.79,25.07,4.63,246.92,170.01,0.0,07-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Apr-2020 - 00:00,8.91,7.68,11.8,10.09,13.76,0.56,43.22,33.55,98.85,1.45,19.09,0.56,0.17,0.36,49.36,5.03,254.86,174.95,0.0,08-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Apr-2020 - 00:00,7.83,7.45,12.12,9.58,15.3,1.0,44.0,31.1,70.36,1.42,16.97,0.5,0.15,0.31,,5.03,293.66,173.88,0.0,09-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Apr-2020 - 00:00,9.1,7.27,11.24,9.66,15.69,0.45,48.15,23.83,76.33,1.55,17.17,0.41,0.14,0.34,21.89,5.15,252.85,181.21,0.0,10-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Apr-2020 - 00:00,8.62,7.71,11.97,10.1,16.15,0.21,37.7,37.9,121.99,2.67,19.99,0.68,0.38,0.97,32.67,4.1,203.52,172.48,0.0,11-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Apr-2020 - 00:00,8.93,7.17,11.23,9.44,21.24,0.18,46.82,52.32,155.03,3.78,21.33,0.63,0.37,0.89,29.4,4.94,218.45,169.49,0.0,12-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Apr-2020 - 00:00,9.94,6.83,10.31,9.45,16.49,0.2,52.89,33.54,89.59,1.89,19.64,0.49,0.19,0.44,28.0,5.76,263.74,175.02,0.0,13-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Apr-2020 - 00:00,9.09,7.28,11.26,9.67,15.13,0.8,47.37,36.93,116.65,2.44,21.34,0.58,0.24,0.63,27.87,4.84,240.98,171.5,0.0,14-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Apr-2020 - 00:00,5.69,8.03,13.94,9.92,17.66,0.51,34.4,50.95,173.24,3.1,23.85,0.95,0.49,1.24,29.25,3.7,167.85,142.69,0.0,15-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Apr-2020 - 00:00,8.59,7.67,11.95,10.06,11.59,0.2,40.94,44.75,147.24,2.03,22.2,0.64,0.28,0.71,21.97,4.69,225.61,164.48,0.0,16-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Apr-2020 - 00:00,9.48,7.38,11.16,9.89,17.83,0.48,52.25,46.78,142.48,2.15,21.48,0.58,0.26,0.62,21.83,5.43,276.52,170.82,0.0,17-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
17-Apr-2020 - 00:00,9.33,7.25,11.1,9.7,16.18,0.52,48.75,49.24,160.3,1.81,20.67,0.62,0.25,0.59,24.42,4.78,174.66,168.11,0.0,18-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
18-Apr-2020 - 00:00,7.83,7.45,12.13,9.62,16.33,0.18,45.11,40.49,122.69,3.12,19.03,0.72,0.28,0.65,37.22,4.49,152.31,171.79,0.0,19-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
19-Apr-2020 - 00:00,9.39,7.16,10.97,9.58,13.27,0.51,47.64,39.54,88.95,1.81,18.86,0.55,0.22,0.55,30.18,6.03,252.46,177.58,0.0,20-Apr-2020 - 00:00,"General Hospital, Mandikhera - HSPCB"
