from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO2,NO,Ozone,SO2,to date,station
19-Sep-2020 - 00:00,31.3,979.17,171.88,64.48,62.54,163.34,102.85,143.34,0.94,0.76,,18.24,28.72,8.87,30.1,11.01,20-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Sep-2020 - 00:00,30.64,979.0,195.62,79.5,63.24,165.9,171.98,57.56,1.35,0.77,,17.62,21.22,2.2,31.12,6.44,21-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Sep-2020 - 00:00,30.86,977.91,164.17,62.42,62.04,163.88,192.91,55.61,1.08,0.75,,18.1,22.44,2.37,34.78,9.05,22-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Sep-2020 - 00:00,31.71,978.26,161.29,51.04,61.65,138.15,108.45,172.21,1.05,0.8,,20.04,24.21,2.42,25.9,9.31,23-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Sep-2020 - 00:00,31.67,978.43,134.82,33.92,60.16,146.14,,193.08,1.22,0.68,,19.62,22.86,3.39,20.62,5.86,24-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Sep-2020 - 00:00,30.4,980.62,134.08,48.79,62.29,148.95,,145.43,1.08,0.71,,18.49,26.92,6.34,29.91,6.84,25-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Sep-2020 - 00:00,30.93,979.94,196.71,66.67,60.13,152.48,187.32,186.14,1.14,0.84,,20.21,33.14,4.94,38.53,9.37,26-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Sep-2020 - 00:00,28.06,980.09,233.46,77.71,62.09,101.12,118.08,177.31,0.89,0.73,,20.97,32.79,9.14,27.21,11.58,27-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Sep-2020 - 00:00,28.53,982.79,170.71,52.96,58.97,171.61,101.6,127.17,0.9,0.67,,18.36,33.94,9.62,35.68,10.84,28-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Sep-2020 - 00:00,29.49,983.74,274.04,90.54,57.96,168.64,202.91,109.38,1.25,0.8,,18.55,36.88,13.88,44.5,9.23,29-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Sep-2020 - 00:00,29.05,983.54,277.12,89.38,60.51,163.16,,132.16,1.18,0.8,,21.64,30.5,5.64,46.44,7.68,30-Sep-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Sep-2020 - 00:00,27.99,982.47,234.0,72.62,58.92,168.86,,118.46,1.21,0.65,,21.57,29.96,3.22,46.34,5.44,01-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Oct-2020 - 00:00,28.61,981.95,246.04,73.54,57.34,164.76,,136.41,1.19,0.73,,22.86,30.6,4.92,52.17,4.81,02-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Oct-2020 - 00:00,28.38,982.47,240.0,84.38,58.84,166.63,,149.12,1.02,0.74,,22.71,24.96,2.51,60.72,5.22,03-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Oct-2020 - 00:00,27.73,983.62,227.25,86.21,58.19,164.81,,139.09,0.95,0.75,,22.05,34.44,3.67,53.64,9.31,04-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Oct-2020 - 00:00,27.08,984.46,298.82,93.32,55.8,162.64,,106.85,1.03,0.76,,25.28,33.97,5.93,59.2,8.81,05-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Oct-2020 - 00:00,26.8,984.02,300.71,98.93,55.64,162.43,,122.71,1.21,0.79,,28.89,45.26,6.98,45.12,6.99,06-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Oct-2020 - 00:00,27.09,984.47,283.91,113.59,55.37,160.5,148.88,117.98,1.1,0.82,,37.13,39.9,11.51,47.12,5.82,07-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Oct-2020 - 00:00,27.69,986.27,296.83,126.88,54.21,150.95,145.29,95.56,0.97,1.18,,33.45,50.21,14.47,36.89,6.22,08-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Oct-2020 - 00:00,27.81,986.6,277.17,113.83,53.81,149.11,141.92,152.48,1.01,0.93,,42.84,33.87,4.24,45.11,4.24,09-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Oct-2020 - 00:00,27.27,986.78,296.83,122.25,54.74,137.99,,133.71,0.8,0.94,,42.13,38.36,7.3,45.13,4.94,10-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Oct-2020 - 00:00,27.15,985.56,278.0,125.88,56.45,135.12,,144.05,0.87,0.89,,37.04,36.08,5.0,34.02,5.69,11-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Oct-2020 - 00:00,27.06,983.63,305.73,127.25,56.0,135.34,,135.03,0.96,0.91,,35.77,36.57,3.93,36.87,6.45,12-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Oct-2020 - 00:00,26.25,982.24,342.74,165.54,53.78,128.72,,133.26,0.72,1.14,,33.81,50.81,17.23,42.45,7.05,13-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Oct-2020 - 00:00,28.3,982.97,381.58,180.33,56.09,113.13,111.3,192.76,0.68,1.37,,33.2,54.18,14.04,49.09,7.07,14-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Oct-2020 - 00:00,28.33,984.55,345.61,167.33,57.93,92.87,198.9,142.29,0.63,1.27,,31.41,46.41,9.35,35.91,6.48,15-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Oct-2020 - 00:00,27.88,985.21,355.54,188.21,47.39,129.81,161.78,90.12,1.0,0.93,,29.82,40.89,7.35,43.39,5.14,16-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Oct-2020 - 00:00,25.91,984.92,294.96,134.08,44.55,130.84,158.74,116.02,0.76,0.85,,34.28,49.49,13.94,60.24,5.77,17-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Oct-2020 - 00:00,25.69,985.65,377.58,190.42,49.61,127.34,144.69,132.26,0.66,1.16,,34.31,60.69,21.51,52.61,4.97,18-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Oct-2020 - 00:00,25.36,985.61,327.86,154.54,49.12,136.9,121.65,97.79,0.95,0.95,,32.75,45.84,9.27,47.09,4.22,19-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Oct-2020 - 00:00,25.09,985.31,333.88,152.67,46.35,138.68,101.98,101.07,1.0,0.89,,32.69,45.05,4.72,55.84,2.35,20-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Oct-2020 - 00:00,24.74,984.94,305.98,137.46,45.06,147.9,202.39,136.96,0.93,0.86,,32.58,48.92,10.34,55.52,5.42,21-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Oct-2020 - 00:00,25.75,986.01,362.54,149.58,43.59,144.3,184.93,175.92,0.81,1.19,,33.45,54.32,39.55,48.66,4.94,22-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Oct-2020 - 00:00,25.0,984.74,461.75,219.04,45.95,95.48,245.59,153.28,0.7,1.49,,37.1,63.56,26.77,37.82,6.76,23-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Oct-2020 - 00:00,24.05,984.48,530.46,285.25,49.55,132.6,208.82,99.03,0.77,1.71,,48.17,58.69,38.02,55.22,3.91,24-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Oct-2020 - 00:00,23.19,985.49,491.34,284.27,54.15,126.48,216.9,104.31,0.63,1.84,,49.93,53.36,32.05,29.33,7.77,25-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Oct-2020 - 00:00,23.71,987.83,489.52,259.74,52.61,127.77,174.51,183.53,0.64,1.89,,53.18,47.48,39.04,40.91,8.75,26-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Oct-2020 - 00:00,24.37,989.24,472.04,252.02,49.11,108.68,,118.19,0.78,1.67,,51.2,49.59,36.29,33.16,7.96,27-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Oct-2020 - 00:00,22.41,989.13,370.5,202.95,49.38,127.52,153.4,115.05,0.86,1.05,,63.18,39.1,7.57,35.72,8.39,28-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Oct-2020 - 00:00,21.54,989.79,454.49,247.95,51.07,112.59,,176.84,0.67,1.54,,98.08,56.75,33.91,40.78,7.42,29-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Oct-2020 - 00:00,21.46,990.62,626.94,373.17,56.26,102.91,,132.37,0.41,2.14,,76.02,70.44,47.71,37.36,7.87,30-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Oct-2020 - 00:00,22.1,990.33,489.08,293.83,52.78,123.36,,97.38,0.83,1.4,,78.86,50.89,17.02,29.22,7.02,31-Oct-2020 - 00:00,"Bawana, Delhi - DPCC"
31-Oct-2020 - 00:00,21.35,990.21,512.71,316.29,53.12,127.65,,49.39,0.98,1.39,,72.69,38.64,4.52,33.14,7.84,01-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Nov-2020 - 00:00,20.75,990.86,529.92,324.58,47.92,121.62,,143.81,0.91,1.39,,71.14,42.52,14.37,35.52,7.82,02-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
02-Nov-2020 - 00:00,19.9,991.52,407.04,212.08,49.57,111.25,,193.41,0.7,1.46,,66.59,46.36,41.05,32.21,7.72,03-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
03-Nov-2020 - 00:00,20.1,990.93,430.64,205.38,49.57,119.82,,187.1,0.62,1.92,,63.92,58.62,73.75,31.51,7.69,04-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
04-Nov-2020 - 00:00,19.01,989.74,612.13,385.51,57.98,84.6,,231.46,0.67,2.1,,60.39,71.95,57.29,19.52,8.74,05-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
05-Nov-2020 - 00:00,20.69,990.98,572.17,347.12,54.05,122.35,354.83,222.18,0.69,1.83,,63.09,64.13,43.45,31.33,10.29,06-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
06-Nov-2020 - 00:00,20.89,993.75,572.25,338.29,52.67,114.05,143.5,177.7,0.74,1.69,,65.13,66.92,50.07,27.34,9.39,07-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
07-Nov-2020 - 00:00,20.3,994.62,670.78,449.22,53.91,119.3,106.62,166.92,0.72,1.89,,63.03,55.59,28.28,34.06,9.49,08-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
08-Nov-2020 - 00:00,19.14,995.14,662.58,440.79,56.82,108.86,133.98,164.54,0.57,1.9,,64.59,63.29,28.76,34.44,10.09,09-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
09-Nov-2020 - 00:00,18.64,993.65,810.94,650.05,64.08,102.27,173.31,180.5,0.53,2.72,,65.04,71.34,37.06,29.18,9.56,10-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
10-Nov-2020 - 00:00,19.28,992.56,739.27,479.77,66.72,98.74,125.0,201.34,0.46,3.44,,63.23,82.25,56.13,49.27,10.49,11-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
11-Nov-2020 - 00:00,20.23,994.37,501.43,246.21,60.14,125.01,103.87,187.06,0.76,1.88,,51.32,55.47,46.55,32.08,9.86,12-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
12-Nov-2020 - 00:00,20.07,995.63,436.88,204.12,60.94,122.26,179.39,195.82,0.53,1.65,,53.69,70.74,73.09,39.13,10.11,13-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
13-Nov-2020 - 00:00,19.89,994.24,497.38,322.67,60.66,122.07,123.86,153.0,0.59,1.48,,55.45,60.54,19.02,40.35,9.76,14-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
14-Nov-2020 - 00:00,18.84,991.97,690.15,553.38,63.12,96.81,,207.38,0.51,2.02,,61.28,57.3,8.81,42.71,8.2,15-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
15-Nov-2020 - 00:00,20.22,991.5,520.27,396.3,61.86,109.43,,192.22,1.36,1.45,,59.61,38.38,1.95,56.15,9.63,16-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
16-Nov-2020 - 00:00,20.15,993.09,157.92,105.83,66.78,76.12,,162.15,1.38,0.65,,42.56,26.49,3.69,40.4,9.72,17-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
17-Nov-2020 - 00:00,18.91,991.61,155.5,89.58,66.24,129.14,,39.14,0.96,0.6,,38.88,30.03,6.15,24.96,6.63,18-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
18-Nov-2020 - 00:00,17.46,990.48,242.54,148.0,63.1,131.74,130.24,66.43,0.79,0.84,,46.92,38.5,5.49,36.63,6.15,19-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
19-Nov-2020 - 00:00,14.32,990.92,338.48,196.61,67.49,67.97,206.37,73.82,0.67,1.18,,50.87,55.3,24.76,17.13,6.23,20-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
20-Nov-2020 - 00:00,16.47,992.28,347.88,207.57,59.35,137.24,122.0,43.31,1.06,0.89,,47.06,44.43,7.03,39.48,5.15,21-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
21-Nov-2020 - 00:00,15.07,992.75,292.21,156.72,59.02,138.82,,59.85,1.23,0.82,,49.21,37.74,11.03,41.92,4.82,22-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
22-Nov-2020 - 00:00,14.92,993.31,332.02,187.49,56.84,129.18,140.94,164.49,0.95,1.01,,49.12,52.5,24.23,34.82,5.19,23-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
23-Nov-2020 - 00:00,15.39,993.62,431.77,231.0,55.72,119.74,315.23,192.03,0.59,1.7,,44.87,61.31,56.86,37.31,5.93,24-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
24-Nov-2020 - 00:00,15.88,993.17,559.14,299.74,57.99,93.32,231.66,209.92,0.57,2.11,,47.16,84.59,48.76,48.49,7.89,25-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
25-Nov-2020 - 00:00,16.89,993.54,592.71,361.97,63.44,45.35,219.18,157.07,0.92,1.81,,57.55,65.7,10.73,29.14,4.7,26-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
26-Nov-2020 - 00:00,18.85,995.73,215.48,113.35,60.86,119.07,150.83,70.45,1.46,0.63,,51.76,28.83,3.72,26.19,4.65,27-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
27-Nov-2020 - 00:00,17.22,997.32,189.52,93.9,63.27,133.5,,60.69,0.98,0.54,,44.37,41.7,12.57,24.59,4.21,28-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
28-Nov-2020 - 00:00,16.39,996.17,250.38,135.08,61.71,131.7,,166.15,0.9,0.81,,40.36,40.22,11.81,29.49,4.76,29-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
29-Nov-2020 - 00:00,15.7,994.87,311.0,170.88,59.68,126.5,194.22,148.35,0.74,1.04,,38.46,59.71,28.62,36.54,5.21,30-Nov-2020 - 00:00,"Bawana, Delhi - DPCC"
30-Nov-2020 - 00:00,16.5,993.96,378.71,220.25,60.69,118.53,155.96,169.4,0.72,1.36,,39.96,64.35,44.42,35.28,5.45,01-Dec-2020 - 00:00,"Bawana, Delhi - DPCC"
01-Dec-2020 - 00:00,11.95,993.6,582.0,374.0,75.95,5.85,105.3,339.9,0.55,1.7,,47.4,247.05,180.85,8.35,8.85,02-Dec-2020 - 00:00,"Bawana, Delhi - DPCC"
