from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,WS,WD,AT,RH,RF,to date,station
14-Sep-2020 - 00:00,5.0,9.93,4.7,0.59,5.28,8.58,6.17,0.37,7.41,0.7,164.17,26.25,96.7,0.14,15-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Sep-2020 - 00:00,5.0,11.97,4.77,0.52,5.27,8.57,5.59,0.32,7.6,1.02,204.7,27.1,93.95,0.0,16-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Sep-2020 - 00:00,5.0,11.55,4.77,0.53,5.29,8.58,5.48,0.35,6.57,0.79,185.19,26.14,96.84,0.12,17-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Sep-2020 - 00:00,5.27,8.55,4.82,0.49,5.31,8.57,5.59,0.33,8.3,0.65,143.68,25.75,98.53,0.19,18-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Sep-2020 - 00:00,14.8,12.53,4.85,0.44,5.28,8.57,4.93,0.33,8.19,1.2,207.21,26.36,96.56,0.04,19-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Sep-2020 - 00:00,10.39,14.14,4.84,0.47,5.31,8.57,5.51,0.32,6.84,0.64,179.24,25.04,99.03,0.41,20-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Sep-2020 - 00:00,7.87,15.37,4.64,0.65,5.28,8.59,5.81,0.19,7.68,1.28,244.96,25.69,97.2,0.24,21-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Sep-2020 - 00:00,4.84,12.05,4.72,0.55,5.27,8.59,5.36,0.33,7.24,0.79,222.69,26.14,98.46,0.05,22-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Sep-2020 - 00:00,4.96,12.46,4.63,0.63,5.25,8.59,6.31,0.34,7.1,0.79,197.78,26.72,94.41,0.14,23-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Sep-2020 - 00:00,6.16,13.68,4.64,0.61,5.25,8.58,5.24,0.36,7.71,0.94,197.59,27.12,91.01,0.01,24-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Sep-2020 - 00:00,9.53,17.03,4.67,0.56,5.23,8.58,5.58,0.35,8.18,0.79,182.48,27.33,91.25,0.01,25-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Sep-2020 - 00:00,12.9,20.4,4.64,0.6,5.23,8.58,4.75,0.38,8.42,0.6,192.42,27.3,94.42,0.0,26-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Sep-2020 - 00:00,17.97,25.47,4.6,0.65,5.25,8.59,5.76,0.38,7.43,0.59,171.65,27.2,93.45,0.01,27-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Sep-2020 - 00:00,15.72,23.22,4.6,0.67,5.26,8.6,5.47,0.31,7.7,0.92,192.73,27.96,90.99,0.0,28-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Sep-2020 - 00:00,13.87,21.37,4.63,0.64,5.26,8.59,6.69,0.22,7.63,0.94,194.19,27.91,91.76,0.0,29-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Sep-2020 - 00:00,17.63,25.13,4.61,0.6,5.21,8.59,5.54,0.47,7.62,0.57,125.69,26.22,98.5,0.04,30-Sep-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Sep-2020 - 00:00,10.46,25.05,5.31,2.09,5.26,10.16,4.47,0.48,7.64,0.94,179.33,27.51,88.13,0.0,01-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Oct-2020 - 00:00,6.53,23.6,6.05,3.09,9.32,13.7,4.05,0.64,7.98,1.4,266.09,28.91,85.09,0.0,02-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Oct-2020 - 00:00,6.55,29.01,5.43,3.88,9.29,13.51,4.32,0.51,8.16,0.75,172.65,27.47,89.72,0.0,03-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Oct-2020 - 00:00,7.58,28.88,5.49,3.81,9.29,13.51,3.02,0.59,8.3,0.64,178.98,27.67,89.08,0.0,04-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Oct-2020 - 00:00,7.4,25.92,5.41,3.92,9.3,13.52,2.57,0.44,8.12,0.91,197.04,27.75,87.12,0.0,05-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Oct-2020 - 00:00,8.42,26.78,12.29,19.03,16.43,13.55,3.72,0.55,12.77,1.03,191.42,27.55,87.04,0.0,06-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Oct-2020 - 00:00,4.84,26.57,8.89,7.87,16.75,9.93,3.0,0.73,14.2,1.08,214.56,28.82,88.49,0.0,07-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Oct-2020 - 00:00,4.67,22.86,8.96,7.79,16.74,9.93,3.28,0.71,14.18,1.15,248.06,28.01,94.87,0.53,08-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Oct-2020 - 00:00,4.37,24.88,8.95,7.81,16.76,9.92,3.54,0.71,11.72,0.8,201.61,28.09,96.98,0.15,09-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Oct-2020 - 00:00,4.63,15.47,8.91,7.82,16.73,9.93,3.24,0.73,17.21,0.82,187.41,28.02,93.31,0.92,10-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Oct-2020 - 00:00,3.94,25.58,8.93,7.82,16.74,9.92,3.45,0.72,14.81,0.68,144.22,28.21,94.44,0.18,11-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Oct-2020 - 00:00,4.94,22.55,8.88,7.87,16.75,9.93,4.12,0.73,15.41,0.6,208.06,26.77,97.17,0.11,12-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Oct-2020 - 00:00,4.78,16.72,8.94,7.81,16.75,9.92,3.62,0.71,19.94,0.85,203.76,26.72,98.34,0.16,13-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Oct-2020 - 00:00,4.78,22.81,8.88,7.85,16.73,9.93,3.42,0.73,26.47,0.96,240.7,27.57,94.51,0.11,14-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Oct-2020 - 00:00,4.26,15.02,8.91,7.82,16.73,9.92,5.49,0.72,13.45,0.82,192.51,27.97,95.85,0.26,15-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Oct-2020 - 00:00,4.88,13.65,8.89,7.86,16.75,9.93,4.78,0.73,12.12,0.78,174.3,28.22,96.96,0.36,16-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Oct-2020 - 00:00,5.23,17.94,8.94,7.79,16.74,9.91,2.98,0.71,17.04,0.74,152.81,28.78,95.62,0.11,17-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Oct-2020 - 00:00,4.75,15.63,8.95,7.79,16.74,9.93,2.55,0.73,18.73,0.68,185.33,28.95,90.88,0.0,18-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Oct-2020 - 00:00,3.78,26.6,8.96,7.78,16.74,9.92,4.1,0.72,15.58,0.73,183.02,29.65,88.28,0.0,19-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Oct-2020 - 00:00,3.75,22.71,8.95,7.79,16.74,9.93,3.58,0.72,13.42,0.75,188.98,29.47,91.03,0.01,20-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Oct-2020 - 00:00,3.61,20.76,8.91,7.83,16.74,9.93,3.53,0.71,11.86,0.61,144.36,27.72,97.45,0.1,21-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Oct-2020 - 00:00,5.98,25.04,8.89,7.88,16.77,9.93,3.72,0.71,13.0,0.76,170.83,29.01,93.46,0.08,22-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Oct-2020 - 00:00,3.44,16.09,8.93,7.83,16.75,9.92,3.9,0.72,13.03,0.63,145.98,28.73,91.96,0.0,23-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Oct-2020 - 00:00,7.45,24.14,8.96,7.78,16.73,9.92,3.71,0.72,12.57,0.54,157.56,28.57,90.23,0.0,24-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Oct-2020 - 00:00,16.08,29.35,8.96,7.8,16.76,9.91,3.74,0.71,15.07,0.7,169.41,29.28,82.2,0.0,25-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Oct-2020 - 00:00,19.78,29.45,8.89,7.86,16.76,9.93,3.65,0.71,19.7,0.66,178.45,28.01,85.44,0.0,26-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Oct-2020 - 00:00,17.78,26.09,8.95,7.81,16.76,9.92,3.36,0.73,18.15,0.82,203.19,29.47,85.71,0.0,27-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Oct-2020 - 00:00,9.91,22.93,8.94,7.83,16.77,9.92,3.94,0.71,16.24,0.84,185.15,30.02,89.19,0.0,28-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Oct-2020 - 00:00,4.88,28.93,8.92,7.84,16.77,9.92,4.47,0.74,22.09,0.92,183.42,29.0,90.48,0.0,29-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Oct-2020 - 00:00,6.78,28.66,8.96,7.79,16.75,9.92,4.04,0.73,31.35,0.64,209.51,29.24,90.4,0.0,30-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Oct-2020 - 00:00,4.42,35.67,8.96,7.79,16.75,9.92,3.46,0.71,28.12,0.59,172.12,29.91,88.81,0.0,31-Oct-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
31-Oct-2020 - 00:00,9.11,38.9,8.96,7.78,16.74,9.92,4.06,0.7,23.34,0.68,162.68,30.4,89.28,0.0,01-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Nov-2020 - 00:00,10.3,37.57,8.89,7.84,16.73,9.94,3.91,0.73,27.4,0.62,166.51,30.02,86.57,0.0,02-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
02-Nov-2020 - 00:00,9.55,38.05,8.93,7.82,16.75,9.93,4.38,0.73,25.99,0.65,164.74,29.39,88.6,0.0,03-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
03-Nov-2020 - 00:00,9.48,51.32,8.9,7.86,16.76,9.93,5.05,0.71,16.8,0.54,168.71,28.01,93.45,0.0,04-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
04-Nov-2020 - 00:00,9.27,50.02,8.95,7.81,16.76,9.94,4.3,0.72,29.11,0.77,175.08,29.15,87.55,0.0,05-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
05-Nov-2020 - 00:00,10.83,29.15,8.96,7.78,16.73,9.93,3.58,0.72,25.27,0.77,145.83,27.78,91.56,0.19,06-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
06-Nov-2020 - 00:00,12.65,31.18,8.92,7.87,16.8,9.92,4.72,0.74,13.96,0.69,120.2,28.8,82.65,0.0,07-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
07-Nov-2020 - 00:00,12.86,35.37,8.98,7.75,16.73,9.92,4.29,0.71,19.21,0.74,168.1,29.4,84.53,0.0,08-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
08-Nov-2020 - 00:00,13.13,27.43,8.97,7.77,16.74,9.93,3.81,0.73,21.28,0.84,161.76,29.24,83.75,0.0,09-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
09-Nov-2020 - 00:00,12.78,26.87,8.97,7.75,16.72,9.93,4.02,0.73,27.62,0.88,172.88,29.37,86.08,0.0,10-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
10-Nov-2020 - 00:00,12.95,40.75,8.93,7.81,16.74,9.92,4.39,0.72,29.85,0.8,152.41,29.66,79.95,0.0,11-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
11-Nov-2020 - 00:00,10.04,46.48,8.92,7.82,16.75,9.92,4.38,0.69,46.2,0.74,160.66,29.43,71.75,0.0,12-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
12-Nov-2020 - 00:00,10.24,46.95,8.9,7.85,16.75,9.94,4.39,0.74,38.58,0.66,147.79,30.16,78.73,0.0,13-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
13-Nov-2020 - 00:00,9.84,49.1,8.95,7.82,16.75,9.93,3.86,0.71,24.1,0.73,162.78,29.88,87.65,0.01,14-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
14-Nov-2020 - 00:00,10.38,31.76,8.95,7.81,16.76,9.92,4.12,0.71,17.8,0.65,137.03,30.4,83.87,0.0,15-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
15-Nov-2020 - 00:00,10.61,32.1,8.96,7.77,16.73,9.92,3.68,0.74,17.22,0.83,124.5,30.88,78.19,0.0,16-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
16-Nov-2020 - 00:00,9.69,25.36,8.97,7.79,16.75,9.92,4.25,0.72,13.6,0.63,144.96,29.29,91.94,0.03,17-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
17-Nov-2020 - 00:00,9.5,19.71,8.97,7.77,16.74,9.92,7.62,0.71,14.84,0.76,202.93,29.02,85.96,0.96,18-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
18-Nov-2020 - 00:00,9.0,13.69,8.92,7.84,16.76,9.93,2.79,0.74,20.11,0.67,159.77,28.14,93.08,0.21,19-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
19-Nov-2020 - 00:00,10.67,26.38,8.91,7.88,16.78,9.92,3.34,0.72,17.43,0.66,140.42,29.61,86.97,0.0,20-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
20-Nov-2020 - 00:00,8.97,23.29,8.98,7.78,16.76,9.92,3.38,0.72,14.68,0.81,179.11,29.28,86.31,0.22,21-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
21-Nov-2020 - 00:00,9.49,21.91,8.96,7.79,16.75,9.93,3.6,0.72,18.99,0.74,145.97,28.55,82.16,0.0,22-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
22-Nov-2020 - 00:00,8.8,31.17,8.91,7.85,16.75,9.94,3.3,0.71,38.47,0.84,138.94,29.17,71.17,0.0,23-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
23-Nov-2020 - 00:00,9.44,31.89,8.92,7.84,16.76,9.94,4.8,0.71,41.81,0.71,143.23,28.58,74.69,0.0,24-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
24-Nov-2020 - 00:00,11.07,44.68,8.91,7.84,16.74,9.93,3.9,0.74,35.53,0.6,150.34,28.31,82.97,0.0,25-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
25-Nov-2020 - 00:00,13.45,47.18,8.9,7.87,16.77,9.93,4.57,0.73,18.45,0.84,209.51,28.53,91.35,0.0,26-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
26-Nov-2020 - 00:00,13.69,33.46,8.95,7.79,16.74,9.94,3.8,0.72,17.12,1.05,222.69,28.49,91.28,0.01,27-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
27-Nov-2020 - 00:00,13.57,25.38,8.96,7.77,16.74,9.92,3.63,0.74,22.27,0.74,162.12,28.51,87.97,0.02,28-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
28-Nov-2020 - 00:00,14.09,33.45,8.91,7.85,16.76,9.93,4.48,0.71,18.76,0.72,128.63,28.57,84.84,0.0,29-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
29-Nov-2020 - 00:00,14.11,25.16,8.93,7.79,16.73,9.92,3.87,0.74,26.36,0.68,169.0,29.32,79.46,0.0,30-Nov-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
30-Nov-2020 - 00:00,14.04,26.27,8.93,7.83,16.76,9.93,4.82,0.73,34.6,0.72,138.41,30.27,74.73,0.0,01-Dec-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
01-Dec-2020 - 00:00,12.88,36.7,8.95,7.63,16.59,9.92,3.67,0.77,,0.31,208.34,27.59,98.48,0.0,02-Dec-2020 - 00:00,"Udyogamandal, Eloor - Kerala PCB"
