from date,PM2.5,PM10,NO2,NOx,NH3,SO2,CO,Ozone,WS,WD,Temp,RH,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RF,BP,to date,station
21-Aug-2020 - 00:00,7.5,22.87,3.68,5.08,4.26,5.01,0.26,15.59,0.83,53.29,26.62,80.74,3.51,5.22,,,,,193.66,,809.0,22-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Aug-2020 - 00:00,6.69,16.75,3.74,5.16,4.28,5.0,0.23,16.45,0.75,59.6,27.44,75.47,3.5,5.27,,,,,245.39,,809.0,23-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Aug-2020 - 00:00,5.45,13.87,3.79,5.23,4.35,5.0,0.19,14.82,0.75,58.7,26.82,79.58,3.5,5.25,,,,,237.25,,809.0,24-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Aug-2020 - 00:00,7.48,15.5,4.12,5.68,4.8,5.01,0.25,15.43,0.71,58.42,27.33,74.94,3.51,5.21,,,,,230.51,,809.0,25-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Aug-2020 - 00:00,9.92,17.42,5.8,7.75,6.89,5.01,0.31,19.46,0.77,67.62,27.46,69.48,3.51,5.19,,,,,271.51,,809.0,26-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Aug-2020 - 00:00,10.24,18.21,6.05,8.06,7.2,5.0,0.37,19.63,0.76,66.53,27.63,67.35,3.5,5.25,,,,,261.3,,809.0,27-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Aug-2020 - 00:00,8.46,26.77,5.63,7.5,6.68,5.02,0.31,21.11,1.04,73.28,27.78,64.77,3.52,5.23,,,,,257.58,,809.0,28-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Aug-2020 - 00:00,11.07,29.58,5.44,7.19,6.36,5.0,0.27,21.7,0.85,61.9,27.72,66.22,3.5,5.2,,,,,267.93,,809.0,29-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Aug-2020 - 00:00,7.73,23.45,4.79,6.46,5.6,5.01,0.25,21.01,0.83,76.35,27.95,66.96,3.51,5.18,,,,,245.64,,809.0,30-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Aug-2020 - 00:00,6.33,13.07,4.72,6.39,5.54,4.99,0.28,19.81,0.82,71.31,28.08,69.26,3.49,5.17,,,,,246.17,,809.0,31-Aug-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Aug-2020 - 00:00,9.33,24.8,5.75,7.74,6.92,5.01,0.39,18.34,0.67,58.53,27.57,73.44,3.51,5.19,,,,,216.05,,809.0,01-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Sep-2020 - 00:00,9.46,30.79,6.22,8.17,7.38,4.99,0.39,21.31,0.85,78.82,26.81,80.64,3.49,5.2,,,,,203.61,,809.0,02-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Sep-2020 - 00:00,12.13,24.33,6.69,8.91,8.0,4.99,0.47,17.3,0.5,47.29,25.88,89.91,3.49,5.18,,,,,135.16,,809.0,03-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Sep-2020 - 00:00,10.3,19.71,6.07,7.71,6.96,5.03,0.48,27.7,0.48,59.5,26.91,82.59,3.53,5.2,,,,,140.87,,809.0,04-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Sep-2020 - 00:00,11.22,17.25,4.81,6.2,5.53,5.01,0.36,31.97,0.65,73.45,27.99,73.76,3.51,5.2,,,,,126.66,,809.0,05-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Sep-2020 - 00:00,9.33,20.57,5.58,7.15,6.44,4.99,0.41,28.94,0.55,60.03,27.77,76.32,3.49,5.2,,,,,129.2,,809.0,06-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Sep-2020 - 00:00,8.69,15.65,3.54,4.74,3.86,5.03,0.21,27.23,0.64,50.59,27.25,80.19,3.53,5.17,,,,,157.64,,809.0,07-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Sep-2020 - 00:00,5.15,17.78,3.96,5.4,4.63,5.0,0.29,19.19,0.71,52.18,26.32,82.66,3.5,5.17,,,,,206.79,,809.0,08-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Sep-2020 - 00:00,7.62,22.82,5.07,6.81,6.04,4.99,0.36,17.6,0.63,55.99,26.87,80.76,3.49,5.2,,,,,217.33,,809.0,09-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Sep-2020 - 00:00,5.25,12.87,4.63,6.23,5.43,5.0,0.26,19.95,0.6,56.52,26.86,81.12,3.5,5.22,,,,,235.21,,809.0,10-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Sep-2020 - 00:00,3.38,13.53,3.87,5.3,4.42,5.0,0.24,23.43,0.8,50.75,26.0,83.53,3.5,5.18,,,,,191.72,,809.0,11-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Sep-2020 - 00:00,9.15,25.67,3.65,5.04,4.17,5.02,0.23,20.41,0.84,47.17,25.62,85.56,3.52,5.2,,,,,179.85,,809.0,12-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Sep-2020 - 00:00,5.61,14.76,3.84,5.31,4.47,4.99,0.24,13.13,0.81,45.33,25.57,87.31,3.49,5.24,,,,,211.82,,809.0,13-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Sep-2020 - 00:00,5.65,16.57,3.59,4.99,4.07,5.0,0.22,15.87,0.7,42.77,25.58,88.17,3.5,5.18,,,,,234.02,,809.0,14-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Sep-2020 - 00:00,10.89,24.34,4.66,6.4,5.47,5.01,0.33,16.6,0.94,53.47,26.23,79.52,3.51,5.18,,,,,254.34,,809.0,15-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Sep-2020 - 00:00,7.16,19.87,4.13,5.7,4.8,5.0,0.21,16.67,0.91,60.58,26.42,79.4,3.5,5.25,,,,,223.57,,809.0,16-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Sep-2020 - 00:00,6.26,18.57,4.39,6.03,5.14,5.02,0.21,16.89,0.79,55.66,26.51,79.23,3.52,5.21,,,,,232.27,,809.0,17-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Sep-2020 - 00:00,7.12,29.03,4.02,5.51,4.59,5.01,0.25,17.7,0.87,62.31,26.73,77.09,3.51,5.18,,,,,238.96,,809.0,18-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Sep-2020 - 00:00,8.39,22.14,4.14,5.67,4.78,4.99,0.23,19.19,1.18,59.47,26.82,75.79,3.49,5.21,,,,,256.49,,809.0,19-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Sep-2020 - 00:00,4.44,15.66,3.45,4.78,3.95,5.0,0.21,19.72,1.17,46.86,25.77,83.92,3.5,5.23,,,,,225.45,,809.0,20-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Sep-2020 - 00:00,3.3,13.57,2.96,4.17,3.33,5.01,0.16,25.86,1.31,45.28,25.25,86.0,3.51,5.11,,,,,224.41,,809.0,21-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Sep-2020 - 00:00,5.9,11.64,4.24,5.69,5.46,4.99,0.27,17.82,1.39,53.45,26.31,79.85,3.52,5.15,,,,,237.85,,809.0,22-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Sep-2020 - 00:00,8.17,19.93,3.78,5.02,4.6,5.0,0.23,25.49,1.15,49.2,25.82,79.5,3.48,5.17,,,,,242.49,,809.0,23-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Sep-2020 - 00:00,7.76,22.51,3.98,5.33,4.74,4.99,0.34,21.58,0.8,49.94,26.01,77.95,3.51,5.2,,,,,212.5,,809.0,24-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Sep-2020 - 00:00,8.07,15.42,3.94,5.43,4.6,5.01,0.25,17.77,0.68,56.38,26.45,79.02,3.5,5.22,,,,,212.96,,809.0,25-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Sep-2020 - 00:00,7.68,19.2,4.03,5.56,4.75,4.99,0.27,17.66,0.88,63.21,26.89,75.57,3.52,5.19,,,,,238.85,,809.0,26-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Sep-2020 - 00:00,6.18,8.37,5.06,6.9,5.99,4.99,0.36,11.38,0.88,47.57,26.39,79.69,3.5,5.21,,,,,246.57,,809.0,27-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Sep-2020 - 00:00,6.61,9.24,4.66,6.26,5.29,5.02,0.27,18.47,0.76,56.38,26.93,73.72,3.51,5.23,,,,,256.96,,809.0,28-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Sep-2020 - 00:00,8.26,12.18,4.74,6.4,5.45,5.0,0.32,21.12,0.76,63.77,27.18,72.19,3.5,5.19,,,,,253.14,,809.0,29-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Sep-2020 - 00:00,11.27,34.42,4.6,6.17,5.32,5.0,0.32,20.09,0.74,57.58,26.87,79.82,3.52,5.23,,,,,237.28,,809.0,30-Sep-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Sep-2020 - 00:00,11.41,25.2,5.01,6.75,5.89,4.98,0.31,20.02,0.7,55.29,26.49,77.88,2.61,4.3,,,,,217.68,,809.0,01-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Oct-2020 - 00:00,12.89,25.47,5.21,7.02,6.05,5.02,0.32,21.74,0.74,58.34,26.59,72.97,1.5,3.19,,,,,254.94,,809.0,02-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Oct-2020 - 00:00,13.55,27.32,4.38,5.87,4.65,4.99,0.25,26.02,0.78,64.77,26.56,78.88,1.5,3.19,,,,,233.01,,809.0,03-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Oct-2020 - 00:00,11.97,26.23,4.29,5.82,4.89,5.01,0.45,21.12,0.66,39.5,26.31,81.6,1.5,3.23,,,,,231.1,,809.0,04-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Oct-2020 - 00:00,9.61,22.87,4.11,5.54,4.43,4.99,0.26,23.29,0.89,49.32,26.22,77.11,1.5,3.2,,,,,257.34,,809.0,05-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Oct-2020 - 00:00,15.53,26.17,6.14,8.12,7.17,5.02,0.42,22.05,0.76,62.83,26.55,74.32,1.5,3.22,,,,,234.61,,809.0,06-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Oct-2020 - 00:00,17.57,33.35,5.58,7.23,6.37,4.98,0.37,30.43,0.74,69.34,28.2,73.05,1.49,3.21,,,,,228.92,,809.0,07-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Oct-2020 - 00:00,13.8,27.49,6.61,8.49,7.5,5.0,0.41,29.67,0.8,60.39,27.25,84.62,1.5,3.2,,,,,228.04,,809.0,08-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Oct-2020 - 00:00,19.03,32.78,5.52,6.93,5.8,4.99,0.43,43.04,0.62,57.99,27.89,80.51,1.5,3.17,,,,,176.36,,809.0,09-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Oct-2020 - 00:00,18.1,38.35,5.86,7.43,6.09,5.02,0.54,35.28,0.56,50.16,27.18,86.74,1.5,3.2,,,,,188.55,,809.0,10-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Oct-2020 - 00:00,18.07,34.21,5.14,6.68,5.26,5.0,0.41,38.92,0.71,61.31,26.67,84.05,1.5,3.21,,,,,200.53,,809.0,11-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Oct-2020 - 00:00,16.31,29.42,4.73,6.15,6.58,5.04,0.1,41.25,0.76,54.41,26.01,83.94,1.51,3.19,,,,,237.9,,809.0,12-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Oct-2020 - 00:00,7.27,19.79,3.79,4.93,3.85,4.99,0.47,76.19,1.05,57.84,26.68,78.57,1.5,3.18,,,,,207.84,,809.0,13-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Oct-2020 - 00:00,9.82,21.38,3.48,4.67,3.51,5.01,0.29,51.48,1.15,92.7,25.58,81.79,1.46,3.16,,,,,221.43,,809.0,14-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Oct-2020 - 00:00,8.72,16.77,3.29,4.5,3.46,5.0,0.22,40.4,1.3,124.08,25.44,78.98,1.34,3.05,,,,,198.34,,809.0,15-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Oct-2020 - 00:00,10.07,16.82,3.79,5.16,3.81,5.0,0.31,30.56,0.89,118.98,25.82,77.03,1.3,3.0,,,,,204.35,,813.22,16-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Oct-2020 - 00:00,16.11,23.32,3.78,5.06,3.82,4.99,0.39,38.98,0.8,127.05,26.42,72.22,1.25,3.05,,,,,228.87,,819.54,17-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Oct-2020 - 00:00,18.17,28.65,4.44,5.86,4.49,5.02,0.42,37.74,0.68,130.07,26.66,70.7,1.2,3.11,,,,,225.68,,821.07,18-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Oct-2020 - 00:00,14.93,27.87,3.75,5.09,3.72,5.03,0.35,32.16,0.74,136.99,26.74,75.23,1.21,3.1,,,,,226.46,,827.17,19-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Oct-2020 - 00:00,12.86,25.03,4.29,5.87,4.47,5.65,0.48,24.76,0.78,115.71,26.4,82.56,1.14,3.16,,,,,235.32,,817.49,20-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Oct-2020 - 00:00,11.54,18.72,4.61,7.34,4.24,6.22,0.44,21.47,0.64,107.78,26.22,86.41,1.1,3.2,,,,,231.93,,815.96,21-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Oct-2020 - 00:00,17.29,28.96,8.91,14.15,9.74,6.2,0.46,24.48,0.65,113.65,26.55,84.01,1.1,3.2,,,,,225.08,,817.72,22-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Oct-2020 - 00:00,8.74,19.57,9.71,16.2,10.99,6.18,0.3,40.2,0.92,122.31,26.93,81.3,1.09,3.2,,,,,199.54,,820.51,23-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Oct-2020 - 00:00,13.77,23.85,10.44,20.31,13.3,6.22,0.36,34.61,0.78,129.01,27.99,76.6,1.1,3.19,,,,,217.19,,823.96,24-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Oct-2020 - 00:00,15.42,23.94,14.17,27.96,17.93,6.2,0.47,27.66,0.64,122.03,26.76,68.67,1.1,3.19,,,,,250.25,,819.39,25-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Oct-2020 - 00:00,20.14,28.83,15.03,25.12,16.68,6.2,0.55,27.87,0.46,132.15,27.07,65.63,1.1,3.19,,,,,219.87,,823.8,26-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Oct-2020 - 00:00,15.21,23.77,18.1,25.13,17.11,6.21,0.49,38.36,0.63,131.43,27.67,70.21,1.1,3.2,,,,,137.32,,823.55,27-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Oct-2020 - 00:00,34.69,73.16,29.9,45.75,31.26,6.18,0.87,50.51,0.55,132.23,27.33,64.99,1.1,3.2,,,,,94.74,,824.82,28-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Oct-2020 - 00:00,30.17,54.15,30.71,46.23,31.79,6.18,0.71,48.46,0.84,132.21,27.18,60.8,1.1,3.2,,,,,82.43,,825.11,29-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Oct-2020 - 00:00,37.02,81.99,32.38,47.44,32.65,6.18,0.71,52.89,0.94,129.48,26.73,61.86,1.1,3.21,,,,,107.35,,824.36,30-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Oct-2020 - 00:00,30.23,76.66,34.65,51.82,35.35,6.21,0.84,62.19,0.71,132.09,26.82,59.19,1.1,3.19,,,,,60.54,,825.52,31-Oct-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
31-Oct-2020 - 00:00,42.78,102.12,37.0,67.99,45.5,6.17,1.18,51.51,0.6,132.01,27.19,62.82,1.09,3.2,,,,,86.45,,825.31,01-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Nov-2020 - 00:00,41.36,84.88,24.47,36.76,25.38,6.23,0.74,53.74,0.55,134.01,27.37,72.33,1.11,3.21,,,,,93.18,,826.63,02-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
02-Nov-2020 - 00:00,36.51,62.72,22.01,32.4,22.65,6.21,0.77,52.61,0.58,136.49,27.72,72.42,1.1,3.19,,,,,162.39,,827.51,03-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
03-Nov-2020 - 00:00,33.56,53.13,24.02,42.77,29.08,6.21,0.83,44.06,0.65,123.03,27.66,73.53,1.1,3.19,,,,,72.17,,821.51,04-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
04-Nov-2020 - 00:00,34.52,56.14,27.25,36.84,26.04,6.19,0.72,41.96,0.85,131.88,27.95,71.85,1.1,3.19,,,,,28.82,,824.52,05-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
05-Nov-2020 - 00:00,21.88,36.87,18.89,28.55,19.83,6.18,0.52,36.9,1.18,114.79,27.29,79.56,1.1,3.21,,,,,265.98,,817.54,06-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
06-Nov-2020 - 00:00,10.07,22.36,14.68,28.33,18.84,6.0,0.51,25.78,0.87,118.43,26.97,81.73,1.05,3.11,,,,,217.19,,819.12,07-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
07-Nov-2020 - 00:00,15.67,20.33,15.51,32.4,21.28,5.8,0.53,23.21,0.98,123.11,27.18,77.81,1.0,2.99,,,,,203.49,,821.09,08-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
08-Nov-2020 - 00:00,10.63,13.7,30.5,51.43,34.55,5.79,0.9,18.04,0.47,122.67,26.8,77.69,1.0,2.99,,,,,34.39,,821.54,09-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
09-Nov-2020 - 00:00,9.4,17.85,27.98,39.99,28.92,5.82,0.73,45.02,1.02,124.86,27.09,73.56,1.0,2.99,,,,,227.94,,821.95,10-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
10-Nov-2020 - 00:00,41.39,100.69,33.86,72.36,48.57,5.84,1.22,58.17,0.83,122.11,25.55,62.84,1.01,3.01,,,,,425.56,,821.17,11-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
11-Nov-2020 - 00:00,38.49,81.09,34.48,54.48,38.11,5.83,0.85,50.12,0.66,121.42,25.67,61.92,1.0,3.01,,,,,516.22,,821.25,12-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
12-Nov-2020 - 00:00,26.03,59.97,25.35,39.84,28.07,5.78,0.65,26.65,1.14,126.76,26.93,74.45,1.0,3.01,,,,,464.3,,823.64,13-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
13-Nov-2020 - 00:00,13.05,41.44,14.96,30.86,20.75,5.82,0.49,19.78,1.29,109.95,26.21,87.35,1.0,3.0,,,,,454.15,,816.79,14-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
14-Nov-2020 - 00:00,14.37,36.85,13.89,25.55,17.4,6.41,0.44,21.69,1.22,114.27,26.68,80.88,1.0,3.0,,,,,370.66,,817.63,15-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
15-Nov-2020 - 00:00,16.71,34.15,16.23,24.04,16.6,7.42,0.41,25.89,1.05,104.56,25.88,87.58,1.0,3.0,,,,,235.89,,813.82,16-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
16-Nov-2020 - 00:00,9.83,24.28,11.05,19.32,13.1,7.92,0.36,21.08,1.41,98.94,26.08,92.1,1.0,3.0,,,,,301.71,,811.19,17-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
17-Nov-2020 - 00:00,7.07,24.72,10.54,16.11,11.63,7.95,0.27,23.22,1.36,112.74,26.4,85.14,1.01,3.0,,,,,363.9,,816.4,18-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
18-Nov-2020 - 00:00,12.69,31.39,12.95,21.77,15.3,7.32,0.35,20.59,1.08,117.24,26.52,82.89,1.03,2.97,,,,,357.06,,818.07,19-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
19-Nov-2020 - 00:00,12.54,30.75,16.33,23.06,17.14,5.88,0.35,20.07,1.14,119.86,26.63,78.29,1.09,2.9,,,,,180.94,,818.53,20-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
20-Nov-2020 - 00:00,15.81,28.17,21.96,32.03,22.55,5.91,0.46,21.41,0.84,118.37,26.44,74.41,1.1,2.9,,,,,331.98,,818.17,21-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
21-Nov-2020 - 00:00,20.45,47.03,26.8,50.1,33.15,5.9,0.65,39.92,0.74,123.09,26.22,61.84,1.1,2.9,,,,,514.1,,820.49,22-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
22-Nov-2020 - 00:00,17.34,45.55,30.22,49.54,32.5,5.91,0.49,49.33,0.81,125.63,25.5,56.15,1.1,2.9,,,,,538.71,,822.93,23-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
23-Nov-2020 - 00:00,29.43,62.77,29.53,51.65,34.09,5.92,0.79,41.07,0.89,121.88,25.76,65.74,1.1,2.9,,,,,512.54,,821.59,24-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
24-Nov-2020 - 00:00,28.43,64.04,24.4,42.82,28.25,5.93,0.67,36.15,1.04,124.71,26.37,73.23,1.11,2.9,,,,,472.28,,822.44,25-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
25-Nov-2020 - 00:00,33.24,105.1,25.65,40.12,27.89,6.38,0.6,43.84,1.22,122.89,26.45,72.23,1.05,2.8,,,,,492.5,,821.9,26-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
26-Nov-2020 - 00:00,18.75,44.5,22.43,44.77,29.72,6.95,0.71,26.76,0.62,108.56,26.02,82.3,1.01,2.7,,,,,536.13,,816.57,27-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
27-Nov-2020 - 00:00,15.49,38.37,19.88,36.47,24.52,6.92,0.48,24.54,1.04,120.35,26.03,74.38,1.0,2.7,,,,,318.64,,819.89,28-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
28-Nov-2020 - 00:00,11.27,30.25,17.79,25.6,17.52,6.89,0.33,39.89,0.97,124.24,25.75,78.25,1.0,2.71,,,,,470.64,,821.98,29-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
29-Nov-2020 - 00:00,17.43,37.62,16.78,26.37,17.26,6.87,0.39,26.47,1.21,117.0,26.23,80.58,1.0,2.69,,,,,461.41,,819.18,30-Nov-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
30-Nov-2020 - 00:00,15.08,34.89,17.07,29.75,19.75,6.39,0.46,27.5,1.01,115.49,26.41,80.35,1.0,2.7,,,,,468.23,,818.41,01-Dec-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
01-Dec-2020 - 00:00,,,16.71,23.83,17.56,5.94,0.28,18.75,0.81,110.12,25.37,83.72,1.01,2.6,,,,,390.21,,818.35,02-Dec-2020 - 00:00,"Hebbal 1st Stage, Mysuru - KSPCB"
