from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
30-Jul-2020 - 00:00,725.48,67.92,16.78,176.48,1.34,0.68,0.26,1.31,0.57,0.81,54.54,2.52,34.97,37.41,40.99,7.61,31-Jul-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Jul-2020 - 00:00,724.95,73.27,24.34,212.48,1.21,0.54,0.22,1.18,0.54,0.62,61.36,1.6,42.69,44.14,49.32,10.87,01-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Aug-2020 - 00:00,724.77,51.62,20.48,213.69,1.39,0.62,0.24,1.29,0.6,0.77,61.7,2.61,42.87,45.43,34.22,9.76,02-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Aug-2020 - 00:00,723.52,43.27,22.89,267.45,1.44,0.39,0.13,0.79,0.33,0.72,62.25,2.17,40.48,42.57,44.11,8.85,03-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Aug-2020 - 00:00,721.15,47.73,26.49,205.65,1.68,0.5,0.2,1.56,0.65,0.49,67.15,2.51,47.53,49.99,40.9,11.09,04-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Aug-2020 - 00:00,718.72,52.04,23.89,208.42,1.38,0.81,0.26,1.76,0.72,0.54,55.79,2.42,37.36,39.75,29.75,7.67,05-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Aug-2020 - 00:00,718.87,55.94,20.17,74.64,1.72,0.54,0.13,0.81,0.33,0.4,54.39,2.89,33.47,36.29,30.81,11.68,06-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Aug-2020 - 00:00,719.82,60.98,15.96,58.81,2.49,0.36,0.02,0.09,0.04,0.72,41.32,1.47,18.62,19.99,33.82,7.78,07-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Aug-2020 - 00:00,722.52,20.38,9.95,89.89,1.6,0.31,0.03,0.2,0.08,0.47,40.28,1.69,18.13,19.68,26.53,10.61,08-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Aug-2020 - 00:00,722.69,28.28,10.49,183.0,1.25,0.55,0.24,1.42,0.62,0.78,44.73,2.25,25.72,27.92,21.26,8.64,09-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Aug-2020 - 00:00,722.16,27.88,13.41,249.2,1.09,0.58,0.2,1.25,0.54,0.7,32.9,2.1,18.71,20.65,21.01,7.24,10-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Aug-2020 - 00:00,722.71,25.11,10.79,181.57,1.22,0.98,0.52,3.21,1.5,0.75,25.26,1.97,15.34,17.26,23.27,9.42,11-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Aug-2020 - 00:00,724.03,30.21,13.76,253.3,1.37,0.83,0.44,2.8,1.19,0.7,46.26,4.44,24.42,28.81,19.64,8.47,12-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Aug-2020 - 00:00,722.65,35.67,14.3,218.01,1.29,0.5,0.32,1.98,0.87,0.71,45.83,3.0,25.92,28.87,17.4,10.38,13-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Aug-2020 - 00:00,721.29,68.37,28.62,210.32,1.32,1.09,0.42,2.58,1.17,0.82,45.72,3.79,24.99,28.77,14.0,7.83,14-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Aug-2020 - 00:00,720.13,28.64,15.71,198.84,1.38,1.25,0.62,3.82,1.51,0.62,48.45,6.11,27.41,33.49,14.4,9.03,15-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Aug-2020 - 00:00,720.19,28.05,15.18,131.65,1.27,0.65,0.35,1.88,0.77,0.55,26.61,1.52,13.65,15.14,17.82,10.38,16-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Aug-2020 - 00:00,721.35,30.48,14.69,195.2,1.26,0.78,0.39,2.19,1.01,0.34,30.38,1.91,15.6,17.46,17.27,8.43,17-Aug-2020 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
