from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,RH,SR,RF,to date,station
22-May-2020 - 00:00,14.37,24.7,20.62,79.1,75.38,15.04,12.24,1.39,1.02,0.0,0.0,0.0,0.0,0.58,2.18,80.17,270.82,1.35,23-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
23-May-2020 - 00:00,21.92,45.52,19.27,78.15,74.69,12.73,11.8,1.58,1.08,0.0,0.05,0.01,0.04,0.7,2.32,74.38,306.78,0.0,24-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
24-May-2020 - 00:00,16.74,47.03,18.86,78.89,75.52,12.65,11.87,1.38,1.16,0.0,0.0,0.0,0.0,0.82,2.31,73.86,330.25,0.0,25-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
25-May-2020 - 00:00,18.99,50.54,21.18,81.93,78.09,13.44,11.75,1.47,1.17,0.0,0.0,0.0,0.0,0.72,2.32,76.34,306.71,1.19,26-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
26-May-2020 - 00:00,22.59,41.55,22.53,83.81,79.7,13.73,11.4,1.48,1.17,0.0,0.0,0.0,0.0,0.65,2.27,77.13,305.03,0.01,27-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
27-May-2020 - 00:00,15.3,38.53,22.22,85.83,81.79,14.03,11.66,1.58,1.2,0.0,0.06,0.01,0.0,0.7,2.34,77.62,290.13,0.14,28-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
28-May-2020 - 00:00,7.53,26.02,25.05,94.37,89.76,17.1,11.82,1.45,1.13,0.0,0.0,0.0,0.0,0.98,2.29,80.42,272.23,0.69,29-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
29-May-2020 - 00:00,20.13,53.36,24.55,92.05,87.54,16.51,12.01,1.72,1.3,0.0,0.0,0.0,0.0,0.72,2.35,75.08,268.3,0.0,30-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
30-May-2020 - 00:00,15.74,45.12,22.34,85.77,81.7,13.94,12.02,1.73,1.24,0.0,0.0,0.0,0.0,0.84,2.24,78.42,229.69,0.0,31-May-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
31-May-2020 - 00:00,8.73,16.12,19.73,80.18,76.64,12.17,11.83,1.29,1.22,0.0,0.0,0.0,0.0,1.45,2.37,75.36,308.81,0.04,01-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
01-Jun-2020 - 00:00,11.05,20.12,18.87,74.31,70.94,11.42,13.15,1.34,1.2,0.0,0.0,0.0,0.0,0.98,2.51,80.12,283.55,0.6,02-Jun-2020 - 00:00,"Vyttila, Kochi - Kerala PCB"
