from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,RH,BP,SR,WS,WD,to date,station
10-Mar-2020 - 00:00,36.44,101.45,17.62,10.47,28.08,9.5,12.49,0.59,33.92,0.78,0.52,1.46,24.23,74.04,,217.42,0.66,145.73,11-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
11-Mar-2020 - 00:00,9.69,42.73,18.58,9.04,27.62,7.32,12.01,0.28,38.9,0.29,0.33,0.89,23.95,65.28,,240.81,0.83,164.5,12-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
12-Mar-2020 - 00:00,13.12,55.84,26.78,14.25,41.04,5.28,12.52,0.34,36.95,0.46,0.58,1.5,23.15,65.88,,261.4,0.94,164.71,13-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
13-Mar-2020 - 00:00,22.02,115.36,36.12,14.34,50.48,4.27,14.13,0.36,49.91,0.51,0.65,1.69,22.71,58.81,,245.54,0.97,145.96,14-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
14-Mar-2020 - 00:00,28.31,126.67,35.58,12.12,47.71,4.52,15.19,0.45,58.0,0.69,0.82,2.23,24.01,52.94,,266.04,0.95,142.89,15-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
15-Mar-2020 - 00:00,50.16,178.57,46.94,45.8,92.73,4.57,17.98,0.95,43.3,1.61,2.13,6.29,24.7,54.21,,187.49,0.64,137.56,16-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
16-Mar-2020 - 00:00,57.52,164.04,56.09,78.47,132.66,6.81,23.58,1.37,52.6,1.87,2.75,8.6,26.78,48.17,,253.46,0.74,164.98,17-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
17-Mar-2020 - 00:00,78.03,177.23,47.45,125.71,166.74,8.31,23.09,1.87,58.36,2.86,4.31,14.2,26.37,56.05,,246.52,0.78,162.11,18-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
18-Mar-2020 - 00:00,47.08,119.51,43.5,19.76,63.26,12.21,16.06,0.86,46.17,1.35,1.95,5.7,26.3,61.03,,261.53,0.71,173.96,19-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
19-Mar-2020 - 00:00,23.74,81.76,22.92,10.68,33.59,15.23,14.56,0.46,45.8,0.69,0.73,1.96,25.88,66.23,,321.37,0.7,165.4,20-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
20-Mar-2020 - 00:00,9.87,46.67,12.4,9.57,21.97,13.35,12.54,0.35,28.73,0.38,0.32,1.2,24.95,73.63,,278.15,0.68,162.67,21-Mar-2020 - 00:00,"Vile Parle West, Mumbai - MPCB"
