from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
03-Mar-2020 - 00:00,37.55,94.97,55.19,141.9,28.36,711.52,167.94,0.0,1.34,0.0,0.0,37.83,30.68,5.1,20.32,26.25,1.57,4.51,11.47,2.7,04-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
04-Mar-2020 - 00:00,35.97,111.56,52.74,156.7,28.5,711.04,210.14,0.0,1.09,0.0,0.0,30.63,35.79,6.31,23.41,25.24,3.41,6.4,16.93,2.38,05-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
05-Mar-2020 - 00:00,43.26,120.97,48.2,157.64,28.71,710.43,207.7,-0.0,1.03,0.0,0.0,34.16,39.37,7.05,25.02,26.21,6.07,9.84,18.09,5.76,06-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
06-Mar-2020 - 00:00,25.15,86.1,59.0,161.54,28.13,710.64,166.45,0.0,1.72,0.0,0.0,26.15,26.06,5.23,17.22,22.99,2.96,3.0,10.98,1.15,07-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
07-Mar-2020 - 00:00,28.77,87.48,62.78,144.22,28.02,712.05,146.45,0.0,1.43,0.0,0.0,29.22,26.12,5.31,17.79,21.74,2.06,4.2,12.44,1.95,08-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
08-Mar-2020 - 00:00,24.7,60.79,66.72,135.42,28.03,711.86,95.34,0.0,1.86,0.0,0.0,29.31,21.11,4.95,15.0,18.2,3.11,2.83,8.37,1.65,09-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
09-Mar-2020 - 00:00,23.1,69.43,63.91,89.21,27.96,711.11,103.73,-0.0,1.88,0.0,0.0,20.96,5.58,9.1,7.95,3.78,2.15,4.32,15.42,3.06,10-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
10-Mar-2020 - 00:00,16.86,53.57,57.85,148.83,28.01,710.67,138.46,0.0,1.94,0.46,0.0,24.5,13.57,5.89,10.6,10.18,2.33,3.48,10.47,1.6,11-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
11-Mar-2020 - 00:00,21.49,68.85,61.23,111.22,28.16,711.07,145.51,0.0,1.6,0.0,0.2,25.4,29.57,4.51,19.4,19.7,1.8,3.93,10.91,2.85,12-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
12-Mar-2020 - 00:00,23.77,77.54,65.07,108.96,28.27,711.96,109.24,0.0,1.5,0.0,0.43,26.22,33.43,5.15,21.87,18.9,2.56,6.43,22.6,3.46,13-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
13-Mar-2020 - 00:00,17.58,69.08,56.62,174.12,28.3,712.03,137.53,0.0,2.2,0.0,0.28,22.94,28.19,4.82,18.62,18.48,2.95,3.14,11.72,2.04,14-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
14-Mar-2020 - 00:00,21.47,74.31,58.67,119.01,28.14,711.58,143.4,0.0,1.52,0.0,0.41,24.2,28.86,5.09,19.35,18.59,2.5,6.13,21.51,2.62,15-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
15-Mar-2020 - 00:00,24.11,74.17,55.34,174.39,27.81,711.65,99.38,0.0,1.87,0.0,0.3,28.18,27.01,4.89,18.34,17.75,3.01,4.77,17.33,1.92,16-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
16-Mar-2020 - 00:00,17.46,59.15,56.16,176.5,28.05,712.52,105.32,0.0,1.84,0.0,0.32,21.92,24.92,4.78,17.13,17.64,2.72,4.24,17.04,2.71,17-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
17-Mar-2020 - 00:00,13.42,59.1,48.55,179.36,28.14,713.09,108.23,0.0,2.33,0.0,0.23,24.68,22.12,4.43,15.38,17.29,1.83,3.68,12.51,2.29,18-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
18-Mar-2020 - 00:00,16.2,60.78,46.9,178.08,28.06,711.86,144.66,0.0,1.26,0.0,0.34,22.83,24.75,4.28,16.65,18.48,3.24,3.73,13.55,2.84,19-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
19-Mar-2020 - 00:00,32.82,93.52,55.65,140.54,28.2,709.99,125.05,0.0,1.28,0.0,0.65,31.97,30.88,4.36,19.99,18.99,3.08,7.5,29.18,5.99,20-Mar-2020 - 00:00,"Central University, Hyderabad - TSPCB"
