from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,Benzene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
07-Oct-2020 - 00:00,34.04,316.04,128.67,986.04,234.38,0.39,54.34,60.93,,26.16,24.6,36.5,64.21,63.91,62.86,13.48,1.34,08-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Oct-2020 - 00:00,34.26,298.67,110.22,986.36,241.11,0.4,53.79,56.6,,20.58,24.86,18.22,64.57,49.19,83.34,14.69,1.25,09-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Oct-2020 - 00:00,34.21,302.68,120.42,986.53,217.83,0.29,54.01,56.56,,26.04,25.67,16.5,60.67,45.72,66.15,14.15,1.38,10-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Oct-2020 - 00:00,34.25,288.43,121.94,985.28,229.01,0.27,54.97,53.6,,30.85,27.22,9.85,56.97,38.33,46.4,15.94,1.54,11-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Oct-2020 - 00:00,34.22,305.82,135.16,983.38,246.7,0.34,54.31,52.56,,53.93,25.66,9.04,60.3,39.44,59.38,16.38,1.4,12-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Oct-2020 - 00:00,33.78,367.51,166.88,982.01,178.5,0.23,55.27,52.47,,73.84,27.03,46.11,76.19,78.12,51.3,16.29,1.56,13-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Oct-2020 - 00:00,33.82,335.22,167.42,982.82,78.08,0.39,61.71,49.89,,73.56,34.99,38.79,69.34,74.06,57.75,13.88,2.13,14-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Oct-2020 - 00:00,33.89,289.97,157.01,984.38,126.31,0.17,62.48,47.55,,38.3,30.32,18.58,58.39,46.2,39.28,10.85,1.38,15-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Oct-2020 - 00:00,33.65,385.73,186.45,985.0,212.65,0.31,51.29,52.1,,71.8,22.9,43.04,71.64,73.19,39.54,15.75,1.71,16-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Oct-2020 - 00:00,32.63,353.97,160.61,984.73,178.69,0.22,47.62,52.35,,87.35,21.78,46.75,70.7,75.71,76.92,18.88,1.39,17-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Oct-2020 - 00:00,32.7,392.74,182.56,985.47,145.81,0.22,50.9,49.6,,95.48,26.75,46.16,78.49,79.38,24.58,15.97,1.94,18-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Oct-2020 - 00:00,33.21,317.83,143.91,985.44,234.89,0.32,45.51,50.87,,55.97,23.58,10.91,62.83,42.31,,16.65,1.4,19-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Oct-2020 - 00:00,33.01,357.45,161.32,985.24,261.66,0.36,44.31,49.26,,56.42,24.85,13.64,69.24,47.95,81.1,16.54,1.41,20-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Oct-2020 - 00:00,32.17,356.79,150.41,984.94,206.85,0.29,44.98,49.5,,91.15,24.41,45.82,80.46,81.36,46.28,17.33,1.61,21-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Oct-2020 - 00:00,32.22,335.92,158.74,985.97,113.36,0.22,48.53,50.47,,108.24,27.27,85.45,79.12,129.06,44.45,17.42,2.68,22-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Oct-2020 - 00:00,31.7,475.25,233.55,984.78,103.08,0.18,52.1,43.15,,96.65,29.63,81.54,82.23,136.57,39.36,18.48,2.25,23-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Oct-2020 - 00:00,31.14,500.45,288.23,984.55,154.29,0.22,54.13,48.59,,107.35,30.64,76.92,87.47,112.57,55.26,17.46,2.33,24-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Oct-2020 - 00:00,30.89,489.93,262.64,985.5,154.88,0.24,54.84,47.55,,119.01,31.89,80.69,85.87,134.0,59.33,16.34,2.5,25-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Oct-2020 - 00:00,31.03,514.6,284.32,987.86,105.96,0.2,56.1,47.7,,124.67,33.68,76.44,91.28,142.5,72.46,16.03,1.48,26-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Oct-2020 - 00:00,31.43,483.24,245.6,989.26,207.63,0.28,52.13,40.99,,84.45,30.84,64.55,82.28,118.86,71.67,16.04,1.37,27-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Oct-2020 - 00:00,30.41,417.17,218.29,989.12,202.57,0.28,49.12,45.69,,65.21,26.39,43.76,69.37,72.57,48.95,12.93,1.38,28-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Oct-2020 - 00:00,29.76,491.3,263.42,989.8,150.23,0.2,51.49,43.29,,96.98,29.82,76.29,93.24,112.38,59.5,14.84,1.83,29-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Oct-2020 - 00:00,29.62,564.98,335.19,990.68,85.68,0.14,57.68,44.46,,138.78,37.01,88.86,108.13,161.25,28.58,9.73,2.19,30-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Oct-2020 - 00:00,30.51,512.8,296.66,990.29,215.82,0.27,51.51,43.54,,116.23,29.58,54.78,78.04,86.17,2.02,4.14,1.63,31-Oct-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Oct-2020 - 00:00,30.46,551.28,347.27,990.16,240.96,0.35,49.16,44.89,,67.15,29.63,22.36,74.18,57.16,21.78,8.84,1.44,01-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Nov-2020 - 00:00,29.9,537.42,352.85,990.83,210.9,0.31,45.65,43.56,,56.29,1.18,23.66,75.74,59.56,29.8,14.61,1.35,02-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Nov-2020 - 00:00,28.89,462.04,253.28,991.56,151.89,0.26,48.57,42.09,,65.09,27.26,31.62,80.77,115.54,27.9,12.56,2.26,03-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Nov-2020 - 00:00,28.92,401.79,193.65,990.98,122.7,0.23,48.99,92.91,,111.55,34.36,75.64,93.77,152.2,32.28,11.32,3.01,04-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Nov-2020 - 00:00,28.34,635.35,418.12,989.73,129.58,0.21,56.45,65.9,,108.78,52.29,76.46,101.23,134.91,32.82,14.54,3.93,05-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Nov-2020 - 00:00,29.12,572.04,354.4,990.94,119.26,0.21,54.34,89.67,,112.76,48.92,82.05,86.19,113.36,50.62,12.8,2.8,06-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Nov-2020 - 00:00,29.3,581.21,366.98,993.66,156.25,0.23,52.96,81.09,,133.24,54.48,85.03,100.36,125.85,40.23,16.29,2.81,07-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Nov-2020 - 00:00,28.96,685.11,456.09,994.53,160.33,0.26,53.46,80.98,,82.14,55.85,78.91,103.31,125.03,39.93,14.27,3.01,08-Nov-2020 - 00:00,"Jahangirpuri, Delhi - DPCC"
