from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
15-Apr-2020 - 00:00,,68.95,6.92,13.93,7.02,13.23,1.23,0.13,20.74,0.65,1.84,2.47,29.02,74.44,,436.08,1.11,193.21,16-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
16-Apr-2020 - 00:00,,62.08,6.77,14.43,7.66,9.37,1.32,0.09,18.43,3.76,3.13,13.12,29.19,74.83,,445.7,1.44,200.43,17-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
17-Apr-2020 - 00:00,,58.64,4.24,16.26,12.03,7.88,1.25,0.05,15.42,9.03,0.8,3.79,28.72,77.24,,389.67,1.32,214.17,18-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
18-Apr-2020 - 00:00,,57.71,4.48,13.76,9.3,10.35,1.32,0.03,15.68,0.53,1.06,1.81,29.15,74.76,,444.34,1.4,227.46,19-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
19-Apr-2020 - 00:00,,69.54,8.04,18.85,10.81,10.19,1.43,0.05,19.16,11.9,1.71,3.39,30.02,71.49,,440.74,1.54,210.18,20-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
20-Apr-2020 - 00:00,,88.48,14.42,22.11,7.69,24.8,1.3,0.17,16.22,1.1,1.26,7.56,31.51,55.79,,485.07,1.66,223.42,21-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
21-Apr-2020 - 00:00,,61.89,8.56,13.32,4.76,17.62,1.32,0.09,16.93,6.68,1.05,4.9,29.48,65.41,,520.22,1.26,242.25,22-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
22-Apr-2020 - 00:00,,60.97,3.83,10.04,6.21,9.01,1.22,0.02,16.6,6.68,0.78,2.28,29.1,74.35,,470.09,1.43,227.19,23-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
23-Apr-2020 - 00:00,,66.13,4.14,15.79,11.65,6.75,1.24,0.03,15.25,0.85,0.99,2.52,29.54,73.58,,467.82,1.33,245.05,24-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
24-Apr-2020 - 00:00,,53.52,2.84,10.84,9.02,5.4,1.25,0.02,12.58,4.4,0.83,1.58,29.61,72.84,,479.9,1.53,219.41,25-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
25-Apr-2020 - 00:00,,51.58,4.1,11.55,7.46,6.08,1.56,0.01,17.54,23.42,0.79,1.39,29.24,70.18,,481.62,1.43,247.61,26-Apr-2020 - 00:00,"Kurla, Mumbai - MPCB"
