from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
03-Mar-2020 - 00:00,41.82,40.96,22.91,40.71,41.35,75.83,1.67,214.57,112.95,1.47,9.19,21.4,27.24,745.77,52.83,0.0,1.45,245.41,82.19,04-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Mar-2020 - 00:00,21.99,20.84,11.12,47.62,35.02,92.22,1.5,161.43,78.98,1.1,5.2,20.71,28.9,745.79,53.82,0.15,2.59,119.52,76.16,05-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Mar-2020 - 00:00,9.71,8.12,3.5,43.56,23.2,80.84,0.92,73.71,37.34,0.65,2.54,19.59,31.02,745.61,58.73,0.11,4.53,158.33,84.0,06-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Mar-2020 - 00:00,9.98,6.58,2.51,28.2,15.22,89.93,1.07,27.08,16.64,0.3,1.44,17.16,27.61,745.73,66.43,0.84,6.22,199.31,59.27,07-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Mar-2020 - 00:00,20.44,18.21,8.9,27.72,14.88,62.16,1.27,67.09,35.52,0.63,3.36,17.42,28.93,745.61,66.49,0.0,2.84,129.22,57.92,08-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Mar-2020 - 00:00,45.52,50.81,32.6,26.63,16.89,46.43,1.48,131.11,66.11,1.22,9.17,17.64,27.91,745.35,64.24,0.0,2.08,250.08,79.09,09-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Mar-2020 - 00:00,43.56,36.17,15.89,27.99,27.34,52.6,1.35,176.27,64.9,0.87,7.55,18.56,29.46,745.35,54.79,0.0,4.0,255.48,94.12,10-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Mar-2020 - 00:00,36.3,31.5,14.89,31.98,28.05,71.11,1.29,192.49,101.22,1.28,6.66,19.26,30.46,745.2,52.38,0.0,2.01,216.03,80.49,11-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Mar-2020 - 00:00,15.88,11.17,3.23,34.9,28.44,90.96,0.88,119.9,64.92,1.07,1.85,20.56,30.1,745.36,55.59,0.0,4.95,100.09,82.78,12-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Mar-2020 - 00:00,19.3,13.02,3.27,37.55,19.06,68.53,1.44,150.25,66.29,0.86,2.76,21.55,29.39,745.04,56.46,0.0,2.72,118.89,82.3,13-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Mar-2020 - 00:00,11.47,9.14,3.89,36.18,21.29,85.49,0.84,113.76,46.39,0.69,2.01,21.19,30.76,745.0,54.72,0.0,3.64,141.94,86.41,14-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Mar-2020 - 00:00,18.25,11.29,3.2,30.25,17.46,64.25,1.27,60.39,29.52,0.44,1.89,18.63,28.97,745.22,61.95,0.02,3.37,129.95,72.99,15-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Mar-2020 - 00:00,33.28,29.9,14.88,28.16,20.09,63.33,1.04,89.45,36.79,0.72,2.39,18.76,28.82,745.16,57.33,0.0,1.61,151.34,82.04,16-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Mar-2020 - 00:00,51.63,37.76,12.54,33.97,35.2,54.36,1.28,178.55,79.61,1.03,5.64,19.58,29.94,745.08,57.77,0.0,2.26,235.81,81.32,17-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Mar-2020 - 00:00,41.08,30.96,10.99,31.16,40.74,78.72,1.37,163.76,65.16,0.89,7.68,20.65,27.15,745.42,54.25,0.0,3.33,226.94,98.4,18-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Mar-2020 - 00:00,44.97,30.54,8.02,36.07,51.74,59.64,1.45,184.56,82.8,1.25,8.62,21.74,28.83,745.29,53.04,0.0,3.15,256.47,91.34,19-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Mar-2020 - 00:00,37.28,27.68,9.74,36.39,64.71,93.45,1.64,209.52,108.41,1.44,9.63,22.58,29.08,745.06,53.88,0.0,1.95,246.66,88.29,20-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Mar-2020 - 00:00,43.26,49.61,32.58,39.41,38.84,84.8,1.59,244.79,109.31,1.56,8.04,23.2,28.01,744.44,52.28,0.0,1.7,152.24,80.06,21-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Mar-2020 - 00:00,49.93,37.41,13.21,41.12,30.62,66.23,1.08,159.33,69.03,1.13,4.94,23.1,28.08,674.63,50.42,0.0,1.47,194.12,89.59,22-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Mar-2020 - 00:00,14.89,9.28,1.67,41.25,39.85,109.59,2.05,140.02,83.54,1.18,3.41,23.51,29.95,620.0,49.38,0.0,3.03,203.01,86.02,23-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Mar-2020 - 00:00,28.01,19.05,5.12,35.17,25.08,88.83,1.53,108.26,55.94,0.82,2.14,23.95,30.27,695.98,47.62,0.0,1.34,240.68,84.61,24-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Mar-2020 - 00:00,18.34,12.39,3.11,38.56,37.52,90.73,1.4,164.46,75.71,1.18,2.3,23.73,28.61,744.0,47.83,0.0,2.35,178.29,77.53,25-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Mar-2020 - 00:00,12.99,9.78,3.4,37.92,26.66,76.86,1.6,79.86,39.78,0.76,1.9,23.88,30.56,744.0,50.8,0.0,2.57,238.48,93.36,26-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Mar-2020 - 00:00,9.35,7.33,2.76,33.04,23.35,47.69,1.89,94.01,42.98,0.65,1.61,22.15,30.04,744.0,58.12,0.0,2.78,259.34,38.98,27-Mar-2020 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
