from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,to date,station
02-Oct-2020 - 00:00,20.43,39.4,5.15,20.08,17.8,4.72,2.51,1.62,0.0,0.0,0.0,0.0,0.0,03-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Oct-2020 - 00:00,21.79,43.59,4.09,19.92,18.02,5.58,2.69,1.79,0.0,0.0,0.0,0.0,0.0,04-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Oct-2020 - 00:00,12.03,26.87,3.37,20.49,18.94,6.06,2.76,1.71,0.0,0.0,0.0,0.0,0.0,05-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Oct-2020 - 00:00,13.71,33.67,3.37,20.49,18.94,6.06,2.68,1.81,0.0,0.0,0.0,0.0,0.0,06-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Oct-2020 - 00:00,19.74,50.41,3.87,21.46,18.38,5.61,2.43,1.7,0.0,0.0,0.0,0.0,0.0,07-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Oct-2020 - 00:00,8.09,28.64,4.86,22.91,17.77,4.14,2.27,1.54,0.0,0.0,0.0,0.0,0.0,08-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Oct-2020 - 00:00,10.59,24.87,5.6,21.49,17.77,3.86,2.55,1.73,0.0,0.0,0.0,0.0,0.0,09-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Oct-2020 - 00:00,7.21,18.24,5.38,20.03,16.84,4.74,2.42,1.66,0.0,0.0,0.0,0.0,0.0,10-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Oct-2020 - 00:00,22.8,37.13,4.49,18.72,15.76,4.89,2.45,1.82,0.0,0.0,0.0,0.0,0.0,11-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Oct-2020 - 00:00,15.85,25.21,3.76,16.9,14.61,4.31,2.41,1.64,0.0,0.0,0.0,0.0,0.0,12-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Oct-2020 - 00:00,14.74,30.89,4.29,16.93,14.83,3.91,2.46,1.67,0.0,0.0,0.0,0.0,0.0,13-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Oct-2020 - 00:00,14.29,32.57,5.79,18.66,16.63,4.6,2.62,1.72,0.0,0.0,0.0,0.0,0.0,14-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Oct-2020 - 00:00,8.51,24.14,6.23,19.97,17.47,5.44,2.62,1.66,0.0,0.0,0.0,0.0,0.0,15-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Oct-2020 - 00:00,8.55,26.44,6.27,19.82,17.32,5.37,2.57,1.75,0.0,0.0,0.0,0.0,0.0,16-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Oct-2020 - 00:00,14.44,32.34,6.21,19.73,17.25,5.37,2.41,1.72,0.0,0.0,0.0,0.0,0.0,17-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Oct-2020 - 00:00,,,,,,,,,,,,,,18-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Oct-2020 - 00:00,,,,,,,,,,,,,,19-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Oct-2020 - 00:00,,,,,,,,,,,,,,20-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Oct-2020 - 00:00,18.16,55.52,1.34,14.99,16.34,5.62,1.92,1.85,0.0,0.0,0.0,0.0,0.0,21-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Oct-2020 - 00:00,19.69,44.25,1.76,15.63,17.39,4.41,1.89,1.58,0.0,0.0,0.0,0.0,0.0,22-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Oct-2020 - 00:00,14.51,43.12,2.18,16.28,18.46,3.2,1.91,1.52,0.0,0.0,0.0,0.0,0.0,23-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Oct-2020 - 00:00,23.44,59.29,2.84,16.85,19.69,3.78,1.91,1.71,0.0,0.0,0.0,0.0,0.0,24-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Oct-2020 - 00:00,18.13,43.73,3.42,17.36,20.78,4.28,1.9,1.85,0.0,0.0,0.0,0.0,0.0,25-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Oct-2020 - 00:00,22.31,43.44,3.42,17.36,20.78,4.28,1.88,1.85,0.0,0.0,0.0,0.0,0.0,26-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Oct-2020 - 00:00,14.07,35.7,2.69,16.61,19.3,4.28,1.89,1.82,0.0,0.0,0.0,0.0,0.0,27-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Oct-2020 - 00:00,11.04,34.52,1.79,16.08,16.61,4.7,1.9,1.55,0.0,0.0,0.0,0.0,0.0,28-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Oct-2020 - 00:00,23.14,50.42,2.55,17.45,16.94,4.98,1.9,1.56,0.0,0.0,0.0,0.0,0.0,29-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Oct-2020 - 00:00,31.24,66.5,4.1,20.06,18.05,3.99,1.9,1.49,0.0,0.0,0.0,0.0,0.0,30-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Oct-2020 - 00:00,,,,,,,,,,,,,,31-Oct-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
31-Oct-2020 - 00:00,,,,,,,,,,,,,,01-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Nov-2020 - 00:00,28.76,53.47,5.02,22.1,19.11,4.06,1.91,1.42,0.0,0.0,0.0,0.0,0.0,02-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
02-Nov-2020 - 00:00,30.71,58.85,5.51,22.51,19.41,4.5,1.91,1.5,0.0,0.0,0.0,0.0,0.0,03-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
03-Nov-2020 - 00:00,59.88,98.53,6.04,22.93,19.95,5.46,1.92,1.81,0.0,0.0,0.0,0.0,0.0,04-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
04-Nov-2020 - 00:00,45.06,71.48,6.3,24.03,21.67,7.11,1.91,1.7,0.0,0.0,0.0,0.0,0.0,05-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
05-Nov-2020 - 00:00,34.51,54.13,6.31,24.05,21.69,7.12,1.91,1.67,0.0,0.0,0.0,0.0,0.0,06-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
06-Nov-2020 - 00:00,31.55,51.8,5.66,24.05,21.66,6.41,2.35,1.75,0.0,0.0,0.0,0.0,0.0,07-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
07-Nov-2020 - 00:00,33.01,57.0,5.34,23.93,22.13,5.77,3.16,1.7,0.0,0.0,0.0,0.0,0.0,08-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
08-Nov-2020 - 00:00,25.23,38.63,5.88,23.81,22.63,6.08,3.4,1.53,0.0,0.0,0.0,0.0,0.0,09-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
09-Nov-2020 - 00:00,25.9,46.04,5.32,23.26,21.88,5.93,3.75,1.63,0.0,0.0,0.0,0.0,0.0,10-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
10-Nov-2020 - 00:00,53.84,85.35,4.92,22.6,21.07,5.72,3.62,1.72,0.0,0.0,0.0,0.0,0.0,11-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
11-Nov-2020 - 00:00,61.52,96.21,5.2,23.42,22.09,5.93,4.45,1.7,0.0,0.0,0.0,0.0,0.0,12-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
12-Nov-2020 - 00:00,67.96,104.61,5.95,24.21,22.87,6.64,4.95,1.9,0.0,0.0,0.0,0.0,0.0,13-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
13-Nov-2020 - 00:00,61.85,89.38,6.11,23.72,24.8,6.74,4.96,1.92,0.0,0.0,0.0,0.0,0.0,14-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
14-Nov-2020 - 00:00,36.67,62.55,4.22,22.63,27.24,4.43,4.98,1.83,0.0,0.0,0.0,0.0,0.0,15-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
15-Nov-2020 - 00:00,38.94,59.85,3.19,22.36,26.55,3.19,4.97,1.69,0.0,0.0,0.0,0.0,0.0,16-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
16-Nov-2020 - 00:00,32.4,53.15,3.81,21.38,25.89,3.47,4.97,1.8,0.0,0.0,0.0,0.0,0.0,17-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
17-Nov-2020 - 00:00,24.0,33.73,5.49,19.96,23.87,4.13,5.35,1.93,0.0,0.0,0.0,0.0,0.0,18-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
18-Nov-2020 - 00:00,16.12,31.34,5.62,20.99,22.36,4.13,5.76,2.11,0.0,0.0,0.0,0.0,0.0,19-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
19-Nov-2020 - 00:00,32.65,52.46,6.21,22.04,21.2,4.93,6.29,2.17,0.0,0.0,0.0,0.0,0.0,20-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
20-Nov-2020 - 00:00,15.16,34.85,6.47,21.88,20.94,5.8,5.76,2.05,0.0,0.0,0.0,0.0,0.0,21-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
21-Nov-2020 - 00:00,18.03,43.83,5.98,22.18,21.88,6.99,5.23,2.06,0.0,0.0,0.0,0.0,0.0,22-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
22-Nov-2020 - 00:00,34.1,53.7,5.88,23.56,21.72,6.48,5.26,1.6,0.0,0.0,0.0,0.0,0.0,23-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
23-Nov-2020 - 00:00,31.15,59.09,5.46,23.19,21.79,6.34,5.04,1.69,0.0,0.0,0.0,0.0,0.0,24-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
24-Nov-2020 - 00:00,66.12,101.57,5.65,23.19,22.06,5.91,5.12,1.9,0.0,0.0,0.0,0.0,0.0,25-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
25-Nov-2020 - 00:00,57.96,91.75,5.82,23.74,22.76,6.25,5.39,1.91,0.0,0.0,0.0,0.0,0.0,26-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
26-Nov-2020 - 00:00,29.28,51.65,4.95,23.11,24.56,5.9,5.67,1.44,0.0,0.0,0.0,0.0,0.0,27-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
27-Nov-2020 - 00:00,26.51,48.68,4.62,22.88,27.52,5.91,6.23,1.3,0.0,0.0,0.0,0.0,0.0,28-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
28-Nov-2020 - 00:00,28.34,53.42,5.94,23.82,29.76,6.4,9.32,1.37,0.0,0.0,0.0,0.0,0.0,29-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
29-Nov-2020 - 00:00,22.96,44.01,6.79,24.63,31.41,6.82,12.54,1.42,0.0,0.0,0.0,0.0,0.0,30-Nov-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
30-Nov-2020 - 00:00,26.44,50.23,5.94,24.86,30.8,6.28,11.05,1.52,0.0,0.0,0.0,0.0,0.0,01-Dec-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
01-Dec-2020 - 00:00,42.0,66.0,5.38,25.02,30.4,5.94,9.98,1.56,0.0,0.0,0.0,0.0,0.0,02-Dec-2020 - 00:00,"Kacheripady, Ernakulam - Kerala PCB"
