from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
19-Mar-2020 - 00:00,17.43,61.6,3.37,3.07,6.44,12.52,3.63,0.34,10.93,0.13,1.89,0.61,24.78,64.75,,430.37,0.75,171.28,20-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
20-Mar-2020 - 00:00,6.52,54.94,2.4,3.66,6.05,11.27,3.45,0.34,6.34,0.12,2.06,0.65,24.38,73.54,,405.41,0.55,170.1,21-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
21-Mar-2020 - 00:00,14.05,68.81,2.23,3.57,5.51,11.42,3.5,0.33,8.76,0.1,2.15,0.68,24.82,76.41,,386.37,0.55,174.17,22-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
22-Mar-2020 - 00:00,16.41,52.25,1.8,3.43,4.83,9.15,3.46,0.3,9.89,0.11,2.1,0.65,25.75,75.98,,398.69,0.62,179.05,23-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
23-Mar-2020 - 00:00,26.63,59.07,2.48,3.04,5.18,8.33,3.69,0.34,10.98,0.12,2.11,0.64,27.35,72.88,,372.32,0.82,187.52,24-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
24-Mar-2020 - 00:00,35.96,76.94,2.83,2.2,5.03,7.49,3.7,0.39,11.46,0.16,2.05,0.63,27.16,72.77,,358.68,0.68,176.17,25-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
25-Mar-2020 - 00:00,31.66,67.86,3.5,2.0,5.5,7.08,3.67,0.4,10.95,0.15,1.95,0.59,27.72,73.41,,312.5,0.53,185.57,26-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
26-Mar-2020 - 00:00,29.61,58.09,2.95,2.37,5.31,6.49,3.66,0.37,11.01,0.21,1.8,0.55,27.78,75.12,,314.86,0.74,178.6,27-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
27-Mar-2020 - 00:00,27.87,63.05,2.62,2.12,4.74,6.01,3.44,0.36,9.79,0.15,1.71,0.54,27.76,76.46,,325.58,0.73,212.95,28-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
28-Mar-2020 - 00:00,28.54,66.5,2.94,1.91,4.85,5.66,3.39,0.42,11.97,0.17,1.68,0.52,27.1,66.04,,342.98,0.88,204.57,29-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
29-Mar-2020 - 00:00,25.8,62.28,2.85,1.51,4.37,5.57,3.6,0.38,14.8,0.14,1.71,0.51,27.41,64.7,,358.11,0.88,207.56,30-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
30-Mar-2020 - 00:00,26.54,55.92,2.63,1.65,4.28,5.37,3.61,0.4,13.28,0.13,1.7,0.51,26.26,68.44,,337.65,0.74,193.03,31-Mar-2020 - 00:00,"Borivali East, Mumbai - MPCB"
31-Mar-2020 - 00:00,20.49,45.64,1.91,1.37,3.27,5.13,3.71,0.35,12.22,0.08,1.64,0.48,26.19,67.21,,382.56,0.86,191.5,01-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
01-Apr-2020 - 00:00,19.35,50.84,1.98,1.99,3.97,4.69,3.41,0.32,10.74,0.08,1.64,0.47,26.06,75.48,,404.89,0.85,184.84,02-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
02-Apr-2020 - 00:00,28.03,71.83,2.32,2.62,4.81,4.46,3.59,0.38,12.28,0.12,1.59,0.45,26.8,72.83,,369.31,0.83,181.38,03-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
03-Apr-2020 - 00:00,25.56,79.57,1.88,2.48,4.26,4.37,3.77,0.36,10.64,0.09,1.53,0.44,27.68,71.47,,373.99,0.88,190.94,04-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
04-Apr-2020 - 00:00,23.11,70.11,1.98,2.08,4.05,4.36,3.7,0.36,8.97,0.07,1.49,0.43,27.31,73.59,,395.47,0.93,193.35,05-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
05-Apr-2020 - 00:00,22.72,58.4,1.97,2.1,4.07,4.3,3.64,0.36,8.78,0.07,1.42,0.4,26.64,75.54,,382.11,0.82,183.08,06-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
06-Apr-2020 - 00:00,18.93,42.83,2.35,2.88,5.22,4.11,3.67,0.36,6.99,0.08,1.37,0.39,25.63,81.86,,367.61,0.8,142.78,07-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
07-Apr-2020 - 00:00,20.31,84.86,1.55,1.93,3.48,3.82,3.7,0.29,8.06,0.06,1.31,0.38,28.15,75.03,,427.73,0.73,197.05,08-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
08-Apr-2020 - 00:00,22.91,82.37,1.54,2.45,3.94,3.31,3.52,0.3,5.69,0.07,1.26,0.36,26.06,78.05,,400.77,0.73,179.18,09-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
09-Apr-2020 - 00:00,20.66,76.36,0.83,3.16,3.88,2.97,3.6,0.3,3.63,0.06,1.07,0.28,25.25,81.76,,448.3,0.65,169.8,10-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
21-Apr-2020 - 00:00,9.28,39.7,1.88,9.31,10.82,6.98,,,,0.08,1.31,0.35,,,,,,,22-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
22-Apr-2020 - 00:00,12.84,46.25,1.38,12.45,13.7,1.81,,,,0.13,1.26,0.35,,,,,,,23-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
23-Apr-2020 - 00:00,15.12,51.39,1.32,11.54,12.86,,,,,0.17,1.26,0.34,,,,,,,24-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
24-Apr-2020 - 00:00,14.3,42.56,1.21,12.05,13.11,,,,,0.14,1.24,0.31,,,,,,,25-Apr-2020 - 00:00,"Borivali East, Mumbai - MPCB"
