from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
31-Mar-2019 - 00:00,,256.97,748.3,157.82,239.54,34.32,21.0,3.79,0.41,-0.07,77.67,32.43,3.4,,27.63,14.66,14.59,01-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Apr-2019 - 00:00,,271.99,748.37,139.82,210.74,35.78,21.83,3.87,0.49,-0.16,57.87,31.22,2.3,881.45,26.46,17.82,11.43,02-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Apr-2019 - 00:00,,184.08,748.8,141.34,306.27,47.63,31.78,8.57,0.84,0.05,106.27,31.79,1.13,691.92,26.85,27.76,19.88,03-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Apr-2019 - 00:00,,181.73,748.3,150.67,393.51,54.42,36.87,10.47,1.05,-0.0,87.4,30.77,0.92,734.41,27.56,36.41,22.52,04-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Apr-2019 - 00:00,,145.6,748.54,131.18,475.76,61.26,40.13,10.07,1.46,-0.1,157.15,36.89,0.66,921.79,28.48,37.6,39.45,05-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Apr-2019 - 00:00,,125.59,748.07,127.84,506.81,55.36,41.65,15.83,1.29,-0.11,179.51,37.54,0.55,965.02,29.64,35.2,18.0,06-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Apr-2019 - 00:00,,131.77,747.53,75.34,470.96,48.21,35.54,14.43,1.17,-0.38,137.54,39.5,0.38,869.95,28.88,31.58,8.79,07-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Apr-2019 - 00:00,,164.17,747.28,94.56,386.57,21.0,18.19,12.76,1.16,-0.68,193.41,54.9,0.69,854.17,28.03,22.72,3.69,08-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Apr-2019 - 00:00,,124.9,747.75,90.1,337.97,40.54,27.68,11.86,0.89,-0.36,147.88,45.7,0.87,777.53,26.5,29.55,3.41,09-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Apr-2019 - 00:00,,103.56,747.65,141.0,417.81,43.61,30.6,13.46,1.18,-0.4,112.41,42.82,0.64,800.32,27.3,31.72,8.75,10-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Apr-2019 - 00:00,,142.23,748.19,148.87,459.59,41.33,29.67,13.79,1.09,-0.26,132.29,35.36,0.8,787.09,29.62,31.22,12.64,11-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Apr-2019 - 00:00,,73.58,747.88,127.5,337.31,34.45,20.53,6.87,0.96,-0.14,112.5,29.75,0.99,852.34,30.32,26.3,11.85,12-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Apr-2019 - 00:00,,80.99,748.24,132.1,304.58,35.09,20.41,6.3,0.73,-0.12,106.63,35.52,1.15,784.85,28.78,27.53,12.19,13-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Apr-2019 - 00:00,,89.11,748.45,151.92,275.41,29.97,17.05,5.45,0.55,-0.09,67.34,28.83,1.66,812.34,29.74,24.46,12.58,14-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Apr-2019 - 00:00,,173.51,748.36,149.67,301.97,29.19,16.44,5.2,0.6,-0.09,75.25,28.39,1.36,763.63,30.03,24.13,11.74,15-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Apr-2019 - 00:00,,187.0,747.43,157.1,435.44,37.62,31.6,16.62,1.03,-0.16,66.87,23.97,1.32,300.0,31.39,31.29,9.53,16-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Apr-2019 - 00:00,,175.23,749.06,71.19,263.28,21.48,16.43,6.48,0.75,-0.28,104.05,52.56,2.08,,24.5,22.02,7.36,17-Apr-2019 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
