from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
15-Apr-2019 - 00:00,111.45,48.51,14.36,31.38,45.74,1.48,,27.52,1.36,0.82,8.04,1.0,16-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
16-Apr-2019 - 00:00,123.72,39.9,23.7,53.17,38.44,1.06,,31.72,1.37,0.05,0.07,0.47,17-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
17-Apr-2019 - 00:00,29.47,12.12,28.92,29.25,53.28,0.84,,34.55,0.88,0.01,0.04,0.45,18-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
18-Apr-2019 - 00:00,54.63,26.96,164.03,187.19,199.53,1.03,,35.51,1.74,0.38,0.04,0.49,19-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
19-Apr-2019 - 00:00,85.06,42.22,126.6,118.51,138.96,1.4,,41.06,3.09,0.55,0.84,0.67,20-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
20-Apr-2019 - 00:00,147.08,68.14,50.56,59.41,75.49,1.32,8.33,42.28,3.6,0.71,6.64,0.93,21-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
21-Apr-2019 - 00:00,153.59,45.19,14.33,23.26,37.59,1.52,,41.2,3.82,0.8,8.25,0.4,22-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
22-Apr-2019 - 00:00,195.1,73.8,13.03,24.4,37.42,1.76,,44.39,5.01,1.74,10.33,1.33,23-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
23-Apr-2019 - 00:00,184.24,56.7,17.62,28.14,45.75,1.79,,40.84,4.68,2.13,20.08,1.79,24-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
24-Apr-2019 - 00:00,190.93,60.8,8.03,20.54,28.57,1.42,,46.81,3.76,1.6,16.47,1.55,25-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
25-Apr-2019 - 00:00,219.18,65.17,6.42,16.41,22.83,1.36,,48.32,0.0,1.25,9.47,1.08,26-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
26-Apr-2019 - 00:00,186.81,56.99,17.82,27.36,45.18,1.43,,38.34,0.0,1.77,15.33,0.72,27-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
27-Apr-2019 - 00:00,216.25,49.67,25.44,26.71,35.27,1.09,,39.72,0.0,1.48,13.16,0.98,28-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
28-Apr-2019 - 00:00,244.09,117.84,20.83,22.95,15.66,0.63,,37.07,0.0,0.24,5.67,0.46,29-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
29-Apr-2019 - 00:00,209.19,53.16,,,0.0,0.01,0.0,32.51,0.0,0.0,0.0,0.0,30-Apr-2019 - 00:00,"Pusa, Delhi - IMD"
30-Apr-2019 - 00:00,155.94,48.31,7.05,17.85,17.3,0.8,,48.65,3.98,0.04,0.31,1.21,01-May-2019 - 00:00,"Pusa, Delhi - IMD"
