from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
14-Mar-2019 - 00:00,47.78,76.25,,12.12,12.8,24.68,10.89,0.42,27.18,4.07,2.19,10.17,16.85,271.0,228.85,0.44,69.68,15-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Mar-2019 - 00:00,43.52,71.22,,11.84,11.87,23.52,11.15,0.58,32.82,4.39,2.2,12.67,18.33,364.5,290.91,0.53,67.32,16-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Mar-2019 - 00:00,43.28,68.01,,11.64,10.76,22.21,10.48,0.61,36.89,4.26,2.2,13.18,19.63,370.74,304.29,0.52,57.42,17-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Mar-2019 - 00:00,75.19,113.33,,10.81,10.42,21.23,10.1,0.86,35.97,5.69,2.22,14.26,21.25,360.56,252.38,0.51,47.25,18-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Mar-2019 - 00:00,70.95,117.04,,13.02,12.04,24.83,9.58,0.62,32.4,5.04,2.23,11.63,21.78,344.96,244.19,0.35,50.07,19-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Mar-2019 - 00:00,70.79,112.43,,18.48,24.94,41.19,17.76,0.65,24.81,4.86,2.22,9.67,22.51,357.98,133.35,0.63,53.18,20-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Mar-2019 - 00:00,29.87,53.36,,12.83,18.42,30.11,9.45,0.32,26.28,2.91,2.09,7.96,20.24,395.46,253.96,1.03,60.21,21-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Mar-2019 - 00:00,41.18,60.87,,10.91,14.27,24.71,7.59,0.52,22.79,3.6,2.16,11.48,21.37,381.86,289.34,0.66,53.72,22-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Mar-2019 - 00:00,36.98,66.65,,12.02,20.1,30.88,11.81,0.42,28.88,3.8,2.15,9.51,21.59,375.51,304.94,0.76,47.42,23-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Mar-2019 - 00:00,53.02,80.75,,10.21,15.69,25.8,9.96,0.67,19.29,5.06,2.2,12.49,20.3,276.18,302.4,0.83,53.18,24-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Mar-2019 - 00:00,45.01,70.16,,10.07,14.84,24.92,9.39,0.64,14.82,4.9,2.19,12.32,19.34,146.24,281.86,0.63,72.12,25-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Mar-2019 - 00:00,51.63,83.59,,10.06,14.92,24.97,9.25,0.75,21.07,5.16,2.15,12.52,21.0,327.59,253.18,0.63,64.37,26-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Mar-2019 - 00:00,68.1,101.28,,12.61,14.96,27.58,9.62,0.82,24.17,5.68,2.26,10.14,22.24,359.51,186.19,0.58,61.58,27-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Mar-2019 - 00:00,86.36,143.97,,25.4,26.39,38.43,29.43,0.89,22.48,7.78,2.35,11.77,23.89,338.5,195.62,0.32,57.01,28-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Mar-2019 - 00:00,84.15,125.48,,20.04,26.69,37.03,24.94,0.65,24.78,7.17,2.32,9.57,25.56,373.53,234.34,0.39,59.25,29-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Mar-2019 - 00:00,74.1,115.56,,15.19,15.61,25.63,14.94,0.79,21.55,6.66,2.24,9.96,26.28,346.34,257.5,0.39,58.56,30-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Mar-2019 - 00:00,52.65,101.52,,9.76,11.45,19.92,5.64,0.35,25.58,4.3,2.07,8.12,28.25,500.86,302.86,1.1,43.13,31-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Mar-2019 - 00:00,28.86,68.17,,11.5,16.06,27.41,11.31,0.45,18.9,3.86,2.16,11.93,24.3,372.96,297.9,0.96,38.85,01-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Apr-2019 - 00:00,44.7,99.04,,40.66,33.96,43.12,28.4,0.75,18.7,4.79,1.97,8.8,24.87,301.64,283.56,0.69,39.97,02-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Apr-2019 - 00:00,70.1,117.25,,80.69,77.94,73.48,80.13,0.52,24.01,5.85,2.23,11.14,26.43,320.21,218.87,0.56,39.42,03-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Apr-2019 - 00:00,55.1,95.78,,88.19,143.14,106.5,135.61,0.79,27.36,5.87,2.22,13.29,27.44,346.82,253.95,0.47,45.35,04-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Apr-2019 - 00:00,69.12,114.05,,20.55,59.86,66.55,35.85,0.75,29.06,5.66,2.2,10.71,28.13,371.88,182.14,0.56,52.9,05-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Apr-2019 - 00:00,83.02,137.76,,26.22,66.09,87.66,31.78,0.82,25.6,7.23,2.33,12.4,29.23,378.23,225.86,0.53,50.26,06-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Apr-2019 - 00:00,90.09,167.4,,10.06,23.07,32.78,9.7,0.75,26.5,6.03,2.2,10.28,29.12,346.65,163.77,0.67,50.92,07-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Apr-2019 - 00:00,30.45,72.79,,9.9,20.25,30.15,9.13,0.55,14.9,4.51,2.18,8.93,28.75,372.5,180.07,0.49,33.9,08-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Apr-2019 - 00:00,35.86,94.59,,12.23,22.89,34.5,10.73,0.36,16.44,3.79,2.13,7.31,26.97,390.35,160.35,0.98,47.09,09-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Apr-2019 - 00:00,70.17,128.41,,13.58,19.3,32.89,10.4,0.98,26.81,5.11,2.21,7.34,28.47,395.61,159.98,0.53,48.74,10-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Apr-2019 - 00:00,53.45,109.64,,14.46,18.18,32.64,10.84,0.75,28.59,4.34,2.18,7.85,28.67,377.61,238.95,0.89,44.42,11-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Apr-2019 - 00:00,50.11,84.14,,16.23,16.79,32.17,11.68,0.96,31.72,4.29,2.14,7.69,29.88,491.34,304.0,0.71,36.38,12-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Apr-2019 - 00:00,34.6,81.22,,15.81,16.01,31.38,12.46,0.59,24.5,3.6,2.13,8.04,27.95,470.1,269.0,0.72,45.0,13-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Apr-2019 - 00:00,33.12,85.94,,15.64,18.02,31.49,10.87,0.85,20.3,4.09,2.06,6.75,27.58,414.37,241.05,0.61,52.34,14-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Apr-2019 - 00:00,44.85,93.93,,17.36,19.46,36.82,12.85,1.18,17.69,4.39,2.26,7.94,27.93,381.07,279.66,0.66,46.49,15-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Apr-2019 - 00:00,49.53,146.39,,15.32,18.01,32.04,11.74,0.55,23.15,4.75,2.09,7.37,29.3,377.96,277.47,0.78,40.32,16-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Apr-2019 - 00:00,36.53,86.78,,12.53,13.86,25.71,9.71,0.69,25.54,2.72,2.06,7.4,24.13,294.64,155.91,1.17,60.69,17-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Apr-2019 - 00:00,27.87,52.13,,12.52,13.33,24.52,8.96,0.62,18.91,2.69,2.01,7.16,19.59,333.53,120.46,1.19,85.2,18-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Apr-2019 - 00:00,25.85,62.77,,14.88,17.23,25.5,10.28,0.61,23.6,3.23,1.71,7.12,21.66,439.78,174.83,0.56,69.18,19-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Apr-2019 - 00:00,44.51,83.2,,17.36,18.74,36.28,12.31,0.95,27.33,4.42,2.22,9.44,25.74,398.22,267.94,0.39,48.62,20-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Apr-2019 - 00:00,48.55,99.3,,17.24,15.44,31.27,12.44,1.3,25.98,5.51,2.26,10.39,27.62,388.11,272.2,0.3,44.11,21-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Apr-2019 - 00:00,65.64,127.31,,17.26,15.45,32.71,12.46,0.98,29.04,6.47,2.38,12.53,29.79,388.97,240.81,0.35,41.52,22-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Apr-2019 - 00:00,77.92,144.43,,17.26,15.45,32.71,12.46,0.9,28.31,6.18,2.31,14.64,31.69,411.12,275.95,0.49,39.7,23-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Apr-2019 - 00:00,63.35,131.86,,17.26,15.45,32.71,12.46,1.55,35.38,5.98,2.38,10.67,32.95,325.16,247.26,0.35,34.9,24-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Apr-2019 - 00:00,31.03,138.35,,14.8,17.67,30.5,10.96,0.36,27.93,4.08,2.05,9.27,30.11,318.04,157.23,1.22,36.01,25-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Apr-2019 - 00:00,37.69,79.82,,14.34,16.74,30.13,9.45,1.05,25.25,3.41,2.09,9.29,30.6,318.29,221.6,0.67,37.45,26-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Apr-2019 - 00:00,36.86,75.59,,15.37,13.76,29.13,8.41,0.79,30.7,3.26,2.16,10.54,31.33,403.99,218.63,0.59,34.89,27-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Apr-2019 - 00:00,60.6,113.23,,15.37,13.76,29.13,8.41,0.79,27.56,4.17,2.18,12.93,31.66,361.61,298.0,0.81,29.0,28-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Apr-2019 - 00:00,61.5,151.07,,15.37,13.76,29.13,8.41,0.97,25.11,4.24,2.19,12.65,32.25,377.72,301.7,0.78,24.44,29-Apr-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
