from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
20-Mar-2019 - 00:00,23.25,9.18,30.41,28.37,20.01,0.56,4.42,4.24,7.18,0.65,49.35,2.96,155.04,442.92,0.0,35.75,134.47,46.51,21-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
21-Mar-2019 - 00:00,24.15,12.78,26.61,34.81,25.7,0.4,3.32,4.99,6.75,0.08,49.0,2.33,273.65,452.84,0.0,28.98,103.01,51.98,22-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
22-Mar-2019 - 00:00,16.06,5.51,22.27,30.42,17.37,0.31,2.31,3.21,4.45,0.07,49.93,4.31,306.59,459.12,0.0,22.41,90.29,64.09,23-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
23-Mar-2019 - 00:00,16.01,4.92,23.1,30.41,21.59,0.34,2.62,2.93,3.96,0.08,51.1,5.06,307.81,460.46,0.0,25.76,103.18,66.11,24-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
24-Mar-2019 - 00:00,19.57,9.35,23.09,33.14,15.13,0.34,2.5,3.19,4.15,0.07,59.35,4.19,307.63,432.92,0.0,25.84,97.04,47.9,25-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
25-Mar-2019 - 00:00,24.17,12.7,26.78,33.86,18.07,0.59,4.95,5.2,7.89,0.06,78.18,2.47,282.21,105.18,0.0,45.56,120.44,22.17,26-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
26-Mar-2019 - 00:00,20.74,10.41,23.71,33.8,19.66,0.41,3.92,4.5,6.93,0.07,62.54,3.04,293.12,500.84,0.0,27.97,92.41,50.66,27-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
27-Mar-2019 - 00:00,18.96,7.57,24.67,35.58,23.04,0.43,4.22,4.29,6.47,0.07,58.27,2.65,302.03,458.52,0.0,35.43,123.76,52.89,28-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
28-Mar-2019 - 00:00,21.77,9.04,27.79,37.92,27.38,0.47,4.46,3.9,6.27,0.08,57.18,2.43,295.09,479.96,0.0,41.39,130.51,69.94,29-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
29-Mar-2019 - 00:00,32.7,14.62,30.52,52.36,28.62,0.67,5.99,5.89,8.95,0.08,62.34,1.81,217.98,427.82,0.0,53.1,157.13,70.5,30-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
30-Mar-2019 - 00:00,32.49,13.32,19.18,65.72,33.4,0.56,7.25,6.24,8.68,4.34,60.59,2.37,246.58,476.86,0.0,56.9,183.8,58.92,31-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
31-Mar-2019 - 00:00,24.23,8.78,15.45,79.84,20.16,0.38,2.65,1.79,2.41,0.22,49.41,3.98,308.56,553.93,0.0,32.77,137.46,69.3,01-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
01-Apr-2019 - 00:00,22.5,5.78,16.75,76.79,22.66,0.38,3.11,2.47,3.68,0.35,47.14,3.64,300.59,487.44,0.0,29.82,121.17,74.75,02-Apr-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
