from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
14-Apr-2019 - 00:00,9.26,52.8,14.12,34.5,7.88,0.55,75.24,36.68,84.29,2.41,9.85,24.31,156.36,38.39,721.08,15-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Apr-2019 - 00:00,9.72,59.67,14.47,41.15,11.58,0.64,69.65,43.04,92.36,4.63,17.39,24.42,167.79,38.34,721.12,16-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Apr-2019 - 00:00,6.89,58.71,14.86,39.98,10.75,1.49,56.79,40.43,90.3,4.24,10.65,23.49,197.55,44.51,720.71,17-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Apr-2019 - 00:00,8.72,57.06,19.65,51.44,25.94,0.52,32.38,45.28,97.59,4.74,11.81,24.15,203.8,61.07,721.68,18-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Apr-2019 - 00:00,6.54,57.77,19.51,43.94,16.25,,56.13,36.05,77.07,4.12,12.15,23.68,196.5,57.79,721.11,19-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Apr-2019 - 00:00,5.8,54.24,19.07,36.45,9.34,,59.0,30.91,68.39,2.88,9.66,23.41,194.11,57.05,720.44,20-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Apr-2019 - 00:00,9.64,55.87,16.97,37.22,9.23,1.07,62.29,32.28,65.83,3.11,9.07,23.69,199.47,60.4,719.18,21-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Apr-2019 - 00:00,7.92,57.64,14.69,37.08,7.89,0.77,62.73,29.35,45.98,3.37,8.39,23.43,212.49,55.9,718.98,22-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,7.51,61.07,26.74,45.14,15.57,0.62,51.36,41.1,101.1,3.77,10.56,23.52,188.84,60.39,718.67,23-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,7.93,67.09,14.69,46.82,13.7,0.7,73.21,35.95,71.83,4.17,10.8,23.67,170.43,51.65,720.15,24-Apr-2019 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
