from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
01-Apr-2019 - 00:00,19.51,765.5,29.28,326.01,70.99,0.0,0.27,221.48,85.44,0.79,29.77,25.35,27.53,2.48,1.43,0.84,12.92,02-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
02-Apr-2019 - 00:00,22.34,764.94,30.1,318.93,70.67,0.0,0.11,222.35,86.45,0.65,22.3,20.93,39.77,18.85,1.7,1.0,41.7,03-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
03-Apr-2019 - 00:00,27.01,764.4,30.26,214.03,70.45,0.0,0.14,137.88,93.61,0.59,23.02,32.95,62.35,29.4,1.79,0.55,35.39,04-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
04-Apr-2019 - 00:00,17.05,765.29,29.53,206.49,78.09,0.0,0.11,298.52,64.01,0.66,22.43,33.34,52.91,19.56,1.72,0.53,21.67,05-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
05-Apr-2019 - 00:00,19.13,766.47,30.44,205.98,72.05,0.0,0.09,227.91,62.85,0.59,22.73,36.5,56.03,19.53,1.76,0.58,25.96,06-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
06-Apr-2019 - 00:00,17.92,766.17,30.09,214.73,70.74,0.0,0.09,207.07,67.0,0.64,22.85,43.11,64.08,20.97,1.78,0.55,14.02,07-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
07-Apr-2019 - 00:00,18.42,764.86,29.96,209.2,72.88,0.0,0.09,142.49,70.77,0.62,23.03,52.87,75.26,22.38,1.85,0.99,14.98,08-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
08-Apr-2019 - 00:00,16.11,763.97,30.41,226.87,72.35,0.0,0.11,116.28,60.95,0.57,23.15,44.92,66.73,21.8,1.78,0.43,21.21,09-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
09-Apr-2019 - 00:00,17.05,764.85,30.15,225.34,72.3,0.0,0.12,209.7,62.25,0.62,23.3,38.42,56.88,18.45,1.74,0.59,22.31,10-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
10-Apr-2019 - 00:00,13.65,764.99,30.09,218.44,73.99,0.0,0.09,102.28,52.63,0.54,23.47,40.28,57.82,17.54,1.77,0.4,19.25,11-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
11-Apr-2019 - 00:00,17.16,764.69,30.32,219.72,74.49,0.0,0.08,131.0,65.85,0.53,22.97,29.9,45.36,15.45,1.74,0.32,20.8,12-Apr-2019 - 00:00,"Bandra, Mumbai - MPCB"
