from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
09-Mar-2019 - 00:00,52.53,10.53,62.48,28.92,19.58,0.77,15.88,72.53,121.25,17.17,23.67,41.39,0.75,219.99,0.0,0.0,199.13,10-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
10-Mar-2019 - 00:00,56.64,5.31,61.42,37.62,16.66,0.73,16.89,108.25,164.62,10.76,25.02,53.11,0.7,182.17,0.0,0.0,173.34,11-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
11-Mar-2019 - 00:00,46.66,4.81,50.77,33.06,15.64,0.58,19.9,80.07,142.85,15.22,26.45,44.76,0.92,263.06,0.0,0.0,182.71,12-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
12-Mar-2019 - 00:00,60.78,7.58,68.0,35.63,21.08,0.79,15.32,107.7,169.67,20.25,26.88,45.15,0.67,227.41,0.0,0.0,177.85,13-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
13-Mar-2019 - 00:00,51.91,14.51,65.85,45.3,8.99,1.0,17.24,75.38,131.94,13.43,28.09,46.59,0.89,273.46,0.0,0.0,196.23,14-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
14-Mar-2019 - 00:00,47.92,5.57,52.92,33.54,19.25,0.68,19.26,99.49,158.75,17.01,26.87,50.12,0.91,248.09,-0.0,0.02,152.2,15-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
15-Mar-2019 - 00:00,31.29,3.46,33.97,32.39,5.12,0.75,16.71,58.13,94.73,5.4,25.33,64.87,0.89,240.64,0.0,0.03,138.66,16-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
16-Mar-2019 - 00:00,42.46,4.04,45.65,25.34,7.07,1.01,17.12,48.51,71.75,24.27,25.85,57.74,0.79,274.02,-0.0,0.02,202.96,17-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
17-Mar-2019 - 00:00,35.55,2.99,37.6,18.07,12.03,0.42,20.36,63.16,104.27,8.06,25.67,44.89,1.03,240.1,0.0,0.0,172.64,18-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-Mar-2019 - 00:00,33.77,3.86,36.86,21.61,12.83,0.8,17.72,48.57,94.83,6.12,27.69,41.04,0.84,238.13,0.13,0.0,207.43,19-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-Mar-2019 - 00:00,24.75,5.31,29.2,35.22,14.18,0.68,19.91,62.57,115.97,7.33,26.67,43.45,0.94,279.66,0.15,0.0,198.66,20-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
20-Mar-2019 - 00:00,17.1,10.13,26.54,25.52,27.87,0.98,13.77,85.82,166.87,17.08,26.45,32.9,0.86,261.61,0.1,0.0,213.65,21-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-Mar-2019 - 00:00,9.28,6.07,14.37,20.45,27.97,0.77,15.9,85.2,150.55,10.46,27.85,37.84,0.9,237.72,0.0,0.0,206.91,22-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-Mar-2019 - 00:00,6.89,2.9,8.54,23.78,13.45,0.86,14.74,50.18,94.41,7.38,27.19,51.97,0.85,244.4,-0.01,0.01,179.62,23-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-Mar-2019 - 00:00,6.57,2.69,8.13,15.41,22.52,0.34,15.76,56.59,109.25,8.4,27.52,31.42,0.95,271.79,-0.03,0.0,237.54,24-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Mar-2019 - 00:00,6.08,4.54,9.36,16.93,22.11,0.67,16.67,81.46,162.01,12.82,26.72,28.98,0.79,239.15,-0.03,0.0,224.82,25-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Mar-2019 - 00:00,6.49,5.68,11.23,21.61,21.4,0.65,11.31,87.14,179.28,15.21,28.42,32.03,0.85,242.91,0.04,0.0,220.0,26-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-Mar-2019 - 00:00,5.31,3.06,7.08,31.58,12.99,0.68,11.02,73.44,159.38,8.22,25.34,45.65,1.3,256.36,0.18,0.07,196.39,27-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
27-Mar-2019 - 00:00,5.53,3.48,7.98,25.19,7.3,0.69,12.22,45.39,80.25,5.14,25.65,56.12,0.8,232.22,0.18,0.0,216.36,28-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
28-Mar-2019 - 00:00,5.72,4.02,8.69,21.17,13.1,0.73,15.05,75.73,116.98,12.65,27.27,43.93,0.77,223.61,0.17,0.0,230.39,29-Mar-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
